threshold,recall_fail,precision_fail,f1_fail,balanced_accuracy,true_negative,false_positive,false_negative,true_positive,operational_cost
0.005,1.0,0.06624102154828412,0.12425149700598802,0.5,0,1170,0,83,1170.0
0.01,1.0,0.06624102154828412,0.12425149700598802,0.5,0,1170,0,83,1170.0
0.015,1.0,0.06624102154828412,0.12425149700598802,0.5,0,1170,0,83,1170.0
0.02,1.0,0.06629392971246006,0.12434456928838951,0.5004273504273504,1,1169,0,83,1169.0
0.025,1.0,0.06629392971246006,0.12434456928838951,0.5004273504273504,1,1169,0,83,1169.0
0.03,1.0,0.06650641025641026,0.1247182569496619,0.5021367521367521,5,1165,0,83,1165.0
0.035,1.0,0.0666131621187801,0.12490594431903687,0.502991452991453,7,1163,0,83,1163.0
0.04,1.0,0.0667739340305712,0.12518853695324283,0.5042735042735043,10,1160,0,83,1160.0
0.045,1.0,0.06688154713940371,0.12537764350453173,0.5051282051282051,12,1158,0,83,1158.0
0.05,1.0,0.06704361873990307,0.12566237698713095,0.5064102564102564,15,1155,0,83,1155.0
0.055,1.0,0.06737012987012987,0.12623574144486693,0.5089743589743589,21,1149,0,83,1149.0
0.06,1.0,0.06747967479674796,0.12642802741812642,0.5098290598290598,23,1147,0,83,1147.0
0.065,1.0,0.06758957654723127,0.12662090007627766,0.5106837606837606,25,1145,0,83,1145.0
0.07,1.0,0.06792144026186579,0.12720306513409962,0.5132478632478632,31,1139,0,83,1139.0
0.075,1.0,0.06814449917898194,0.12759415833973867,0.5149572649572649,35,1135,0,83,1135.0
0.08,1.0,0.06842539159109645,0.12808641975308643,0.5170940170940171,40,1130,0,83,1130.0
0.085,1.0,0.0687655343827672,0.12868217054263567,0.5196581196581197,46,1124,0,83,1124.0
0.09,0.9879518072289156,0.06821963394342762,0.12762645914396886,0.5153434249819792,50,1120,1,82,1130.0
0.095,0.9879518072289156,0.06850459482038429,0.128125,0.5174801771187313,55,1115,1,82,1125.0
0.1,0.9879518072289156,0.0688497061293031,0.12872841444270017,0.5200442796828338,61,1109,1,82,1119.0
0.105,0.9879518072289156,0.06902356902356903,0.12903225806451613,0.5213263309648851,64,1106,1,82,1116.0
0.11,0.9879518072289156,0.06943268416596104,0.12974683544303797,0.5243177839563381,71,1099,1,82,1109.0
0.115,0.9759036144578314,0.06911262798634812,0.12908366533864543,0.5217124909895995,79,1091,2,81,1111.0
0.12,0.963855421686747,0.06855184233076264,0.128,0.517397796313459,83,1087,3,80,1117.0
0.125,0.963855421686747,0.06896551724137931,0.12872083668543846,0.5203892493049119,90,1080,3,80,1110.0
0.13,0.963855421686747,0.06944444444444445,0.12955465587044535,0.5238080527237153,98,1072,3,80,1102.0
0.135,0.963855421686747,0.06986899563318777,0.13029315960912052,0.5267995057151683,105,1065,3,80,1095.0
0.14,0.963855421686747,0.07054673721340388,0.1314708299096138,0.5315003604160231,116,1054,3,80,1084.0
0.145,0.963855421686747,0.0709849157054126,0.1322314049586777,0.5344918134074761,123,1047,3,80,1077.0
0.15,0.963855421686747,0.07136485280999108,0.132890365448505,0.5370559159715786,129,1041,3,80,1071.0
0.155,0.9518072289156626,0.07117117117117117,0.13243922883487008,0.5353053238595407,139,1031,4,79,1071.0
0.16,0.9518072289156626,0.07168784029038112,0.13333333333333333,0.5387241272783441,147,1023,4,79,1063.0
0.165,0.9518072289156626,0.07221206581352833,0.13423959218351741,0.5421429306971476,155,1015,4,79,1055.0
0.17,0.9518072289156626,0.07287822878228782,0.1353898886032562,0.5464164349706518,165,1005,4,79,1045.0
0.17500000000000002,0.9397590361445783,0.07282913165266107,0.13518197573656845,0.5455205437133148,177,993,5,78,1043.0
0.18,0.9397590361445783,0.07323943661971831,0.13588850174216027,0.5480846462774174,183,987,5,78,1037.0
0.185,0.9397590361445783,0.07386363636363637,0.1369622475856014,0.5519308001235712,192,978,5,78,1028.0
0.19,0.9397590361445783,0.07449856733524356,0.13805309734513274,0.555776953969725,201,969,5,78,1019.0
0.195,0.9397590361445783,0.075,0.13891362422083706,0.558768406961178,208,962,5,78,1012.0
0.2,0.9397590361445783,0.07587548638132295,0.1404140414041404,0.5638966120893831,220,950,5,78,1000.0
0.20500000000000002,0.9397590361445783,0.07632093933463796,0.1411764705882353,0.5664607146534858,226,944,5,78,994.0
0.21,0.9397590361445783,0.07738095238095238,0.14298808432630614,0.5724436206363918,240,930,5,78,980.0
0.215,0.9397590361445783,0.07807807807807808,0.14417744916820702,0.5762897744825456,249,921,5,78,971.0
0.22,0.9397590361445783,0.0790273556231003,0.14579439252336449,0.5814179796107507,261,909,5,78,959.0
0.225,0.9397590361445783,0.07926829268292683,0.14620431115276475,0.582700030892802,264,906,5,78,956.0
0.23,0.927710843373494,0.07913669064748201,0.14583333333333334,0.5809494387807641,274,896,6,77,956.0
0.23500000000000001,0.927710843373494,0.07987551867219916,0.14708691499522444,0.5847955926269179,283,887,6,77,947.0
0.24,0.927710843373494,0.08096740273396424,0.14893617021276595,0.5903511481824735,296,874,6,77,934.0
0.245,0.927710843373494,0.08130939809926083,0.14951456310679612,0.5920605498918752,300,870,6,77,930.0
0.25,0.927710843373494,0.08261802575107297,0.15172413793103448,0.5984708063021316,315,855,6,77,915.0
0.255,0.9036144578313253,0.08178844056706652,0.15,0.5919781690866028,328,842,8,75,922.0
0.26,0.9036144578313253,0.08269018743109151,0.15151515151515152,0.5962516733601071,338,832,8,75,912.0
0.265,0.9036144578313253,0.08370535714285714,0.15321756894790603,0.6009525280609618,349,821,8,75,901.0
0.27,0.9036144578313253,0.08503401360544217,0.15544041450777202,0.6069354340438677,363,807,8,75,887.0
0.275,0.9036144578313253,0.08630609896432681,0.15756302521008403,0.6124909895994234,376,794,8,75,874.0
0.28,0.891566265060241,0.08634772462077013,0.1574468085106383,0.6111677479147358,387,783,9,74,873.0
0.28500000000000003,0.891566265060241,0.08788598574821853,0.16,0.6175780043249923,402,768,9,74,858.0
0.29,0.8795180722891566,0.08837772397094432,0.16061606160616063,0.6179641643497065,417,753,10,73,853.0
0.295,0.8674698795180723,0.08823529411764706,0.16017797552836485,0.6157862218103182,426,744,11,72,854.0
0.3,0.8674698795180723,0.0891089108910891,0.16161616161616163,0.6192050252291217,434,736,11,72,846.0
0.305,0.8313253012048193,0.08668341708542714,0.15699658703071673,0.604978889918649,443,727,14,69,867.0
0.31,0.8313253012048193,0.08789808917197452,0.15898617511520738,0.6096797446195037,454,716,14,69,856.0
0.315,0.8192771084337349,0.08762886597938144,0.15832363213038417,0.6070744516527649,462,708,15,68,858.0
0.32,0.8192771084337349,0.0891218872870249,0.1607565011820331,0.6126300072083204,475,695,15,68,845.0
0.325,0.8072289156626506,0.08957219251336898,0.16125150421179302,0.6125888168056843,489,681,16,67,841.0
0.33,0.8072289156626506,0.09103260869565218,0.16361416361416362,0.6177170219338894,501,669,16,67,829.0
0.335,0.7951807228915663,0.0907840440165062,0.16296296296296298,0.6151117289671506,509,661,17,66,831.0
0.34,0.7951807228915663,0.09217877094972067,0.16520650813516896,0.6198125836680053,520,650,17,66,820.0
