wafer_id,timestamp,target,status,missing_sensor_count,missing_sensor_rate,fail_probability,predicted_target,predicted_status,decision_threshold,model_name,prediction_correct,error_type,mean_observed_sensor_reliability,completeness_score,data_quality_score,data_quality_band,anomaly_score,absolute_threshold_distance,prediction_confidence,probability_band,missingness_quartile,anomaly_quartile,confidence_band,production_date,production_hour,production_day,shift
WF-000045,2008-07-29 06:19:00,0,Pass,8,0.017777777777777778,0.5926944444444444,1,Fail,0.385,Balanced Random Forest,False,False Alarm,0.8897284497435358,0.9822222222222222,0.9452247132307476,High,0.5879702416206095,0.2076944444444444,0.5926944444444444,50-75%,"(0.00889, 0.0178]",Q4 Highest,Low,2008-07-29,6,Tuesday,Night
WF-000229,2008-08-17 03:46:00,0,Pass,0,0.0,0.5792777777777779,1,Fail,0.385,Balanced Random Forest,False,False Alarm,0.8886296986662388,1.0,0.9554518794664956,High,0.2922562977130289,0.19427777777777788,0.5792777777777779,50-75%,"(-0.001, 0.00889]",Q3,Low,2008-08-17,3,Sunday,Night
WF-000191,2008-08-11 03:06:00,0,Pass,0,0.0,0.5779999999999998,1,Fail,0.385,Balanced Random Forest,False,False Alarm,0.8886296986662388,1.0,0.9554518794664956,High,0.2513368090913959,0.19299999999999984,0.5779999999999998,50-75%,"(-0.001, 0.00889]",Q3,Low,2008-08-11,3,Monday,Night
WF-000171,2008-08-09 17:34:00,0,Pass,0,0.0,0.5760833333333334,1,Fail,0.385,Balanced Random Forest,False,False Alarm,0.8886296986662388,1.0,0.9554518794664956,High,0.2773633373669003,0.19108333333333338,0.5760833333333334,50-75%,"(-0.001, 0.00889]",Q3,Low,2008-08-09,17,Saturday,Evening
WF-000122,2008-08-05 15:45:00,0,Pass,0,0.0,0.5430833333333333,1,Fail,0.385,Balanced Random Forest,False,False Alarm,0.8886296986662388,1.0,0.9554518794664956,High,0.337730677148611,0.15808333333333324,0.5430833333333333,50-75%,"(-0.001, 0.00889]",Q4 Highest,Low,2008-08-05,15,Tuesday,Morning
WF-001273,2008-10-03 12:31:00,0,Pass,8,0.017777777777777778,0.532138888888889,1,Fail,0.385,Balanced Random Forest,False,False Alarm,0.893161043275428,0.9822222222222222,0.9465977506435044,High,0.2133022721111611,0.14713888888888904,0.532138888888889,50-75%,"(0.00889, 0.0178]",Q2,Low,2008-10-03,12,Friday,Morning
WF-000216,2008-08-16 07:33:00,0,Pass,8,0.017777777777777778,0.5240833333333331,1,Fail,0.385,Balanced Random Forest,False,False Alarm,0.8897284497435358,0.9822222222222222,0.9452247132307476,High,0.2234827049943644,0.13908333333333311,0.5240833333333331,50-75%,"(0.00889, 0.0178]",Q2,Low,2008-08-16,7,Saturday,Night
WF-000188,2008-08-10 19:07:00,0,Pass,8,0.017777777777777778,0.5238055555555555,1,Fail,0.385,Balanced Random Forest,False,False Alarm,0.8897284497435358,0.9822222222222222,0.9452247132307476,High,0.3031127926604453,0.13880555555555552,0.5238055555555555,50-75%,"(0.00889, 0.0178]",Q3,Low,2008-08-10,19,Sunday,Evening
WF-000326,2008-08-20 07:12:00,0,Pass,12,0.02666666666666667,0.5197499999999998,1,Fail,0.385,Balanced Random Forest,False,False Alarm,0.8919928587649708,0.9733333333333334,0.9407971435059884,High,0.1502647212162297,0.13474999999999981,0.5197499999999998,50-75%,"(0.0178, 0.0267]",Q1 Lowest,Low,2008-08-20,7,Wednesday,Night
WF-000234,2008-08-17 14:21:00,0,Pass,4,0.008888888888888889,0.5129722222222222,1,Fail,0.385,Balanced Random Forest,False,False Alarm,0.890906465863957,0.9911111111111112,0.9510292530122496,High,0.2571520079613631,0.12797222222222215,0.5129722222222222,50-75%,"(-0.001, 0.00889]",Q3,Low,2008-08-17,14,Sunday,Morning
WF-000217,2008-08-16 08:39:00,0,Pass,0,0.0,0.5101666666666667,1,Fail,0.385,Balanced Random Forest,False,False Alarm,0.8886296986662388,1.0,0.9554518794664956,High,0.2191196663998582,0.12516666666666665,0.5101666666666667,50-75%,"(-0.001, 0.00889]",Q2,Low,2008-08-16,8,Saturday,Morning
WF-000166,2008-08-09 02:37:00,0,Pass,12,0.02666666666666667,0.5090833333333331,1,Fail,0.385,Balanced Random Forest,False,False Alarm,0.8902623685931389,0.9733333333333334,0.9401049474372556,High,0.2239242482055102,0.1240833333333331,0.5090833333333331,50-75%,"(0.0178, 0.0267]",Q2,Low,2008-08-09,2,Saturday,Night
WF-000175,2008-08-09 22:15:00,0,Pass,0,0.0,0.5026666666666667,1,Fail,0.385,Balanced Random Forest,False,False Alarm,0.8886296986662388,1.0,0.9554518794664956,High,0.3855307359270757,0.1176666666666667,0.5026666666666667,50-75%,"(-0.001, 0.00889]",Q4 Highest,Low,2008-08-09,22,Saturday,Evening
WF-000243,2008-08-18 00:20:00,0,Pass,4,0.008888888888888889,0.5007222222222222,1,Fail,0.385,Balanced Random Forest,False,False Alarm,0.8908436362157439,0.9911111111111112,0.9510041211529644,High,0.139450441921194,0.11572222222222217,0.5007222222222222,50-75%,"(-0.001, 0.00889]",Q1 Lowest,Low,2008-08-18,0,Monday,Night
WF-000069,2008-08-01 12:29:00,0,Pass,0,0.0,0.4992777777777776,1,Fail,0.385,Balanced Random Forest,False,False Alarm,0.8886296986662388,1.0,0.9554518794664956,High,0.3188779496400026,0.11427777777777759,0.4992777777777776,25-50%,"(-0.001, 0.00889]",Q4 Highest,Low,2008-08-01,12,Friday,Morning
WF-000690,2008-09-02 14:09:00,0,Pass,24,0.05333333333333334,0.4972222222222222,1,Fail,0.385,Balanced Random Forest,False,False Alarm,0.8937662562982269,0.9466666666666668,0.9255065025192908,High,0.2151057407263319,0.11222222222222217,0.4972222222222222,25-50%,"(0.0267, 0.164]",Q2,Low,2008-09-02,14,Tuesday,Morning
