threshold,precision_fail,recall_fail,f1_fail,balanced_accuracy,true_negative,false_positive,false_negative,true_positive,predicted_failures
0.01,0.10241820768136557,0.8674698795180723,0.183206106870229,0.6640768201009165,539,631,11,72,703
0.02,0.1226215644820296,0.6987951807228916,0.20863309352517986,0.6720471630110185,755,415,25,58,473
0.03,0.1444141689373297,0.6385542168674698,0.23555555555555555,0.6850890742457008,856,314,30,53,367
0.04,0.15087719298245614,0.5180722891566265,0.23369565217391305,0.6556173411595099,928,242,40,43,285
0.05,0.16379310344827586,0.4578313253012048,0.24126984126984127,0.6460096797446195,976,194,45,38,232
0.060000000000000005,0.16326530612244897,0.3855421686746988,0.22939068100358423,0.6226856142518793,1006,164,51,32,196
0.06999999999999999,0.17197452229299362,0.3253012048192771,0.225,0.607095046854083,1040,130,56,27,157
0.08,0.18,0.3253012048192771,0.2317596566523605,0.610086499845536,1047,123,56,27,150
0.09,0.17647058823529413,0.2891566265060241,0.2191780821917808,0.5967150653897642,1058,112,59,24,136
0.09999999999999999,0.17829457364341086,0.27710843373493976,0.2169811320754717,0.5932550715683246,1064,106,60,23,129
0.11,0.18333333333333332,0.26506024096385544,0.21674876847290642,0.5906497786015859,1072,98,61,22,120
0.12,0.2,0.25301204819277107,0.22340425531914893,0.5906085881989497,1086,84,62,21,105
0.13,0.19801980198019803,0.24096385542168675,0.21739130434782608,0.5858665430954588,1089,81,63,20,101
0.14,0.20652173913043478,0.2289156626506024,0.21714285714285714,0.58326125012872,1097,73,64,19,92
0.15000000000000002,0.21686746987951808,0.21686746987951808,0.21686746987951808,0.5806559571619813,1105,65,65,18,83
0.16,0.21621621621621623,0.1927710843373494,0.20382165605095542,0.5715992173823499,1112,58,67,16,74
0.17,0.21739130434782608,0.18072289156626506,0.19736842105263158,0.5672845227062094,1116,54,68,15,69
0.18000000000000002,0.2222222222222222,0.1686746987951807,0.1917808219178082,0.5633971784574194,1121,49,69,14,63
0.19,0.23728813559322035,0.1686746987951807,0.19718309859154928,0.5651065801668211,1125,45,69,14,59
0.2,0.2545454545454545,0.1686746987951807,0.2028985507246377,0.5668159818762228,1129,41,69,14,55
0.21000000000000002,0.25,0.1566265060240964,0.1925925925925926,0.5616465863453816,1131,39,70,13,52
0.22,0.26,0.1566265060240964,0.19548872180451127,0.5625012872000824,1133,37,70,13,50
0.23,0.25,0.14457831325301204,0.183206106870229,0.5569045412418906,1134,36,71,12,48
0.24000000000000002,0.2608695652173913,0.14457831325301204,0.18604651162790697,0.5577592420965914,1136,34,71,12,46
0.25,0.2857142857142857,0.14457831325301204,0.192,0.5594686438059931,1140,30,71,12,42
0.26,0.2894736842105263,0.13253012048192772,0.18181818181818182,0.5547265987025023,1143,27,72,11,38
0.27,0.3055555555555556,0.13253012048192772,0.18487394957983194,0.5555812995572031,1145,25,72,11,36
0.28,0.3142857142857143,0.13253012048192772,0.1864406779661017,0.5560086499845536,1146,24,72,11,35
0.29000000000000004,0.3142857142857143,0.13253012048192772,0.1864406779661017,0.5560086499845536,1146,24,72,11,35
0.3,0.3333333333333333,0.13253012048192772,0.1896551724137931,0.5568633508392544,1148,22,72,11,33
0.31,0.34375,0.13253012048192772,0.19130434782608696,0.5572907012666048,1149,21,72,11,32
0.32,0.34375,0.13253012048192772,0.19130434782608696,0.5572907012666048,1149,21,72,11,32
0.33,0.3548387096774194,0.13253012048192772,0.19298245614035087,0.5577180516939553,1150,20,72,11,31
0.34,0.3333333333333333,0.10843373493975904,0.16363636363636364,0.5465245597775719,1152,18,74,9,27
0.35000000000000003,0.34615384615384615,0.10843373493975904,0.1651376146788991,0.5469519102049223,1153,17,74,9,26
0.36000000000000004,0.34615384615384615,0.10843373493975904,0.1651376146788991,0.5469519102049223,1153,17,74,9,26
0.37,0.391304347826087,0.10843373493975904,0.16981132075471697,0.5482339614869736,1156,14,74,9,23
0.38,0.4090909090909091,0.10843373493975904,0.17142857142857143,0.548661311914324,1157,13,74,9,22
0.39,0.45,0.10843373493975904,0.17475728155339806,0.5495160127690248,1159,11,74,9,20
0.4,0.5,0.0963855421686747,0.16161616161616163,0.544773967665534,1162,8,75,8,16
0.41000000000000003,0.5,0.0963855421686747,0.16161616161616163,0.544773967665534,1162,8,75,8,16
0.42000000000000004,0.5,0.08433734939759036,0.14432989690721648,0.5391772217073422,1163,7,76,7,14
0.43,0.5384615384615384,0.08433734939759036,0.14583333333333334,0.5396045721346926,1164,6,76,7,13
0.44,0.5384615384615384,0.08433734939759036,0.14583333333333334,0.5396045721346926,1164,6,76,7,13
0.45,0.5384615384615384,0.08433734939759036,0.14583333333333334,0.5396045721346926,1164,6,76,7,13
0.46,0.5384615384615384,0.08433734939759036,0.14583333333333334,0.5396045721346926,1164,6,76,7,13
0.47000000000000003,0.5384615384615384,0.08433734939759036,0.14583333333333334,0.5396045721346926,1164,6,76,7,13
0.48000000000000004,0.5,0.07228915662650602,0.12631578947368421,0.5335804757491505,1164,6,77,6,12
0.49,0.5,0.07228915662650602,0.12631578947368421,0.5335804757491505,1164,6,77,6,12
0.5,0.45454545454545453,0.060240963855421686,0.10638297872340426,0.5275563793636083,1164,6,78,5,11
0.51,0.4,0.04819277108433735,0.08602150537634409,0.5215322829780661,1164,6,79,4,10
0.52,0.4444444444444444,0.04819277108433735,0.08695652173913043,0.5219596334054165,1165,5,79,4,9
0.53,0.2857142857142857,0.024096385542168676,0.044444444444444446,0.5099114406343322,1165,5,81,2,7
0.54,0.16666666666666666,0.012048192771084338,0.02247191011235955,0.50388734424879,1165,5,82,1,6
0.55,0.16666666666666666,0.012048192771084338,0.02247191011235955,0.50388734424879,1165,5,82,1,6
0.56,0.16666666666666666,0.012048192771084338,0.02247191011235955,0.50388734424879,1165,5,82,1,6
0.5700000000000001,0.16666666666666666,0.012048192771084338,0.02247191011235955,0.50388734424879,1165,5,82,1,6
0.5800000000000001,0.16666666666666666,0.012048192771084338,0.02247191011235955,0.50388734424879,1165,5,82,1,6
0.59,0.25,0.012048192771084338,0.022988505747126436,0.5047420451034909,1167,3,82,1,4
0.6,0.25,0.012048192771084338,0.022988505747126436,0.5047420451034909,1167,3,82,1,4
0.61,0.0,0.0,0.0,0.4987179487179487,1167,3,83,0,3
0.62,0.0,0.0,0.0,0.4987179487179487,1167,3,83,0,3
0.63,0.0,0.0,0.0,0.4987179487179487,1167,3,83,0,3
0.64,0.0,0.0,0.0,0.4987179487179487,1167,3,83,0,3
0.65,0.0,0.0,0.0,0.4987179487179487,1167,3,83,0,3
0.66,0.0,0.0,0.0,0.4987179487179487,1167,3,83,0,3
0.67,0.0,0.0,0.0,0.49914529914529915,1168,2,83,0,2
0.68,0.0,0.0,0.0,0.49914529914529915,1168,2,83,0,2
0.6900000000000001,0.0,0.0,0.0,0.49914529914529915,1168,2,83,0,2
0.7000000000000001,0.0,0.0,0.0,0.49914529914529915,1168,2,83,0,2
0.7100000000000001,0.0,0.0,0.0,0.49914529914529915,1168,2,83,0,2
0.72,0.0,0.0,0.0,0.5,1170,0,83,0,0
0.73,0.0,0.0,0.0,0.5,1170,0,83,0,0
0.74,0.0,0.0,0.0,0.5,1170,0,83,0,0
0.75,0.0,0.0,0.0,0.5,1170,0,83,0,0
0.76,0.0,0.0,0.0,0.5,1170,0,83,0,0
0.77,0.0,0.0,0.0,0.5,1170,0,83,0,0
0.78,0.0,0.0,0.0,0.5,1170,0,83,0,0
0.79,0.0,0.0,0.0,0.5,1170,0,83,0,0
0.8,0.0,0.0,0.0,0.5,1170,0,83,0,0
0.81,0.0,0.0,0.0,0.5,1170,0,83,0,0
0.8200000000000001,0.0,0.0,0.0,0.5,1170,0,83,0,0
0.8300000000000001,0.0,0.0,0.0,0.5,1170,0,83,0,0
0.8400000000000001,0.0,0.0,0.0,0.5,1170,0,83,0,0
0.85,0.0,0.0,0.0,0.5,1170,0,83,0,0
0.86,0.0,0.0,0.0,0.5,1170,0,83,0,0
0.87,0.0,0.0,0.0,0.5,1170,0,83,0,0
0.88,0.0,0.0,0.0,0.5,1170,0,83,0,0
0.89,0.0,0.0,0.0,0.5,1170,0,83,0,0
0.9,0.0,0.0,0.0,0.5,1170,0,83,0,0
0.91,0.0,0.0,0.0,0.5,1170,0,83,0,0
0.92,0.0,0.0,0.0,0.5,1170,0,83,0,0
0.93,0.0,0.0,0.0,0.5,1170,0,83,0,0
0.9400000000000001,0.0,0.0,0.0,0.5,1170,0,83,0,0
0.9500000000000001,0.0,0.0,0.0,0.5,1170,0,83,0,0
0.9600000000000001,0.0,0.0,0.0,0.5,1170,0,83,0,0
0.97,0.0,0.0,0.0,0.5,1170,0,83,0,0
0.98,0.0,0.0,0.0,0.5,1170,0,83,0,0
0.99,0.0,0.0,0.0,0.5,1170,0,83,0,0
