lower_threshold,upper_threshold,total_records,total_failures,low_risk_records,review_records,high_risk_records,low_risk_rate,review_rate,high_risk_rate,automation_coverage,low_risk_failures,low_risk_passes,review_failures,review_passes,high_risk_failures,high_risk_passes,low_risk_npv,high_risk_precision,high_risk_failure_capture,review_failure_capture,review_plus_high_failure_capture,low_risk_failure_leakage,operational_cost
0.01,0.1,1253,83,180,875,198,0.14365522745411013,0.6983240223463687,0.15802075019952114,0.3016759776536313,0,180,46,829,37,161,1.0,0.18686868686868688,0.4457831325301205,0.5542168674698795,1.0,0.0,1335.0
0.01,0.11,1253,83,180,875,198,0.14365522745411013,0.6983240223463687,0.15802075019952114,0.3016759776536313,0,180,46,829,37,161,1.0,0.18686868686868688,0.4457831325301205,0.5542168674698795,1.0,0.0,1335.0
0.01,0.12,1253,83,180,937,136,0.14365522745411013,0.74780526735834,0.10853950518754989,0.25219473264166004,0,180,53,884,30,106,1.0,0.22058823529411764,0.3614457831325301,0.6385542168674698,1.0,0.0,1228.5
0.01,0.13,1253,83,180,970,103,0.14365522745411013,0.7741420590582602,0.08220271348762968,0.22585794094173983,0,180,57,913,26,77,1.0,0.2524271844660194,0.3132530120481928,0.6867469879518072,1.0,0.0,1172.5
0.01,0.13999999999999999,1253,83,180,970,103,0.14365522745411013,0.7741420590582602,0.08220271348762968,0.22585794094173983,0,180,57,913,26,77,1.0,0.2524271844660194,0.3132530120481928,0.6867469879518072,1.0,0.0,1172.5
0.01,0.14999999999999997,1253,83,180,970,103,0.14365522745411013,0.7741420590582602,0.08220271348762968,0.22585794094173983,0,180,57,913,26,77,1.0,0.2524271844660194,0.3132530120481928,0.6867469879518072,1.0,0.0,1172.5
0.01,0.15999999999999998,1253,83,180,970,103,0.14365522745411013,0.7741420590582602,0.08220271348762968,0.22585794094173983,0,180,57,913,26,77,1.0,0.2524271844660194,0.3132530120481928,0.6867469879518072,1.0,0.0,1172.5
0.01,0.16999999999999998,1253,83,180,970,103,0.14365522745411013,0.7741420590582602,0.08220271348762968,0.22585794094173983,0,180,57,913,26,77,1.0,0.2524271844660194,0.3132530120481928,0.6867469879518072,1.0,0.0,1172.5
0.01,0.17999999999999997,1253,83,180,970,103,0.14365522745411013,0.7741420590582602,0.08220271348762968,0.22585794094173983,0,180,57,913,26,77,1.0,0.2524271844660194,0.3132530120481928,0.6867469879518072,1.0,0.0,1172.5
0.01,0.18999999999999995,1253,83,180,970,103,0.14365522745411013,0.7741420590582602,0.08220271348762968,0.22585794094173983,0,180,57,913,26,77,1.0,0.2524271844660194,0.3132530120481928,0.6867469879518072,1.0,0.0,1172.5
0.01,0.19999999999999996,1253,83,180,970,103,0.14365522745411013,0.7741420590582602,0.08220271348762968,0.22585794094173983,0,180,57,913,26,77,1.0,0.2524271844660194,0.3132530120481928,0.6867469879518072,1.0,0.0,1172.5
0.01,0.20999999999999996,1253,83,180,970,103,0.14365522745411013,0.7741420590582602,0.08220271348762968,0.22585794094173983,0,180,57,913,26,77,1.0,0.2524271844660194,0.3132530120481928,0.6867469879518072,1.0,0.0,1172.5
0.01,0.21999999999999995,1253,83,180,993,80,0.14365522745411013,0.7924980047885076,0.06384676775738228,0.20750199521149243,0,180,62,931,21,59,1.0,0.2625,0.25301204819277107,0.7469879518072289,1.0,0.0,1139.0
0.01,0.22999999999999993,1253,83,180,1056,17,0.14365522745411013,0.8427773343974462,0.013567438148443736,0.15722266560255388,0,180,76,980,7,10,1.0,0.4117647058823529,0.08433734939759036,0.9156626506024096,1.0,0.0,1048.0
0.01,0.23999999999999994,1253,83,180,1056,17,0.14365522745411013,0.8427773343974462,0.013567438148443736,0.15722266560255388,0,180,76,980,7,10,1.0,0.4117647058823529,0.08433734939759036,0.9156626506024096,1.0,0.0,1048.0
0.01,0.24999999999999994,1253,83,180,1056,17,0.14365522745411013,0.8427773343974462,0.013567438148443736,0.15722266560255388,0,180,76,980,7,10,1.0,0.4117647058823529,0.08433734939759036,0.9156626506024096,1.0,0.0,1048.0
0.01,0.2599999999999999,1253,83,180,1056,17,0.14365522745411013,0.8427773343974462,0.013567438148443736,0.15722266560255388,0,180,76,980,7,10,1.0,0.4117647058823529,0.08433734939759036,0.9156626506024096,1.0,0.0,1048.0
0.01,0.2699999999999999,1253,83,180,1056,17,0.14365522745411013,0.8427773343974462,0.013567438148443736,0.15722266560255388,0,180,76,980,7,10,1.0,0.4117647058823529,0.08433734939759036,0.9156626506024096,1.0,0.0,1048.0
0.01,0.2799999999999999,1253,83,180,1056,17,0.14365522745411013,0.8427773343974462,0.013567438148443736,0.15722266560255388,0,180,76,980,7,10,1.0,0.4117647058823529,0.08433734939759036,0.9156626506024096,1.0,0.0,1048.0
0.01,0.2899999999999999,1253,83,180,1056,17,0.14365522745411013,0.8427773343974462,0.013567438148443736,0.15722266560255388,0,180,76,980,7,10,1.0,0.4117647058823529,0.08433734939759036,0.9156626506024096,1.0,0.0,1048.0
0.01,0.29999999999999993,1253,83,180,1056,17,0.14365522745411013,0.8427773343974462,0.013567438148443736,0.15722266560255388,0,180,76,980,7,10,1.0,0.4117647058823529,0.08433734939759036,0.9156626506024096,1.0,0.0,1048.0
0.01,0.3099999999999999,1253,83,180,1056,17,0.14365522745411013,0.8427773343974462,0.013567438148443736,0.15722266560255388,0,180,76,980,7,10,1.0,0.4117647058823529,0.08433734939759036,0.9156626506024096,1.0,0.0,1048.0
0.01,0.3199999999999999,1253,83,180,1056,17,0.14365522745411013,0.8427773343974462,0.013567438148443736,0.15722266560255388,0,180,76,980,7,10,1.0,0.4117647058823529,0.08433734939759036,0.9156626506024096,1.0,0.0,1048.0
0.01,0.3299999999999999,1253,83,180,1056,17,0.14365522745411013,0.8427773343974462,0.013567438148443736,0.15722266560255388,0,180,76,980,7,10,1.0,0.4117647058823529,0.08433734939759036,0.9156626506024096,1.0,0.0,1048.0
0.01,0.33999999999999986,1253,83,180,1062,11,0.14365522745411013,0.8475658419792498,0.008778930566640064,0.1524341580207502,0,180,78,984,5,6,1.0,0.45454545454545453,0.060240963855421686,0.9397590361445783,1.0,0.0,1041.0
0.01,0.34999999999999987,1253,83,180,1062,11,0.14365522745411013,0.8475658419792498,0.008778930566640064,0.1524341580207502,0,180,78,984,5,6,1.0,0.45454545454545453,0.060240963855421686,0.9397590361445783,1.0,0.0,1041.0
0.01,0.3599999999999999,1253,83,180,1062,11,0.14365522745411013,0.8475658419792498,0.008778930566640064,0.1524341580207502,0,180,78,984,5,6,1.0,0.45454545454545453,0.060240963855421686,0.9397590361445783,1.0,0.0,1041.0
0.01,0.3699999999999999,1253,83,180,1062,11,0.14365522745411013,0.8475658419792498,0.008778930566640064,0.1524341580207502,0,180,78,984,5,6,1.0,0.45454545454545453,0.060240963855421686,0.9397590361445783,1.0,0.0,1041.0
0.01,0.3799999999999999,1253,83,180,1062,11,0.14365522745411013,0.8475658419792498,0.008778930566640064,0.1524341580207502,0,180,78,984,5,6,1.0,0.45454545454545453,0.060240963855421686,0.9397590361445783,1.0,0.0,1041.0
