lower_threshold,upper_threshold,total_records,total_failures,total_passes,low_risk_records,review_records,high_risk_records,low_risk_rate,review_rate,high_risk_rate,automation_coverage,low_risk_failures,low_risk_passes,review_failures,review_passes,high_risk_failures,high_risk_passes,low_risk_npv,high_risk_precision,low_risk_failure_leakage,high_risk_failure_capture,review_failure_capture,review_plus_high_failure_capture,high_risk_false_alarm_rate,operational_cost
0.005,0.05,1253,83,1170,0,594,659,0.0,0.47406225059856344,0.5259377494014366,0.5259377494014366,0,0,12,582,71,588,,0.10773899848254932,0.0,0.8554216867469879,0.14457831325301204,1.0,0.5025641025641026,2352.0
0.005,0.055,1253,83,1170,0,675,578,0.0,0.538707102952913,0.461292897047087,0.461292897047087,0,0,14,661,69,509,,0.11937716262975778,0.0,0.8313253012048193,0.1686746987951807,1.0,0.43504273504273505,2195.0
0.005,0.06,1253,83,1170,0,741,512,0.0,0.5913806863527534,0.40861931364724663,0.40861931364724663,0,0,19,722,64,448,,0.125,0.0,0.7710843373493976,0.2289156626506024,1.0,0.38290598290598293,2075.5
0.005,0.065,1253,83,1170,0,785,468,0.0,0.6264964086193137,0.37350359138068634,0.37350359138068634,0,0,22,763,61,407,,0.13034188034188035,0.0,0.7349397590361446,0.26506024096385544,1.0,0.34786324786324785,1995.0
0.005,0.06999999999999999,1253,83,1170,0,846,407,0.0,0.6751795690343176,0.32482043096568236,0.32482043096568236,0,0,29,817,54,353,,0.13267813267813267,0.0,0.6506024096385542,0.3493975903614458,1.0,0.3017094017094017,1890.5
0.005,0.07499999999999998,1253,83,1170,0,886,367,0.0,0.7071029529130087,0.2928970470869912,0.2928970470869912,0,0,36,850,47,320,,0.12806539509536785,0.0,0.5662650602409639,0.43373493975903615,1.0,0.27350427350427353,1828.0
0.005,0.07999999999999999,1253,83,1170,0,925,328,0.0,0.7382282521947326,0.26177174780526735,0.26177174780526735,0,0,40,885,43,285,,0.13109756097560976,0.0,0.5180722891566265,0.4819277108433735,1.0,0.24358974358974358,1760.0
0.005,0.08499999999999999,1253,83,1170,0,957,296,0.0,0.7637669592976856,0.23623304070231443,0.23623304070231443,0,0,42,915,41,255,,0.13851351351351351,0.0,0.4939759036144578,0.5060240963855421,1.0,0.21794871794871795,1701.0
0.005,0.08999999999999998,1253,83,1170,0,984,269,0.0,0.7853152434158021,0.21468475658419792,0.21468475658419792,0,0,43,941,40,229,,0.14869888475836432,0.0,0.4819277108433735,0.5180722891566265,1.0,0.19572649572649573,1649.5
0.005,0.09499999999999997,1253,83,1170,0,1005,248,0.0,0.8020750199521149,0.19792498004788509,0.19792498004788509,0,0,45,960,38,210,,0.1532258064516129,0.0,0.4578313253012048,0.5421686746987951,1.0,0.1794871794871795,1612.5
