feature_1,feature_2,correlation,absolute_correlation
sensor_343,sensor_348,1.000000000000001,1.000000000000001
sensor_210,sensor_479,1.000000000000001,1.000000000000001
sensor_207,sensor_210,1.000000000000001,1.000000000000001
sensor_210,sensor_348,1.0000000000000009,1.0000000000000009
sensor_210,sensor_343,1.0000000000000007,1.0000000000000007
sensor_075,sensor_210,1.0000000000000007,1.0000000000000007
sensor_075,sensor_479,1.0000000000000004,1.0000000000000004
sensor_075,sensor_343,1.0000000000000004,1.0000000000000004
sensor_075,sensor_348,1.0000000000000004,1.0000000000000004
sensor_348,sensor_479,1.0,1.0
sensor_207,sensor_348,0.9999999999999999,0.9999999999999999
sensor_207,sensor_479,0.9999999999999999,0.9999999999999999
sensor_075,sensor_207,0.9999999999999996,0.9999999999999996
sensor_207,sensor_343,0.9999999999999991,0.9999999999999991
sensor_343,sensor_479,0.999999999999999,0.999999999999999
sensor_035,sensor_037,-0.9999999997051974,0.9999999997051974
sensor_141,sensor_276,0.9999999763804138,0.9999999763804138
sensor_173,sensor_175,0.9999998114019357,0.9999998114019357
sensor_308,sensor_310,0.9999994239854242,0.9999994239854242
sensor_153,sensor_288,0.9999970975932192,0.9999970975932192
sensor_253,sensor_391,0.9999914227740377,0.9999914227740377
sensor_005,sensor_276,0.9999755703379887,0.9999755703379887
sensor_005,sensor_141,0.9999751252655678,0.9999751252655678
sensor_252,sensor_390,0.9999393815150169,0.9999393815150169
sensor_250,sensor_388,0.9999383781646553,0.9999383781646553
sensor_584,sensor_586,0.9998896742591007,0.9998896742591007
sensor_177,sensor_448,0.9998871448456268,0.9998871448456268
sensor_390,sensor_524,0.9998565225634892,0.9998565225634892
sensor_269,sensor_541,0.9998372216098844,0.9998372216098844
sensor_252,sensor_524,0.9998371595428934,0.9998371595428934
sensor_249,sensor_521,0.999731811527691,0.999731811527691
sensor_148,sensor_283,0.9995955665653933,0.9995955665653933
sensor_178,sensor_449,0.9995369688477961,0.9995369688477961
sensor_188,sensor_460,0.9995276908822001,0.9995276908822001
sensor_149,sensor_284,0.9995218152223937,0.9995218152223937
sensor_176,sensor_447,0.9994828094868429,0.9994828094868429
sensor_254,sensor_526,0.9993621925866564,0.9993621925866564
sensor_148,sensor_421,0.9993363919949613,0.9993363919949613
sensor_196,sensor_468,0.9992729432482959,0.9992729432482959
sensor_255,sensor_527,0.9992562452131024,0.9992562452131024
sensor_136,sensor_409,0.9991662823332222,0.9991662823332222
sensor_182,sensor_454,0.9991299469279972,0.9991299469279972
sensor_222,sensor_494,0.9989352206061557,0.9989352206061557
sensor_283,sensor_421,0.9988349383883219,0.9988349383883219
sensor_149,sensor_422,0.9988153701419469,0.9988153701419469
sensor_552,sensor_558,0.9987376187294208,0.9987376187294208
sensor_155,sensor_428,0.9987198127719606,0.9987198127719606
sensor_173,sensor_444,0.9985339932608617,0.9985339932608617
sensor_175,sensor_444,0.9985309838627927,0.9985309838627927
sensor_144,sensor_417,0.9983478675137696,0.9983478675137696
sensor_157,sensor_430,0.9982487349306528,0.9982487349306528
sensor_268,sensor_540,0.9982439246538904,0.9982439246538904
sensor_154,sensor_289,0.9982213780943413,0.9982213780943413
sensor_361,sensor_495,0.9981143304161469,0.9981143304161469
sensor_198,sensor_470,0.9980748197090155,0.9980748197090155
sensor_249,sensor_387,0.998017091964614,0.998017091964614
sensor_551,sensor_557,0.9980031757822245,0.9980031757822245
sensor_139,sensor_412,0.9979817479324248,0.9979817479324248
sensor_184,sensor_456,0.9979568682110527,0.9979568682110527
sensor_284,sensor_422,0.9978742185504933,0.9978742185504933
sensor_256,sensor_528,0.9978308439843415,0.9978308439843415
sensor_387,sensor_521,0.9977187993513671,0.9977187993513671
sensor_137,sensor_410,0.9975302621917781,0.9975302621917781
sensor_552,sensor_555,0.9972598627588736,0.9972598627588736
sensor_208,sensor_480,0.997228344004441,0.997228344004441
sensor_178,sensor_313,0.9971299300056724,0.9971299300056724
sensor_199,sensor_471,0.997090954572308,0.997090954572308
sensor_175,sensor_446,0.997073715028566,0.997073715028566
sensor_173,sensor_446,0.9970693933754667,0.9970693933754667
sensor_204,sensor_476,0.9970208372074206,0.9970208372074206
sensor_223,sensor_495,0.9969021470697893,0.9969021470697893
sensor_186,sensor_458,0.9967772701762578,0.9967772701762578
sensor_165,sensor_300,0.9967246215604603,0.9967246215604603
sensor_313,sensor_449,0.9966939981904647,0.9966939981904647
sensor_224,sensor_496,0.996676925775887,0.996676925775887
sensor_161,sensor_296,0.9964805927137068,0.9964805927137068
sensor_166,sensor_301,0.9963160828109964,0.9963160828109964
sensor_220,sensor_492,0.9962420282340158,0.9962420282340158
sensor_436,sensor_437,0.9962160666685013,0.9962160666685013
sensor_565,sensor_569,0.9961372770996216,0.9961372770996216
sensor_138,sensor_411,0.9958139685689442,0.9958139685689442
sensor_253,sensor_525,0.9958043409065607,0.9958043409065607
sensor_170,sensor_441,0.9957210918781215,0.9957210918781215
sensor_225,sensor_363,0.9957203030586431,0.9957203030586431
sensor_154,sensor_427,0.9957198635350617,0.9957198635350617
sensor_391,sensor_525,0.9956676752306483,0.9956676752306483
sensor_555,sensor_558,0.9956603149589738,0.9956603149589738
sensor_156,sensor_429,0.9955019787679871,0.9955019787679871
sensor_550,sensor_553,0.9953869808817666,0.9953869808817666
sensor_585,sensor_586,0.995341667941174,0.995341667941174
sensor_214,sensor_352,0.9950934176711742,0.9950934176711742
sensor_171,sensor_442,0.9949853076644665,0.9949853076644665
sensor_573,sensor_577,0.9947721462418854,0.9947721462418854
sensor_584,sensor_585,0.9947708504615712,0.9947708504615712
sensor_162,sensor_297,0.9946493954031396,0.9946493954031396
sensor_289,sensor_427,0.9944315157546587,0.9944315157546587
sensor_181,sensor_453,0.9944279468748849,0.9944279468748849
sensor_186,sensor_322,0.9942441247066727,0.9942441247066727
sensor_155,sensor_290,0.9939287902198192,0.9939287902198192
sensor_174,sensor_445,0.993856346472899,0.993856346472899
sensor_573,sensor_575,0.9936889370646438,0.9936889370646438
sensor_435,sensor_436,0.9936649922448776,0.9936649922448776
sensor_213,sensor_351,0.9935436881904626,0.9935436881904626
sensor_164,sensor_299,0.9933925754046595,0.9933925754046595
sensor_290,sensor_428,0.9932634358557265,0.9932634358557265
sensor_145,sensor_418,0.9932608274694255,0.9932608274694255
sensor_160,sensor_295,0.993240108171427,0.993240108171427
sensor_226,sensor_498,0.9930750351252716,0.9930750351252716
sensor_157,sensor_292,0.9930169405207437,0.9930169405207437
sensor_143,sensor_416,0.9926149651050913,0.9926149651050913
sensor_435,sensor_437,0.992333192604443,0.992333192604443
sensor_284,sensor_288,0.9917848331086208,0.9917848331086208
sensor_153,sensor_284,0.9917734177443231,0.9917734177443231
sensor_575,sensor_577,0.9917381386924827,0.9917381386924827
sensor_206,sensor_342,0.9916968205114586,0.9916968205114586
sensor_444,sensor_446,0.9914910880843819,0.9914910880843819
sensor_292,sensor_430,0.9914294618730318,0.9914294618730318
sensor_185,sensor_321,0.9913047838591083,0.9913047838591083
sensor_094,sensor_107,-0.9912636259751916,0.9912636259751916
sensor_149,sensor_288,0.9910763940562629,0.9910763940562629
sensor_149,sensor_153,0.9910687213952104,0.9910687213952104
sensor_203,sensor_339,0.9910098708073347,0.9910098708073347
sensor_223,sensor_361,0.9907530381860485,0.9907530381860485
sensor_544,sensor_546,0.990252647195445,0.990252647195445
sensor_322,sensor_458,0.990234931730701,0.990234931730701
sensor_167,sensor_438,0.990170699436625,0.990170699436625
sensor_152,sensor_287,0.9900033347081303,0.9900033347081303
sensor_268,sensor_406,0.9898764079721966,0.9898764079721966
sensor_100,sensor_105,-0.9895771239953098,0.9895771239953098
sensor_566,sensor_568,0.9891295665880384,0.9891295665880384
sensor_183,sensor_455,0.9890822007134894,0.9890822007134894
sensor_093,sensor_106,-0.9888572996016787,0.9888572996016787
sensor_212,sensor_350,0.9886743806643488,0.9886743806643488
sensor_163,sensor_298,0.9884046081319027,0.9884046081319027
sensor_340,sensor_476,0.9884029824016595,0.9884029824016595
sensor_255,sensor_393,0.988397353402844,0.988397353402844
sensor_342,sensor_478,0.9882197069161672,0.9882197069161672
sensor_324,sensor_460,0.9882043792184556,0.9882043792184556
sensor_188,sensor_324,0.9881811601766816,0.9881811601766816
sensor_334,sensor_470,0.9873069714626831,0.9873069714626831
sensor_218,sensor_356,0.9872986227027083,0.9872986227027083
sensor_172,sensor_307,0.9872002962292321,0.9872002962292321
sensor_254,sensor_392,0.9871868299859659,0.9871868299859659
sensor_406,sensor_540,0.9869203285478538,0.9869203285478538
sensor_392,sensor_526,0.9867497186334079,0.9867497186334079
sensor_393,sensor_527,0.9867453264836273,0.9867453264836273
sensor_206,sensor_478,0.986621896287652,0.986621896287652
