feature,q1,q3,iqr,lower_bound,upper_bound,outlier_count,outlier_rate
sensor_032,3.3627,3.5313,0.16860000000000008,3.1098,3.7842000000000002,354,0.22619808306709266
sensor_041,74.8,80.2,5.400000000000006,66.69999999999999,88.30000000000001,330,0.21386908619572262
sensor_563,259.9725,265.707,5.734499999999969,251.37075000000007,274.3087499999999,215,0.1661514683153014
sensor_130,-0.8988,0.0473,0.9461,-2.31795,1.46645,238,0.1527599486521181
sensor_545,0.0024,0.0026,0.0002000000000000001,0.0020999999999999994,0.0029,239,0.15271565495207667
sensor_313,0.0915,0.160175,0.06867500000000001,-0.011512500000000023,0.2631875,234,0.14942528735632185
sensor_196,0.218,0.296,0.07799999999999999,0.10100000000000002,0.413,233,0.1490722968650032
sensor_449,0.1877,0.3511,0.16340000000000002,-0.057400000000000034,0.5962000000000001,230,0.14687100893997446
sensor_178,0.222,0.423,0.20099999999999998,-0.07949999999999999,0.7244999999999999,230,0.14687100893997446
sensor_468,4.6975,6.3869,1.6894,2.1633999999999998,8.921,218,0.13947536788227768
sensor_520,4.1603,10.97185,6.8115499999999995,-6.0570249999999985,21.189175,114,0.13380281690140844
sensor_248,0.0192,0.0515,0.032299999999999995,-0.029249999999999995,0.09994999999999998,114,0.13380281690140844
sensor_252,0.0007,0.0013,0.0006,-0.00019999999999999998,0.0021999999999999997,201,0.12827058072750477
sensor_524,0.07305,0.13319999999999999,0.06014999999999998,-0.017174999999999968,0.22342499999999996,199,0.12699425654116145
sensor_042,2.69,3.521,0.831,1.4435,4.7675,195,0.12637718729747247
sensor_060,-1.871575,4.385225,6.2568,-11.256775000000001,13.770425000000001,196,0.12564102564102564
sensor_024,-4371.75,-3352.75,1019.0,-5900.25,-1824.25,194,0.12396166134185303
sensor_117,0.9895,0.9909,0.0013999999999999568,0.9874,0.9929999999999999,192,0.1225271218889598
sensor_390,0.0002,0.0004,0.0002,-0.00010000000000000002,0.0007000000000000001,189,0.1206126356094448
sensor_386,0.0053,0.011325,0.006025,-0.0037375000000000004,0.0203625,101,0.11854460093896714
sensor_546,7.116,8.0207,0.9047000000000001,5.75895,9.377749999999999,185,0.1182108626198083
sensor_336,2.0357,3.3604,1.3247,0.04864999999999986,5.34745,180,0.11531069827033953
sensor_472,5.8073,9.7202,3.9129000000000005,-0.06205000000000105,15.589550000000001,179,0.11467008327994875
sensor_200,6.74,11.46,4.720000000000001,-0.34000000000000075,18.540000000000003,173,0.1108263933376041
sensor_363,0.0095,0.0186,0.009099999999999999,-0.004149999999999999,0.03225,165,0.10883905013192612
sensor_293,0.008725,0.014924999999999999,0.006199999999999999,-0.0005749999999999991,0.024224999999999997,15,0.10869565217391304
sensor_368,0.0026,0.0042,0.0015999999999999999,0.0002000000000000001,0.0066,169,0.108263933376041
sensor_384,0.2955,0.5412,0.24570000000000003,-0.07305000000000006,0.9097500000000001,57,0.10382513661202186
sensor_225,0.029775,0.0613,0.031525,-0.017512499999999997,0.1085875,153,0.10092348284960422
sensor_082,-0.0272,-0.012,0.015199999999999998,-0.049999999999999996,0.010799999999999997,154,0.09980557355800389
sensor_163,451.0,6384.0,5933.0,-8448.5,15283.5,156,0.09968051118210862
sensor_298,210.9366,3190.6164,2979.6798,-4258.5831,7660.1361,154,0.09840255591054313
sensor_497,16.342299999999998,32.438475,16.096175,-7.801962499999998,56.58273749999999,149,0.09828496042216359
sensor_544,0.0078,0.009,0.0011999999999999997,0.006,0.010799999999999999,153,0.09776357827476038
sensor_158,0.027049999999999998,0.048875,0.021825000000000004,-0.005687500000000005,0.0816125,13,0.09420289855072464
sensor_246,0.9115,1.7618,0.8503000000000001,-0.3639500000000002,3.0372500000000002,51,0.09289617486338798
sensor_495,0.139,0.563,0.42399999999999993,-0.4969999999999999,1.1989999999999998,144,0.09189534141671984
sensor_518,0.8903,1.7597,0.8694000000000001,-0.41380000000000006,3.0638,50,0.09107468123861566
sensor_426,3.7662,6.8835,3.1172999999999997,-0.9097499999999994,11.559449999999998,140,0.08951406649616368
sensor_040,118.0156,118.9396,0.9239999999999924,116.62960000000001,120.32559999999998,139,0.08876117496807152
sensor_369,0.0022,0.0036,0.0013999999999999998,0.0001000000000000007,0.005699999999999999,138,0.08840486867392697
sensor_223,0.0014,0.0055,0.0040999999999999995,-0.004749999999999999,0.011649999999999999,138,0.08806636885768986
sensor_347,2.5327,4.0857,1.553,0.20320000000000027,6.4152000000000005,68,0.08796895213454076
sensor_361,0.0004,0.0018,0.0014,-0.0017,0.0039,136,0.08679004467134652
sensor_162,1321.0,5034.0,3713.0,-4248.5,10603.5,134,0.08562300319488818
sensor_111,100.389,102.0781,1.6891000000000105,97.85534999999999,104.61175000000003,47,0.08561020036429873
sensor_160,411.0,966.0,555.0,-421.5,1798.5,133,0.08498402555910543
sensor_590,44.3686,114.7497,70.3811,-61.203050000000005,220.32135,133,0.08492975734355045
sensor_295,185.0898,428.5545,243.46470000000002,-180.10725000000005,793.7515500000001,131,0.08370607028753993
sensor_559,0.9552,1.0008,0.04559999999999986,0.8868000000000003,1.0691999999999997,130,0.08301404853128991
sensor_341,0.0346,0.0668,0.0322,-0.013699999999999997,0.1151,128,0.08199871877001921
sensor_297,603.0329,2341.2887,1738.2558,-2004.3507999999997,4948.6723999999995,128,0.0817891373801917
sensor_484,81.31615,262.86525,181.5491,-191.00750000000005,535.1889000000001,122,0.07906675307841866
sensor_145,0.0839,0.1327,0.04880000000000001,0.010699999999999987,0.20590000000000003,123,0.07859424920127796
sensor_068,0.8907,1.065,0.1742999999999999,0.6292500000000002,1.32645,121,0.07751441383728379
sensor_288,0.114875,0.19845,0.08357499999999998,-0.010487499999999983,0.32381249999999995,120,0.07672634271099744
sensor_025,-1476.0,1377.25,2853.25,-5755.875,5657.125,119,0.07603833865814696
sensor_431,6.9997,17.4231,10.4234,-8.6354,33.0582,117,0.07476038338658147
sensor_072,87.4842,115.4989,28.014700000000005,45.462149999999994,157.52095000000003,116,0.07431133888532991
sensor_094,-0.0016,0.001,0.0026,-0.0055,0.0049,116,0.07412140575079872
sensor_418,5.7655,9.1688,3.403299999999999,0.6605500000000015,14.273749999999998,116,0.07412140575079872
sensor_107,-0.001,0.0016,0.0026,-0.0049,0.0055,115,0.07367072389493914
sensor_433,31.0324,120.1729,89.1405,-102.67835000000002,253.88365000000002,115,0.07348242811501597
sensor_280,0.0283,0.0458,0.0175,0.0020499999999999963,0.07205,112,0.07156549520766774
sensor_205,0.1143,0.2307,0.11639999999999999,-0.06029999999999998,0.4053,111,0.07110826393337603
sensor_153,0.37375,0.679925,0.306175,-0.08551249999999994,1.1391875,109,0.06969309462915602
sensor_228,0.0132,0.0212,0.008,0.0011999999999999997,0.0332,109,0.06964856230031949
sensor_582,46.1849,116.53914999999999,70.35425,-59.346475,222.07052499999998,43,0.06957928802588997
sensor_477,11.5771,23.7372,12.160100000000002,-6.663050000000004,41.97735,108,0.06918641896220372
sensor_486,50.38355,288.89345000000003,238.50990000000002,-307.3813,646.6583,104,0.06740116655865197
sensor_485,76.4554,294.66705,218.21165000000002,-250.86207500000006,621.9845250000001,102,0.0661049902786779
sensor_574,0.24225,0.3669,0.12465000000000001,0.05527499999999999,0.553875,103,0.06573069559668156
