wafer_id,target,status,timestamp,calibrated_failure_probability,prediction_confidence,combined_uncertainty,data_confidence,ood_percentile,missing_sensor_rate,probability_interval_lower,probability_interval_upper,probability_interval_width,uncertainty_adjusted_decision,abstention_reason,failed_neighbour_count,passed_neighbour_count,historical_weighted_failure_rate,historical_raw_failure_rate,mean_similarity,maximum_similarity,historical_evidence_level,positive_shap_total,negative_shap_total,top_risk_features,top_protective_features,explanation_text,model_evidence_strength,prediction_reliability,data_familiarity_score,data_familiarity_band,derived_historical_evidence,evidence_agreement,evidence_conflict_flag,recommended_action,engineering_evidence_narrative,primary_decision_retained,new_failure_probability_created,physical_root_cause_claimed
WF-000247,0,Pass,2008-08-18 04:35:00,0.0881819396074319,0.2720674056271345,0.7279325943728655,0.5521026868848099,0.6193136472466081,0.0266666666666666,0.0698198813303259,0.100708752600749,0.0308888712704231,High Risk,No abstention,1,9,0.1342108829865639,0.1,0.4247089646065771,0.5854706442092765,Limited Failure Evidence,0.2018745517370386,0.270255504117991,"sensor_060, sensor_206, sensor_478, sensor_342, sensor_386","sensor_032, sensor_104","The record was assigned to High Risk with a calibrated failure probability of 8.82%. The strongest model contributions increasing risk were sensor_060, sensor_206, sensor_478. Contributions reducing predicted risk were sensor_032, sensor_104. The internal prediction-confidence score was 27.21%. Because SECOM sensors are anonymous, these features must be treated as statistical indicators rather than confirmed physical root causes.",Strong Risk Signal,Moderate Reliability,0.3806863527533919,Unusual,Limited Historical Failure Evidence,High Risk with Reliability Caution,True,Hold for inspection or prioritised engineering assessment before continuing.,"The primary operational decision is High Risk. The retained Beta-calibrated model estimated a failure probability of 8.82%, corresponding to Strong Risk Signal. Prediction reliability is Moderate Reliability, and the record is unusual relative to the development data. The ten retrieved development neighbours contained 1 observed failures, with a similarity-weighted historical failure rate of 13.42%; this is classified as Limited Historical Failure Evidence. The principal model-attribution features were sensor_060, sensor_206, sensor_478, sensor_342, sensor_386. Overall evidence status: High Risk with Reliability Caution. Historical similarity and SHAP attribution are supporting statistical evidence only and do not establish a physical root cause.",True,False,False
WF-001316,0,Pass,2008-10-05 09:47:00,0.0484713095501457,0.4378494232213429,0.5621505767786571,0.8961211315066063,0.2394253790901835,0.0177777777777777,0.047269783496102,0.0622321341751029,0.0149623506790008,Engineering Review,No abstention,0,10,0.0,0.0,0.4354055775306072,0.8682854802811479,No Retrieved Failure Evidence,0.1446950266330651,0.2830045504425889,"sensor_406, sensor_082, sensor_268, sensor_056, sensor_022","sensor_104, sensor_060, sensor_389, sensor_478, sensor_206","The record was assigned to Engineering Review with a calibrated failure probability of 4.85%. The strongest model contributions increasing risk were sensor_406, sensor_082, sensor_268. Contributions reducing predicted risk were sensor_104, sensor_060, sensor_389. The internal prediction-confidence score was 43.78%. Because SECOM sensors are anonymous, these features must be treated as statistical indicators rather than confirmed physical root causes.",Intermediate Risk Signal,Moderate Reliability,0.7605746209098165,Very Familiar,No Retrieved Historical Failure Evidence,Mixed or Intermediate Evidence,False,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,"The primary operational decision is Engineering Review. The retained Beta-calibrated model estimated a failure probability of 4.85%, corresponding to Intermediate Risk Signal. Prediction reliability is Moderate Reliability, and the record is very familiar relative to the development data. The ten retrieved development neighbours contained 0 observed failures, with a similarity-weighted historical failure rate of 0.00%; this is classified as No Retrieved Historical Failure Evidence. The principal model-attribution features were sensor_406, sensor_082, sensor_268, sensor_056, sensor_022. Overall evidence status: Mixed or Intermediate Evidence. Historical similarity and SHAP attribution are supporting statistical evidence only and do not establish a physical root cause.",True,False,False
WF-000445,0,Pass,2008-08-24 07:12:00,0.0527244553091201,0.2088607534148435,0.7911392465851564,0.5448042919216104,0.7517956903431764,0.0177777777777777,0.0460722658478868,0.1022211582078549,0.056148892359968,Engineering Review,No abstention,0,10,0.0,0.0,0.0020340862403764,0.0086842083375397,No Retrieved Failure Evidence,0.1473127418160195,0.276336551339829,"sensor_104, sensor_317, sensor_015","sensor_248, sensor_520, sensor_389, sensor_444, sensor_020","The record was assigned to Engineering Review with a calibrated failure probability of 5.27%. The strongest model contributions increasing risk were sensor_104, sensor_317, sensor_015. Contributions reducing predicted risk were sensor_248, sensor_520, sensor_389. The internal prediction-confidence score was 20.89%. Because SECOM sensors are anonymous, these features must be treated as statistical indicators rather than confirmed physical root causes.",Intermediate Risk Signal,Low Reliability,0.2482043096568236,Unusual,No Retrieved Historical Failure Evidence,Review Driven by Reliability Concern,False,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,"The primary operational decision is Engineering Review. The retained Beta-calibrated model estimated a failure probability of 5.27%, corresponding to Intermediate Risk Signal. Prediction reliability is Low Reliability, and the record is unusual relative to the development data. The ten retrieved development neighbours contained 0 observed failures, with a similarity-weighted historical failure rate of 0.00%; this is classified as No Retrieved Historical Failure Evidence. The principal model-attribution features were sensor_104, sensor_317, sensor_015. Overall evidence status: Review Driven by Reliability Concern. Historical similarity and SHAP attribution are supporting statistical evidence only and do not establish a physical root cause.",True,False,False
WF-000297,0,Pass,2008-08-19 08:07:00,0.0629760541589986,0.3174293547995154,0.6825706452004846,0.7656701250332535,0.4628890662410215,0.0266666666666666,0.0433088439674305,0.0842944555136757,0.0409856115462452,Engineering Review,No abstention,0,10,0.0,0.0,0.3261172875985894,0.4455118907463632,No Retrieved Failure Evidence,0.1531068539333886,0.261940187266722,"sensor_342, sensor_001, sensor_206","sensor_104, sensor_131, sensor_201, sensor_317, sensor_453","The record was assigned to Engineering Review with a calibrated failure probability of 6.30%. The strongest model contributions increasing risk were sensor_342, sensor_001, sensor_206. Contributions reducing predicted risk were sensor_104, sensor_131, sensor_201. The internal prediction-confidence score was 31.74%. Because SECOM sensors are anonymous, these features must be treated as statistical indicators rather than confirmed physical root causes.",Intermediate Risk Signal,Moderate Reliability,0.5371109337589786,Familiar,No Retrieved Historical Failure Evidence,Mixed or Intermediate Evidence,False,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,"The primary operational decision is Engineering Review. The retained Beta-calibrated model estimated a failure probability of 6.30%, corresponding to Intermediate Risk Signal. Prediction reliability is Moderate Reliability, and the record is familiar relative to the development data. The ten retrieved development neighbours contained 0 observed failures, with a similarity-weighted historical failure rate of 0.00%; this is classified as No Retrieved Historical Failure Evidence. The principal model-attribution features were sensor_342, sensor_001, sensor_206. Overall evidence status: Mixed or Intermediate Evidence. Historical similarity and SHAP attribution are supporting statistical evidence only and do not establish a physical root cause.",True,False,False
WF-001296,0,Pass,2008-10-04 18:25:00,0.0423677814160584,0.4164477548165061,0.5835522451834938,0.80143247317549,0.4676775738228252,0.0088888888888888,0.0343131682910144,0.0483973143373734,0.014084146046359,Engineering Review,No abstention,3,7,0.2554802559984329,0.3,0.369008541893327,0.6435961626061641,Moderate Failure Evidence,0.157686871327558,0.3104963951370819,,"sensor_104, sensor_520, sensor_248, sensor_511, sensor_060","The record was assigned to Engineering Review with a calibrated failure probability of 4.24%. The strongest model contributions increasing risk were no dominant positive sensor contribution. Contributions reducing predicted risk were sensor_104, sensor_520, sensor_248. The internal prediction-confidence score was 41.64%. Because SECOM sensors are anonymous, these features must be treated as statistical indicators rather than confirmed physical root causes.",Intermediate Risk Signal,Moderate Reliability,0.5323224261771748,Familiar,Moderate Historical Failure Evidence,Review with Supporting Historical Risk,False,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,"The primary operational decision is Engineering Review. The retained Beta-calibrated model estimated a failure probability of 4.24%, corresponding to Intermediate Risk Signal. Prediction reliability is Moderate Reliability, and the record is familiar relative to the development data. The ten retrieved development neighbours contained 3 observed failures, with a similarity-weighted historical failure rate of 25.55%; this is classified as Moderate Historical Failure Evidence. The principal model-attribution features were no dominant positive sensor attribution was available. Overall evidence status: Review with Supporting Historical Risk. Historical similarity and SHAP attribution are supporting statistical evidence only and do not establish a physical root cause.",True,False,False
WF-001240,0,Pass,2008-10-02 09:42:00,0.0517514508083244,0.3962679002211795,0.6037320997788205,0.851312760485945,0.3280127693535515,0.0088888888888888,0.0449149952468826,0.0711062120790235,0.0261912168321408,Engineering Review,No abstention,0,10,0.0,0.0,0.6042922903203374,0.7470654786585923,No Retrieved Failure Evidence,0.1523974511342369,0.2834926892294751,sensor_133,"sensor_520, sensor_029, sensor_060, sensor_478, sensor_511","The record was assigned to Engineering Review with a calibrated failure probability of 5.18%. The strongest model contributions increasing risk were sensor_133. Contributions reducing predicted risk were sensor_520, sensor_029, sensor_060. The internal prediction-confidence score was 39.63%. Because SECOM sensors are anonymous, these features must be treated as statistical indicators rather than confirmed physical root causes.",Intermediate Risk Signal,Moderate Reliability,0.6719872306464485,Familiar,No Retrieved Historical Failure Evidence,Mixed or Intermediate Evidence,False,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,"The primary operational decision is Engineering Review. The retained Beta-calibrated model estimated a failure probability of 5.18%, corresponding to Intermediate Risk Signal. Prediction reliability is Moderate Reliability, and the record is familiar relative to the development data. The ten retrieved development neighbours contained 0 observed failures, with a similarity-weighted historical failure rate of 0.00%; this is classified as No Retrieved Historical Failure Evidence. The principal model-attribution features were sensor_133. Overall evidence status: Mixed or Intermediate Evidence. Historical similarity and SHAP attribution are supporting statistical evidence only and do not establish a physical root cause.",True,False,False
WF-001433,0,Pass,2008-10-08 21:19:00,0.023658352782628,0.419774992239957,0.5802250077600429,0.7093611776181608,0.5674381484437351,0.0355555555555555,0.0226779829129345,0.0326756432393241,0.0099976603263896,Low Risk,No abstention,0,10,0.0,0.0,0.5958191852167817,0.804091396731768,No Retrieved Failure Evidence,0.1205429244827967,0.3311619721018443,,"sensor_034, sensor_214, sensor_032, sensor_104, sensor_352","The record was assigned to Low Risk with a calibrated failure probability of 2.37%. The strongest model contributions increasing risk were no dominant positive sensor contribution. Contributions reducing predicted risk were sensor_034, sensor_214, sensor_032. The internal prediction-confidence score was 41.98%. Because SECOM sensors are anonymous, these features must be treated as statistical indicators rather than confirmed physical root causes.",Moderate Low-Risk Signal,Moderate Reliability,0.4325618515562649,Familiar,No Retrieved Historical Failure Evidence,Convergent Low-Risk Evidence,False,Continue processing under standard monitoring.,"The primary operational decision is Low Risk. The retained Beta-calibrated model estimated a failure probability of 2.37%, corresponding to Moderate Low-Risk Signal. Prediction reliability is Moderate Reliability, and the record is familiar relative to the development data. The ten retrieved development neighbours contained 0 observed failures, with a similarity-weighted historical failure rate of 0.00%; this is classified as No Retrieved Historical Failure Evidence. The principal model-attribution features were no dominant positive sensor attribution was available. Overall evidence status: Convergent Low-Risk Evidence. Historical similarity and SHAP attribution are supporting statistical evidence only and do not establish a physical root cause.",True,False,False
WF-000974,0,Pass,2008-09-21 03:47:00,0.0263637970331434,0.4233584013217353,0.5766415986782647,0.8049082202713487,0.1093375897845171,0.0,0.0264799901120596,0.0425611512539414,0.0160811611418818,Low Risk,No abstention,1,9,0.1329891349470193,0.1,0.5244335853197579,0.6974396884883847,Limited Failure Evidence,0.1292410485429489,0.3297172390191393,,"sensor_104, sensor_131, sensor_248, sensor_352, sensor_060","The record was assigned to Low Risk with a calibrated failure probability of 2.64%. The strongest model contributions increasing risk were no dominant positive sensor contribution. Contributions reducing predicted risk were sensor_104, sensor_131, sensor_248. The internal prediction-confidence score was 42.34%. Because SECOM sensors are anonymous, these features must be treated as statistical indicators rather than confirmed physical root causes.",Moderate Low-Risk Signal,Moderate Reliability,0.8906624102154829,Very Familiar,Limited Historical Failure Evidence,Low-Risk Decision with Limited Support,False,Continue processing under standard monitoring.,"The primary operational decision is Low Risk. The retained Beta-calibrated model estimated a failure probability of 2.64%, corresponding to Moderate Low-Risk Signal. Prediction reliability is Moderate Reliability, and the record is very familiar relative to the development data. The ten retrieved development neighbours contained 1 observed failures, with a similarity-weighted historical failure rate of 13.30%; this is classified as Limited Historical Failure Evidence. The principal model-attribution features were no dominant positive sensor attribution was available. Overall evidence status: Low-Risk Decision with Limited Support. Historical similarity and SHAP attribution are supporting statistical evidence only and do not establish a physical root cause.",True,False,False
WF-000284,0,Pass,2008-08-19 04:58:00,0.0511986153901467,0.3575143690842669,0.6424856309157331,0.814512902367651,0.106145251396648,0.0266666666666666,0.0523410331991086,0.0862552132812234,0.0339141800821148,Engineering Review,No abstention,0,10,0.0,0.0,0.617170772475253,0.8326098020366688,No Retrieved Failure Evidence,0.1507467240137351,0.2830324382994494,"sensor_060, sensor_153, sensor_426","sensor_104, sensor_432, sensor_424, sensor_282, sensor_126","The record was assigned to Engineering Review with a calibrated failure probability of 5.12%. The strongest model contributions increasing risk were sensor_060, sensor_153, sensor_426. Contributions reducing predicted risk were sensor_104, sensor_432, sensor_424. The internal prediction-confidence score was 35.75%. Because SECOM sensors are anonymous, these features must be treated as statistical indicators rather than confirmed physical root causes.",Intermediate Risk Signal,Moderate Reliability,0.893854748603352,Very Familiar,No Retrieved Historical Failure Evidence,Mixed or Intermediate Evidence,False,Prioritise engineering assessment using the SHAP-ranked sensor evidence and retrieved historical cases.,"The primary operational decision is Engineering Review. The retained Beta-calibrated model estimated a failure probability of 5.12%, corresponding to Intermediate Risk Signal. Prediction reliability is Moderate Reliability, and the record is very familiar relative to the development data. The ten retrieved development neighbours contained 0 observed failures, with a similarity-weighted historical failure rate of 0.00%; this is classified as No Retrieved Historical Failure Evidence. The principal model-attribution features were sensor_060, sensor_153, sensor_426. Overall evidence status: Mixed or Intermediate Evidence. Historical similarity and SHAP attribution are supporting statistical evidence only and do not establish a physical root cause.",True,False,False
WF-000554,0,Pass,2008-08-30 00:57:00,0.02463606235205,0.4837253992009918,0.5162746007990082,0.9566118648576748,0.0039904229848363,0.0266666666666666,0.0227973871466211,0.0340295258725239,0.0112321387259027,Low Risk,No abstention,0,10,0.0,0.0,0.5697622346657644,0.7292730199925217,No Retrieved Failure Evidence,0.1133861856653409,0.3202433285224837,,"sensor_032, sensor_104, sensor_352, sensor_520, sensor_248","The record was assigned to Low Risk with a calibrated failure probability of 2.46%. The strongest model contributions increasing risk were no dominant positive sensor contribution. Contributions reducing predicted risk were sensor_032, sensor_104, sensor_352. The internal prediction-confidence score was 48.37%. Because SECOM sensors are anonymous, these features must be treated as statistical indicators rather than confirmed physical root causes.",Moderate Low-Risk Signal,Moderate Reliability,0.9960095770151637,Very Familiar,No Retrieved Historical Failure Evidence,Convergent Low-Risk Evidence,False,Continue processing under standard monitoring.,"The primary operational decision is Low Risk. The retained Beta-calibrated model estimated a failure probability of 2.46%, corresponding to Moderate Low-Risk Signal. Prediction reliability is Moderate Reliability, and the record is very familiar relative to the development data. The ten retrieved development neighbours contained 0 observed failures, with a similarity-weighted historical failure rate of 0.00%; this is classified as No Retrieved Historical Failure Evidence. The principal model-attribution features were no dominant positive sensor attribution was available. Overall evidence status: Convergent Low-Risk Evidence. Historical similarity and SHAP attribution are supporting statistical evidence only and do not establish a physical root cause.",True,False,False
