evidence_agreement,records,record_rate,actual_failures,observed_failure_rate,mean_failure_probability,mean_prediction_confidence,mean_combined_uncertainty,mean_historical_failure_rate,mean_data_familiarity
Mixed or Intermediate Evidence,68,0.21656050955414013,2,0.029411764705882353,0.052084678362559145,0.37337289296678466,0.6266271070332153,0.033793892771007916,0.6863527533918595
Review Driven by Reliability Concern,45,0.14331210191082802,4,0.08888888888888889,0.05381297092897498,0.3076693916281736,0.6923306083718264,0.03285434954581305,0.23155094440010643
High Risk with Reliability Caution,43,0.13694267515923567,7,0.16279069767441862,0.13378218013612897,0.22410767912022203,0.7758923208797779,0.05952797985809978,0.2928413667662726
Convergent Low-Risk Evidence,33,0.10509554140127389,1,0.030303030303030304,0.023089029294956563,0.4476183158158993,0.5523816841841007,0.0,0.6994123195240514
Low-Risk Decision with Reliability Caution,32,0.10191082802547771,0,0.0,0.02497142334747232,0.36300872983791826,0.6369912701620817,0.028465017725137688,0.19478252194732643
Low-Risk Decision with Limited Support,22,0.07006369426751592,0,0.0,0.02256631314973196,0.44135531719539645,0.5586446828046036,0.08549743805669585,0.666436915040267
Model-Led Risk Evidence,22,0.07006369426751592,1,0.045454545454545456,0.1053364532445593,0.3236191100362761,0.6763808899637239,0.0342404330294066,0.714249437713125
Review with Supporting Historical Risk,21,0.06687898089171974,3,0.14285714285714285,0.05275161986721991,0.3588543236718271,0.6411456763281727,0.20736974944215078,0.5133964200205222
Low-Risk Decision with Historical Conflict,13,0.041401273885350316,0,0.0,0.02136266556239687,0.41600107846248435,0.5839989215375158,0.23003679700100876,0.4550923936398797
Convergent Risk Evidence,8,0.025477707006369428,1,0.125,0.14082825222565926,0.3048710172258954,0.6951289827741046,0.32011094836563947,0.42827214684756587
Insufficient Evidence,7,0.022292993630573247,2,0.2857142857142857,0.13464958539429145,0.18202859115961387,0.8179714088403861,0.0716267682905545,0.018811994071371605
