wafer_id,target,status,timestamp,calibrated_failure_probability,prediction_confidence,combined_uncertainty,data_confidence,ood_percentile,missing_sensor_rate,probability_interval_lower,probability_interval_upper,probability_interval_width,uncertainty_adjusted_decision,abstention_reason,failed_neighbour_count,passed_neighbour_count,historical_weighted_failure_rate,historical_raw_failure_rate,mean_similarity,maximum_similarity,historical_evidence_level,positive_shap_total,negative_shap_total,top_risk_features,top_protective_features,explanation_text,model_evidence_strength,prediction_reliability,data_familiarity_score,data_familiarity_band,derived_historical_evidence,evidence_agreement,evidence_conflict_flag,recommended_action,engineering_evidence_narrative,primary_decision_retained,new_failure_probability_created,physical_root_cause_claimed
WF-000247,0,Pass,2008-08-18 04:35:00,0.0881819396074319,0.2720674056271345,0.7279325943728655,0.5521026868848099,0.6193136472466081,0.0266666666666666,0.0698198813303259,0.100708752600749,0.0308888712704231,High Risk,No abstention,1,9,0.1342108829865639,0.1,0.4247089646065771,0.5854706442092765,Limited Failure Evidence,0.2018745517370386,0.270255504117991,"sensor_060, sensor_206, sensor_478, sensor_342, sensor_386","sensor_032, sensor_104","The record was assigned to High Risk with a calibrated failure probability of 8.82%. The strongest model contributions increasing risk were sensor_060, sensor_206, sensor_478. Contributions reducing predicted risk were sensor_032, sensor_104. The internal prediction-confidence score was 27.21%. Because SECOM sensors are anonymous, these features must be treated as statistical indicators rather than confirmed physical root causes.",Strong Risk Signal,Moderate Reliability,0.3806863527533919,Unusual,Limited Historical Failure Evidence,High Risk with Reliability Caution,True,Hold for inspection or prioritised engineering assessment before continuing.,"The primary operational decision is High Risk. The retained Beta-calibrated model estimated a failure probability of 8.82%, corresponding to Strong Risk Signal. Prediction reliability is Moderate Reliability, and the record is unusual relative to the development data. The ten retrieved development neighbours contained 1 observed failures, with a similarity-weighted historical failure rate of 13.42%; this is classified as Limited Historical Failure Evidence. The principal model-attribution features were sensor_060, sensor_206, sensor_478, sensor_342, sensor_386. Overall evidence status: High Risk with Reliability Caution. Historical similarity and SHAP attribution are supporting statistical evidence only and do not establish a physical root cause.",True,False,False
WF-000338,0,Pass,2008-08-20 20:19:00,0.0253537726731054,0.3567795353907665,0.6432204646092334,0.4972783541722089,0.8300079808459697,0.0177777777777777,0.0292248829945996,0.0385587421192862,0.0093338591246866,Low Risk,No abstention,1,9,0.010122395563789,0.1,0.033526607760169,0.1405376700676338,Limited Failure Evidence,0.1190559199283143,0.3232225865949809,"sensor_206, sensor_342","sensor_131, sensor_032, sensor_104, sensor_248, sensor_520","The record was assigned to Low Risk with a calibrated failure probability of 2.54%. The strongest model contributions increasing risk were sensor_206, sensor_342. Contributions reducing predicted risk were sensor_131, sensor_032, sensor_104. The internal prediction-confidence score was 35.68%. Because SECOM sensors are anonymous, these features must be treated as statistical indicators rather than confirmed physical root causes.",Moderate Low-Risk Signal,Moderate Reliability,0.16999201915403028,Unusual,Limited Historical Failure Evidence,Low-Risk Decision with Reliability Caution,True,Do not rely on automatic release alone. Verify the highlighted evidence before continuing.,"The primary operational decision is Low Risk. The retained Beta-calibrated model estimated a failure probability of 2.54%, corresponding to Moderate Low-Risk Signal. Prediction reliability is Moderate Reliability, and the record is unusual relative to the development data. The ten retrieved development neighbours contained 1 observed failures, with a similarity-weighted historical failure rate of 1.01%; this is classified as Limited Historical Failure Evidence. The principal model-attribution features were sensor_206, sensor_342. Overall evidence status: Low-Risk Decision with Reliability Caution. Historical similarity and SHAP attribution are supporting statistical evidence only and do not establish a physical root cause.",True,False,False
WF-001526,0,Pass,2008-10-15 07:36:00,0.0198803182261642,0.396667687316871,0.6033323126831289,0.5560971889686974,0.9361532322426176,0.0177777777777777,0.0239793341643153,0.0301515582147609,0.0061722240504455,Low Risk,No abstention,0,10,0.0,0.0,0.0661915780467511,0.3838572754157588,No Retrieved Failure Evidence,0.1097967710965581,0.336153913953701,sensor_512,"sensor_104, sensor_034, sensor_131, sensor_214, sensor_352","The record was assigned to Low Risk with a calibrated failure probability of 1.99%. The strongest model contributions increasing risk were sensor_512. Contributions reducing predicted risk were sensor_104, sensor_034, sensor_131. The internal prediction-confidence score was 39.67%. Because SECOM sensors are anonymous, these features must be treated as statistical indicators rather than confirmed physical root causes.",Moderate Low-Risk Signal,Moderate Reliability,0.0638467677573824,Outside Typical Historical Experience,No Retrieved Historical Failure Evidence,Low-Risk Decision with Reliability Caution,True,Do not rely on automatic release alone. Verify the highlighted evidence before continuing.,"The primary operational decision is Low Risk. The retained Beta-calibrated model estimated a failure probability of 1.99%, corresponding to Moderate Low-Risk Signal. Prediction reliability is Moderate Reliability, and the record is outside typical historical experience relative to the development data. The ten retrieved development neighbours contained 0 observed failures, with a similarity-weighted historical failure rate of 0.00%; this is classified as No Retrieved Historical Failure Evidence. The principal model-attribution features were sensor_512. Overall evidence status: Low-Risk Decision with Reliability Caution. Historical similarity and SHAP attribution are supporting statistical evidence only and do not establish a physical root cause.",True,False,False
WF-001530,0,Pass,2008-10-15 10:00:00,0.0186067130995502,0.3980195100743661,0.6019804899256339,0.5383438857852265,0.8300079808459697,0.0088888888888888,0.0167957469493544,0.0212061836324219,0.0044104366830674,Low Risk,No abstention,0,10,0.0,0.0,0.6050626800043234,0.7921585662843322,No Retrieved Failure Evidence,0.1107923973615883,0.342959064028255,sensor_476,"sensor_034, sensor_131, sensor_104, sensor_032, sensor_060","The record was assigned to Low Risk with a calibrated failure probability of 1.86%. The strongest model contributions increasing risk were sensor_476. Contributions reducing predicted risk were sensor_034, sensor_131, sensor_104. The internal prediction-confidence score was 39.80%. Because SECOM sensors are anonymous, these features must be treated as statistical indicators rather than confirmed physical root causes.",Moderate Low-Risk Signal,Moderate Reliability,0.16999201915403028,Unusual,No Retrieved Historical Failure Evidence,Low-Risk Decision with Reliability Caution,True,Do not rely on automatic release alone. Verify the highlighted evidence before continuing.,"The primary operational decision is Low Risk. The retained Beta-calibrated model estimated a failure probability of 1.86%, corresponding to Moderate Low-Risk Signal. Prediction reliability is Moderate Reliability, and the record is unusual relative to the development data. The ten retrieved development neighbours contained 0 observed failures, with a similarity-weighted historical failure rate of 0.00%; this is classified as No Retrieved Historical Failure Evidence. The principal model-attribution features were sensor_476. Overall evidence status: Low-Risk Decision with Reliability Caution. Historical similarity and SHAP attribution are supporting statistical evidence only and do not establish a physical root cause.",True,False,False
WF-000233,0,Pass,2008-08-17 13:34:00,0.1346828590055515,0.1685636711637997,0.8314363288362002,0.5051435665513878,0.7230646448523543,0.0088888888888888,0.1242254064689206,0.1907095406942425,0.0664841342253219,High Risk,No abstention,0,10,0.0,0.0,0.0438634767239318,0.1165181831265392,No Retrieved Failure Evidence,0.2313461144879927,0.2444889716308499,"sensor_104, sensor_065, sensor_478, sensor_206, sensor_066","sensor_032, sensor_034, sensor_060","The record was assigned to High Risk with a calibrated failure probability of 13.47%. The strongest model contributions increasing risk were sensor_104, sensor_065, sensor_478. Contributions reducing predicted risk were sensor_032, sensor_034, sensor_060. The internal prediction-confidence score was 16.86%. Because SECOM sensors are anonymous, these features must be treated as statistical indicators rather than confirmed physical root causes.",Strong Risk Signal,Low Reliability,0.27693535514764567,Unusual,No Retrieved Historical Failure Evidence,High Risk with Reliability Caution,True,Hold for inspection or prioritised engineering assessment before continuing.,"The primary operational decision is High Risk. The retained Beta-calibrated model estimated a failure probability of 13.47%, corresponding to Strong Risk Signal. Prediction reliability is Low Reliability, and the record is unusual relative to the development data. The ten retrieved development neighbours contained 0 observed failures, with a similarity-weighted historical failure rate of 0.00%; this is classified as No Retrieved Historical Failure Evidence. The principal model-attribution features were sensor_104, sensor_065, sensor_478, sensor_206, sensor_066. Overall evidence status: High Risk with Reliability Caution. Historical similarity and SHAP attribution are supporting statistical evidence only and do not establish a physical root cause.",True,False,False
WF-001564,0,Pass,2008-10-16 20:49:00,0.0294693810101592,0.3174412366774775,0.6825587633225225,0.5380677485146759,0.7861133280127693,0.0888888888888888,0.0271389305187721,0.0496608982095978,0.0225219676908256,Low Risk,No abstention,0,10,0.0,0.0,0.5709508294942526,0.8552098068060707,No Retrieved Failure Evidence,0.1125029143417992,0.302264819103704,"sensor_512, sensor_034","sensor_104, sensor_032, sensor_060, sensor_432, sensor_511","The record was assigned to Low Risk with a calibrated failure probability of 2.95%. The strongest model contributions increasing risk were sensor_512, sensor_034. Contributions reducing predicted risk were sensor_104, sensor_032, sensor_060. The internal prediction-confidence score was 31.74%. Because SECOM sensors are anonymous, these features must be treated as statistical indicators rather than confirmed physical root causes.",Moderate Low-Risk Signal,Moderate Reliability,0.21388667198723066,Unusual,No Retrieved Historical Failure Evidence,Low-Risk Decision with Reliability Caution,True,Do not rely on automatic release alone. Verify the highlighted evidence before continuing.,"The primary operational decision is Low Risk. The retained Beta-calibrated model estimated a failure probability of 2.95%, corresponding to Moderate Low-Risk Signal. Prediction reliability is Moderate Reliability, and the record is unusual relative to the development data. The ten retrieved development neighbours contained 0 observed failures, with a similarity-weighted historical failure rate of 0.00%; this is classified as No Retrieved Historical Failure Evidence. The principal model-attribution features were sensor_512, sensor_034. Overall evidence status: Low-Risk Decision with Reliability Caution. Historical similarity and SHAP attribution are supporting statistical evidence only and do not establish a physical root cause.",True,False,False
WF-000955,0,Pass,2008-09-20 14:53:00,0.0234881832990537,0.3613041215340428,0.6386958784659571,0.4899840383080606,0.8643256185155627,0.0,0.0277715185421232,0.0353947501486521,0.0076232316065289,Low Risk,No abstention,0,10,0.0,0.0,0.2421518117865852,0.4938717886078176,No Retrieved Failure Evidence,0.1234685753898226,0.3347542896755369,sensor_153,"sensor_131, sensor_104, sensor_032, sensor_060, sensor_511","The record was assigned to Low Risk with a calibrated failure probability of 2.35%. The strongest model contributions increasing risk were sensor_153. Contributions reducing predicted risk were sensor_131, sensor_104, sensor_032. The internal prediction-confidence score was 36.13%. Because SECOM sensors are anonymous, these features must be treated as statistical indicators rather than confirmed physical root causes.",Moderate Low-Risk Signal,Moderate Reliability,0.13567438148443733,Outside Typical Historical Experience,No Retrieved Historical Failure Evidence,Low-Risk Decision with Reliability Caution,True,Do not rely on automatic release alone. Verify the highlighted evidence before continuing.,"The primary operational decision is Low Risk. The retained Beta-calibrated model estimated a failure probability of 2.35%, corresponding to Moderate Low-Risk Signal. Prediction reliability is Moderate Reliability, and the record is outside typical historical experience relative to the development data. The ten retrieved development neighbours contained 0 observed failures, with a similarity-weighted historical failure rate of 0.00%; this is classified as No Retrieved Historical Failure Evidence. The principal model-attribution features were sensor_153. Overall evidence status: Low-Risk Decision with Reliability Caution. Historical similarity and SHAP attribution are supporting statistical evidence only and do not establish a physical root cause.",True,False,False
WF-001479,0,Pass,2008-10-13 14:29:00,0.0127124392248786,0.4389320155956159,0.5610679844043841,0.6372143300523189,0.8100558659217877,0.0355555555555555,0.010237526721474,0.0152944288646844,0.0050569021432103,Low Risk,No abstention,1,9,0.0692559066073141,0.1,0.2967663163614241,0.5692005910230346,Limited Failure Evidence,0.0815256607999385,0.3452399465142242,,"sensor_104, sensor_214, sensor_317, sensor_352, sensor_432","The record was assigned to Low Risk with a calibrated failure probability of 1.27%. The strongest model contributions increasing risk were no dominant positive sensor contribution. Contributions reducing predicted risk were sensor_104, sensor_214, sensor_317. The internal prediction-confidence score was 43.89%. Because SECOM sensors are anonymous, these features must be treated as statistical indicators rather than confirmed physical root causes.",Strong Low-Risk Signal,Moderate Reliability,0.1899441340782123,Unusual,Limited Historical Failure Evidence,Low-Risk Decision with Reliability Caution,True,Do not rely on automatic release alone. Verify the highlighted evidence before continuing.,"The primary operational decision is Low Risk. The retained Beta-calibrated model estimated a failure probability of 1.27%, corresponding to Strong Low-Risk Signal. Prediction reliability is Moderate Reliability, and the record is unusual relative to the development data. The ten retrieved development neighbours contained 1 observed failures, with a similarity-weighted historical failure rate of 6.93%; this is classified as Limited Historical Failure Evidence. The principal model-attribution features were no dominant positive sensor attribution was available. Overall evidence status: Low-Risk Decision with Reliability Caution. Historical similarity and SHAP attribution are supporting statistical evidence only and do not establish a physical root cause.",True,False,False
WF-000441,0,Pass,2008-08-23 15:10:00,0.0337460924926869,0.3176316226706197,0.6823683773293803,0.4624102154828412,0.88268156424581,0.0,0.02791591041808,0.0447041813675942,0.0167882709495141,Low Risk,No abstention,1,9,0.060446199106651,0.1,0.1041427213848489,0.301519406607515,Limited Failure Evidence,0.1423947058929925,0.3187280392263257,"sensor_015, sensor_130","sensor_034, sensor_104, sensor_032, sensor_060, sensor_478","The record was assigned to Low Risk with a calibrated failure probability of 3.37%. The strongest model contributions increasing risk were sensor_015, sensor_130. Contributions reducing predicted risk were sensor_034, sensor_104, sensor_032. The internal prediction-confidence score was 31.76%. Because SECOM sensors are anonymous, these features must be treated as statistical indicators rather than confirmed physical root causes.",Moderate Low-Risk Signal,Moderate Reliability,0.11731843575418999,Outside Typical Historical Experience,Limited Historical Failure Evidence,Low-Risk Decision with Reliability Caution,True,Do not rely on automatic release alone. Verify the highlighted evidence before continuing.,"The primary operational decision is Low Risk. The retained Beta-calibrated model estimated a failure probability of 3.37%, corresponding to Moderate Low-Risk Signal. Prediction reliability is Moderate Reliability, and the record is outside typical historical experience relative to the development data. The ten retrieved development neighbours contained 1 observed failures, with a similarity-weighted historical failure rate of 6.04%; this is classified as Limited Historical Failure Evidence. The principal model-attribution features were sensor_015, sensor_130. Overall evidence status: Low-Risk Decision with Reliability Caution. Historical similarity and SHAP attribution are supporting statistical evidence only and do not establish a physical root cause.",True,False,False
WF-000188,0,Pass,2008-08-10 19:07:00,0.1899591813905203,0.1970674677887459,0.802932532211254,0.5852671809878514,0.6145251396648045,0.0177777777777777,0.1439432512066378,0.2218397194597508,0.077896468253113,High Risk,No abstention,1,9,0.0921671643601254,0.1,0.1871610023901511,0.350391315665953,Limited Failure Evidence,0.2438911438459328,0.2081530486078374,"sensor_104, sensor_065, sensor_066, sensor_511, sensor_520","sensor_060, sensor_310, sensor_308, sensor_432","The record was assigned to High Risk with a calibrated failure probability of 19.00%. The strongest model contributions increasing risk were sensor_104, sensor_065, sensor_066. Contributions reducing predicted risk were sensor_060, sensor_310, sensor_308. The internal prediction-confidence score was 19.71%. Because SECOM sensors are anonymous, these features must be treated as statistical indicators rather than confirmed physical root causes.",Very Strong Risk Signal,Low Reliability,0.3854748603351955,Unusual,Limited Historical Failure Evidence,High Risk with Reliability Caution,True,Hold for inspection or prioritised engineering assessment before continuing.,"The primary operational decision is High Risk. The retained Beta-calibrated model estimated a failure probability of 19.00%, corresponding to Very Strong Risk Signal. Prediction reliability is Low Reliability, and the record is unusual relative to the development data. The ten retrieved development neighbours contained 1 observed failures, with a similarity-weighted historical failure rate of 9.22%; this is classified as Limited Historical Failure Evidence. The principal model-attribution features were sensor_104, sensor_065, sensor_066, sensor_511, sensor_520. Overall evidence status: High Risk with Reliability Caution. Historical similarity and SHAP attribution are supporting statistical evidence only and do not establish a physical root cause.",True,False,False
