evidence_variable,evidence_value,records,actual_failures,observed_failure_rate
model_evidence_strength,Intermediate Risk Signal,134,9,0.06716417910447761
model_evidence_strength,Moderate Low-Risk Signal,77,1,0.012987012987012988
model_evidence_strength,Strong Low-Risk Signal,24,0,0.0
model_evidence_strength,Strong Risk Signal,62,6,0.0967741935483871
model_evidence_strength,Very Strong Risk Signal,17,5,0.29411764705882354
prediction_reliability,High Reliability,5,0,0.0
prediction_reliability,Low Reliability,45,8,0.17777777777777778
prediction_reliability,Moderate Reliability,264,13,0.04924242424242424
data_familiarity_band,Familiar,116,6,0.05172413793103448
data_familiarity_band,Outside Typical Historical Experience,43,8,0.18604651162790697
data_familiarity_band,Unusual,90,4,0.044444444444444446
data_familiarity_band,Very Familiar,65,3,0.046153846153846156
derived_historical_evidence,Limited Historical Failure Evidence,108,6,0.05555555555555555
derived_historical_evidence,Moderate Historical Failure Evidence,43,5,0.11627906976744186
derived_historical_evidence,No Retrieved Historical Failure Evidence,157,9,0.05732484076433121
derived_historical_evidence,Strong Historical Failure Evidence,6,1,0.16666666666666666
evidence_agreement,Convergent Low-Risk Evidence,33,1,0.030303030303030304
evidence_agreement,Convergent Risk Evidence,8,1,0.125
evidence_agreement,High Risk with Reliability Caution,43,7,0.16279069767441862
evidence_agreement,Insufficient Evidence,7,2,0.2857142857142857
evidence_agreement,Low-Risk Decision with Historical Conflict,13,0,0.0
evidence_agreement,Low-Risk Decision with Limited Support,22,0,0.0
evidence_agreement,Low-Risk Decision with Reliability Caution,32,0,0.0
evidence_agreement,Mixed or Intermediate Evidence,68,2,0.029411764705882353
evidence_agreement,Model-Led Risk Evidence,22,1,0.045454545454545456
evidence_agreement,Review Driven by Reliability Concern,45,4,0.08888888888888889
evidence_agreement,Review with Supporting Historical Risk,21,3,0.14285714285714285
