feature,failure_records,mean_absolute_shap,mean_signed_shap,positive_contribution_rate
sensor_032,3,0.016586580413732135,-0.016586580413732135,0.0
sensor_104,21,0.01258313284063416,-0.0018958411795986219,0.38095238095238093
sensor_060,18,0.010830239126359456,0.008364945540468204,0.8333333333333334
sensor_214,7,0.010694444892567817,-0.008131987007765027,0.2857142857142857
sensor_352,6,0.009737462141707136,-0.009737462141707136,0.0
sensor_065,4,0.00967131852123418,0.00967131852123418,1.0
sensor_342,7,0.00856629045313577,0.007244666776939364,0.8571428571428571
sensor_564,1,0.00826571091114513,-0.00826571091114513,0.0
sensor_034,9,0.008130295732843702,-0.0011263628301196357,0.6666666666666666
sensor_248,2,0.008006930720689281,-0.008006930720689281,0.0
sensor_478,14,0.007844143343871308,0.0012743761435991645,0.42857142857142855
sensor_511,10,0.007718772349719895,0.0013364845778616357,0.5
sensor_066,3,0.007680461722800122,0.007680461722800122,1.0
sensor_029,2,0.0074844494474340766,-0.0074844494474340766,0.0
sensor_389,3,0.00736380279244572,-0.00736380279244572,0.0
sensor_126,4,0.007213406283864993,-0.007213406283864993,0.0
sensor_125,1,0.0071667141736111726,0.0071667141736111726,1.0
sensor_206,11,0.00689550742814114,0.002198238980070788,0.5454545454545454
sensor_386,4,0.006725492236851925,0.006725492236851925,1.0
sensor_520,6,0.006722014458917872,0.00024429627203463084,0.6666666666666666
sensor_130,1,0.006689241648660733,-0.006689241648660733,0.0
sensor_064,2,0.0066140854647783525,0.0066140854647783525,1.0
sensor_424,3,0.006586266083849826,0.006586266083849826,1.0
sensor_133,2,0.0063853103452459516,0.0063853103452459516,1.0
sensor_153,7,0.00631088677807083,0.00631088677807083,1.0
sensor_201,5,0.006113246032167306,-0.006113246032167306,0.0
sensor_563,1,0.00601560452913416,0.00601560452913416,1.0
sensor_317,3,0.005905170255036306,-0.005905170255036306,0.0
sensor_470,1,0.005857906069494163,-0.005857906069494163,0.0
sensor_578,2,0.005729556532241282,-0.005729556532241282,0.0
sensor_476,2,0.005627466517259101,0.005627466517259101,1.0
sensor_432,6,0.005579731642026124,-0.001966329619376063,0.3333333333333333
sensor_282,6,0.005579419790721476,-0.005579419790721476,0.0
sensor_184,1,0.00557254518371115,-0.00557254518371115,0.0
sensor_036,1,0.005511273427027181,-0.005511273427027181,0.0
sensor_147,1,0.005417731147399677,-0.005417731147399677,0.0
sensor_253,1,0.005329443138656296,-0.005329443138656296,0.0
sensor_426,1,0.005323313949418344,0.005323313949418344,1.0
sensor_548,3,0.005318881475446233,-0.005318881475446233,0.0
sensor_489,1,0.005281712583152439,0.005281712583152439,1.0
sensor_131,1,0.005211353857293533,0.005211353857293533,1.0
sensor_308,1,0.00519205092923152,-0.00519205092923152,0.0
sensor_015,4,0.005179574188180113,0.000286023123357597,0.5
sensor_434,1,0.005158334272924838,0.005158334272924838,1.0
sensor_574,1,0.005116035440424547,0.005116035440424547,1.0
sensor_288,1,0.005103431422595341,0.005103431422595341,1.0
sensor_310,1,0.005016088759894572,-0.005016088759894572,0.0
sensor_123,1,0.004946170662306299,-0.004946170662306299,0.0
sensor_296,1,0.004839078119158402,-0.004839078119158402,0.0
sensor_271,2,0.004816027791645649,-0.004816027791645649,0.0
sensor_444,1,0.004768979687096,-0.004768979687096,0.0
sensor_378,1,0.004655467323362073,-0.004655467323362073,0.0
sensor_079,1,0.004638076089858421,-0.004638076089858421,0.0
sensor_181,2,0.004618130169536482,-3.5823395292487476e-05,0.5
sensor_103,1,0.004617849386756991,0.004617849386756991,1.0
sensor_182,1,0.004601878986459537,-0.004601878986459537,0.0
sensor_453,1,0.004520839651177204,-0.004520839651177204,0.0
sensor_022,1,0.004373842402889066,-0.004373842402889066,0.0
sensor_512,1,0.004349744614011303,0.004349744614011303,1.0
