decision,feature,records,mean_absolute_shap,mean_signed_shap,positive_contribution_rate,rank_within_group
Engineering Review,sensor_104,132,0.012982197500103319,-0.007874944286029115,0.19696969696969696,1.0
Engineering Review,sensor_032,20,0.01255798587583104,-0.01255798587583104,0.0,2.0
Engineering Review,sensor_131,13,0.01109102842696861,-0.010289281679692683,0.07692307692307693,3.0
Engineering Review,sensor_214,23,0.010659591799274658,-0.009503737420252966,0.13043478260869565,4.0
Engineering Review,sensor_034,55,0.009712464933602187,-0.0042814156822646885,0.4909090909090909,5.0
Engineering Review,sensor_248,24,0.009459173162870831,-0.009459173162870831,0.0,6.0
Engineering Review,sensor_352,23,0.008720678919821671,-0.008720678919821671,0.0,7.0
Engineering Review,sensor_066,2,0.008438775469061117,0.008438775469061117,1.0,8.0
Engineering Review,sensor_520,32,0.008280771367613932,-0.005615269802357579,0.21875,9.0
Engineering Review,sensor_060,105,0.008245581405251919,-0.005872202804902801,0.12380952380952381,10.0
Engineering Review,sensor_126,29,0.007113760336134894,-0.006315288362765587,0.06896551724137931,11.0
Engineering Review,sensor_511,67,0.007042736146315846,-0.0033455571785802017,0.22388059701492538,12.0
Engineering Review,sensor_029,24,0.006930728445712166,-0.006930728445712166,0.0,13.0
Engineering Review,sensor_424,27,0.006858517989788453,0.005288069400527356,0.8518518518518519,14.0
Engineering Review,sensor_130,22,0.006818872541736148,-0.005298818912676694,0.13636363636363635,15.0
Engineering Review,sensor_017,2,0.006717302488442465,0.006717302488442465,1.0,16.0
Engineering Review,sensor_065,20,0.006684156992599774,0.002583796912073041,0.55,17.0
Engineering Review,sensor_478,70,0.006519192979153757,-0.0028711356064022144,0.2,18.0
Engineering Review,sensor_342,33,0.006378608021168828,0.0015718249540095323,0.5454545454545454,19.0
Engineering Review,sensor_421,1,0.006329184429028562,0.006329184429028562,1.0,20.0
High Risk,sensor_104,72,0.013640948355316332,0.0072690790866539595,0.7222222222222222,1.0
High Risk,sensor_032,12,0.013048721513445355,-0.013048721513445355,0.0,2.0
High Risk,sensor_214,7,0.011606566068159697,-0.01037373025615267,0.14285714285714285,3.0
High Risk,sensor_060,65,0.010255334907692915,0.0035117197397052952,0.5692307692307692,4.0
High Risk,sensor_065,21,0.009954514151492028,0.009954514151492028,1.0,5.0
High Risk,sensor_352,7,0.008871939018815054,-0.008871939018815054,0.0,6.0
High Risk,sensor_131,2,0.008443727235711325,-0.0030288907984662356,0.5,7.0
High Risk,sensor_248,7,0.008352744088131348,-0.008352744088131348,0.0,8.0
High Risk,sensor_511,40,0.008304388044494876,0.003554375477414359,0.65,9.0
High Risk,sensor_066,14,0.00768752611547019,0.00768752611547019,1.0,10.0
High Risk,sensor_563,2,0.007518104549445678,0.007518104549445678,1.0,11.0
High Risk,sensor_130,4,0.007492031843927171,-0.0048875533906988615,0.25,12.0
High Risk,sensor_034,31,0.007453100583629641,0.0006415672674765833,0.7096774193548387,13.0
High Risk,sensor_126,9,0.007406935720137225,-0.006222072343047582,0.1111111111111111,14.0
High Risk,sensor_342,33,0.007329509400725621,0.00275834823133258,0.5757575757575758,15.0
High Risk,sensor_389,2,0.00732602584209784,-0.00732602584209784,0.0,16.0
High Risk,sensor_478,48,0.007296909158057185,0.0001454693391518319,0.4166666666666667,17.0
High Risk,sensor_125,8,0.007064106479038591,0.0011287157178822248,0.5,18.0
High Risk,sensor_206,37,0.0070448982344727675,0.0011258797261891437,0.4864864864864865,19.0
High Risk,sensor_520,20,0.006967885148386183,0.0007698208832386412,0.65,20.0
Insufficient Evidence,sensor_214,2,0.0134328599279976,-0.0134328599279976,0.0,1.0
Insufficient Evidence,sensor_104,7,0.012340613971555985,0.0022096390600069237,0.5714285714285714,2.0
Insufficient Evidence,sensor_060,6,0.011807597888840789,0.008939881613308007,0.8333333333333334,3.0
Insufficient Evidence,sensor_352,2,0.009189647673535226,-0.009189647673535226,0.0,4.0
Insufficient Evidence,sensor_478,6,0.008319040719053782,0.00035534784393316765,0.3333333333333333,5.0
Insufficient Evidence,sensor_386,1,0.007969020329361557,0.007969020329361557,1.0,6.0
