feature,mean_absolute_shap,mean_signed_shap,positive_contribution_rate,relative_importance,cumulative_importance
sensor_104,0.013069512256550474,-0.005465406969755012,0.2802547770700637,0.029655553134588022,0.029655553134588022
sensor_060,0.0075707665984331395,-0.003336897781588248,0.22611464968152867,0.017178550103648327,0.04683410323823635
sensor_034,0.005640125658720066,-0.001645031969741628,0.6050955414012739,0.012797803228968587,0.05963190646720494
sensor_478,0.005146321673113297,-0.0020225048755250804,0.24522292993630573,0.011677330632457326,0.07130923709966226
sensor_511,0.005126153373235079,-0.001876544345963447,0.27388535031847133,0.011631567479484801,0.08294080457914707
sensor_206,0.004741401365800474,-0.0014994364854557973,0.2898089171974522,0.010758540745499562,0.09369934532464663
sensor_342,0.004018094913999238,-0.0011709481266673097,0.30254777070063693,0.009117312481359018,0.10281665780600566
sensor_065,0.003972636906896749,-0.0015948038444535038,0.1592356687898089,0.009014165376971502,0.11183082318297716
sensor_214,0.003767018168478027,-0.0011888640458637138,0.7420382165605095,0.008547603404118446,0.1203784265870956
sensor_131,0.0033713330702617138,-0.0007697582979402488,0.7834394904458599,0.00764976879297316,0.12802819538006877
sensor_432,0.0033387310090182126,-0.0009613789929963398,0.44904458598726116,0.007575792646004158,0.13560398802607293
sensor_317,0.0033293075405646496,-0.001122813360759565,0.4012738853503185,0.007554410197757347,0.14315839822383028
sensor_352,0.003288687679344921,-0.0007794298203615374,0.6656050955414012,0.007462241153566925,0.1506206393773972
sensor_424,0.00323745160474818,-0.001041808467938498,0.20063694267515925,0.0073459832471672575,0.15796662262456446
sensor_015,0.0031711568989159777,-0.0011228655649412193,0.21656050955414013,0.007195556350374426,0.16516217897493887
sensor_181,0.0031184723253500236,-0.0010223517711098096,0.37579617834394907,0.007076011707843854,0.17223819068278273
sensor_520,0.0029636616937304136,-0.0012689235347210874,0.3248407643312102,0.006724736555284625,0.17896292723806737
sensor_032,0.002956236991687566,-0.001386463158522191,0.7802547770700637,0.006707889434931698,0.18567081667299906
sensor_153,0.002714872744206728,-0.0005114934736774036,0.24522292993630573,0.006160218632421809,0.19183103530542087
sensor_126,0.002677591487098,-0.0010271657380530501,0.6178343949044586,0.006075625092937732,0.1979066603983586
sensor_130,0.00258924267904711,-0.0009213939327973827,0.4713375796178344,0.005875156037926325,0.20378181643628493
sensor_282,0.0025806900219890404,-0.0009305347249715499,0.4745222929936306,0.005855749516026445,0.20963756595231137
sensor_248,0.0025668358981671175,-0.000974130851848181,0.7738853503184714,0.005824313629432568,0.21546187958174393
sensor_456,0.002563959232464956,-0.0007599137478116331,0.3821656050955414,0.005817786292305803,0.22127966587404974
sensor_103,0.0025343651631142715,-0.00021967428950988788,0.4171974522292994,0.005750635469928477,0.22703030134397822
sensor_066,0.0025074090187442327,-0.0012380724268410343,0.16878980891719744,0.005689470266822397,0.23271977161080062
sensor_184,0.0024872249936056853,-0.0007478807824801987,0.42356687898089174,0.005643671432235739,0.23836344304303636
sensor_453,0.0024421705107965422,-0.0008713570677459093,0.3535031847133758,0.005541439950090852,0.2439048829931272
sensor_489,0.002277990359441757,-0.00019136266278353825,0.27388535031847133,0.005168904762352208,0.24907378775547942
sensor_082,0.0022416848564976223,-0.00028024944392578344,0.31528662420382164,0.005086525271021297,0.2541603130265007
sensor_125,0.002241078554835616,-0.0008702851599152346,0.4554140127388535,0.005085149534054203,0.2592454625605549
sensor_201,0.002190136605951928,-0.0007848111027439731,0.6178343949044586,0.00496955901757242,0.2642150215781273
sensor_426,0.0021803101367629347,-0.0007209066219438263,0.22929936305732485,0.004947262135069132,0.26916228371319645
sensor_271,0.0021685466534619438,-0.0004138263402928996,0.43312101910828027,0.004920570044558599,0.27408285375775504
sensor_022,0.0021662133160004044,-0.0006679024694971138,0.445859872611465,0.004915275553707425,0.27899812931146245
sensor_578,0.002142350496928254,-0.0004202111102653613,0.6719745222929936,0.004861129302107215,0.28385925861356964
sensor_029,0.0021269155611019558,-0.0009185519579570208,0.6592356687898089,0.00482610645270468,0.28868536506627435
sensor_469,0.002117796661550813,-0.0009060034394209537,0.43312101910828027,0.0048054150906354995,0.2934907801569098
sensor_064,0.0021176095717217107,-0.0005005557413547102,0.17197452229299362,0.004804990571934344,0.29829577072884417
sensor_470,0.002081092500518706,-0.00028065820008834106,0.6273885350318471,0.004722131018790923,0.3030179017476351
sensor_386,0.002067490866314286,-0.0005170052961878264,0.20063694267515925,0.004691268047170521,0.3077091697948056
sensor_378,0.0020212613685928,-0.0005817976293899972,0.5509554140127388,0.004586370381584132,0.3122955401763897
sensor_512,0.0019709791892006784,-0.0003433929234855607,0.25796178343949044,0.004472276923969554,0.3167678171003593
sensor_589,0.0019707125791139954,-0.00025735321267209157,0.4554140127388535,0.0044716719687549564,0.32123948906911426
sensor_123,0.0019428448148545152,-0.00025958330799598155,0.47770700636942676,0.004408438242238118,0.3256479273113524
sensor_418,0.0019414220564093919,-0.0004870080868691438,0.4585987261146497,0.0044052099129907206,0.3300531372243431
sensor_299,0.001906618331233805,-0.000441391965967943,0.4585987261146497,0.0043262380507692435,0.33437937527511236
sensor_447,0.0018703759314595064,-0.0005288987521586627,0.4872611464968153,0.004244001744537309,0.3386233770196497
sensor_588,0.0017896201393331139,-0.0003856870963675599,0.3980891719745223,0.004060761724763069,0.3426841387444127
sensor_147,0.0017819419781399685,-0.0006208075066247269,0.42356687898089174,0.0040433394895051985,0.3467274782339179
sensor_320,0.0017714153729915497,-0.0005569932033009493,0.43630573248407645,0.004019453954056138,0.35074693218797404
sensor_228,0.0017585185807478996,-0.0003729491249506597,0.5031847133757962,0.003990190313597358,0.3547371225015714
sensor_173,0.0017358750781282608,-0.00034804376216105484,0.5859872611464968,0.003938810768446137,0.35867593327001757
sensor_056,0.001731604060818457,-0.00013994451039138077,0.25796178343949044,0.003929119558989858,0.3626050528290074
sensor_011,0.0017277400964977496,-0.00026107492397869903,0.37898089171974525,0.003920351978610915,0.3665254048076183
sensor_476,0.0017193743728094412,-0.0004877329047080955,0.23248407643312102,0.0039013696203960115,0.3704267744280143
sensor_288,0.0017063537540733368,-0.0004954567418152563,0.23885350318471338,0.003871825009763719,0.37429859943777805
sensor_296,0.0016733105609424432,-0.0005038066724209463,0.5318471337579618,0.003796847906533372,0.37809544734431144
sensor_087,0.0016545635432465616,-0.00019033539748209083,0.554140127388535,0.0037543097330742493,0.38184975707738567
sensor_041,0.001652029497109077,-0.0005151552280098555,0.3630573248407643,0.00374855982149373,0.3855983168988794
sensor_389,0.001626320378896371,-0.0006122799702822613,0.6464968152866242,0.0036902241999162548,0.3892885410987957
sensor_308,0.001622330600027443,-0.0005262227999742904,0.5987261146496815,0.0036811711383390373,0.3929697122371347
sensor_001,0.001584593299532439,-0.0005069186209358953,0.31528662420382164,0.0035955428074558706,0.3965652550445906
sensor_182,0.001577550220516713,-0.00042786980843481675,0.4171974522292994,0.0035795616139819306,0.40014481665857254
sensor_434,0.0015530266812269593,-0.0003989597925905201,0.2643312101910828,0.0035239161462567717,0.4036687328048293
sensor_092,0.0015418067255082723,-0.00043076212315618036,0.4713375796178344,0.003498457354340763,0.4071671901591701
sensor_421,0.0015369507987525923,-0.0002757173561039352,0.3471337579617834,0.0034874389482140488,0.41065462910738415
sensor_310,0.0015353274958114528,-0.00042204174558231345,0.5955414012738853,0.00348375557077199,0.4141383846781561
sensor_079,0.0015006480928975161,-0.00055642096012397,0.31528662420382164,0.0034050658036558082,0.4175434504818119
sensor_564,0.0014999905831662892,-0.00030464024013043833,0.7707006369426752,0.0034035738723282916,0.4209470243541402
sensor_480,0.0014973888287373644,-0.0004526256820761736,0.5477707006369427,0.0033976703263354827,0.4243446946804757
sensor_069,0.0014901842037036627,-0.00019691496516252696,0.445859872611465,0.0033813225746896903,0.4277260172551654
sensor_023,0.001488292646566318,-0.0005574568686357788,0.40445859872611467,0.0033770305114441384,0.4311030477666095
sensor_334,0.0014871682935955058,-0.0005254057580708065,0.37579617834394907,0.003374479283164656,0.43447752704977416
sensor_332,0.0014838313464895744,-0.0005106823377304371,0.3343949044585987,0.003366907538308021,0.4378444345880822
sensor_161,0.001442628443113918,-0.000454472642897071,0.5,0.003273415534446618,0.4411178501225288
sensor_337,0.0014319868665131213,-0.0004098320550606765,0.42038216560509556,0.003249269121472213,0.444367119244001
sensor_574,0.0014258143025429348,-0.00030859703349831754,0.5191082802547771,0.0032352631819083425,0.4476023824259094
sensor_176,0.0014041872342420289,-0.0003654465963405346,0.5063694267515924,0.0031861899907629403,0.4507885724166723
sensor_127,0.0014037137171727997,-0.00038818550129120135,0.5095541401273885,0.0031851155504677695,0.45397368796714005
sensor_524,0.0014024204598818062,-0.0003314460592611129,0.3248407643312102,0.003182181067561529,0.45715586903470157
sensor_148,0.001387629639784351,-0.0004348456063944513,0.2643312101910828,0.003148619757644675,0.46030448879234626
sensor_572,0.001385712095461352,-0.0004652280367125808,0.4012738853503185,0.003144268727824865,0.4634487575201711
sensor_431,0.0013855528147023856,-0.000401077810100157,0.5828025477707006,0.003143907309669533,0.46659266482984063
sensor_208,0.0013798880266225203,-0.00043216765160275045,0.5923566878980892,0.0031310535458410915,0.4697237183756817
sensor_344,0.0013765384915674149,-0.00028415649654025914,0.49363057324840764,0.0031234532381285325,0.47284717161381024
sensor_406,0.0013734461418094719,-0.00013099571047716906,0.3184713375796178,0.0031164365001847393,0.47596360811399496
sensor_017,0.0013698183521740307,-0.0006686384529625594,0.3853503184713376,0.003108204815162139,0.4790718129291571
sensor_429,0.0013317098274612906,-0.000281635376290013,0.31210191082802546,0.003021734152958735,0.4820935470821159
sensor_062,0.0013173409482409514,-0.0004485458287277451,0.3184713375796178,0.002989130253682412,0.4850826773357983
sensor_444,0.0012932924666685908,-0.00047330982189643214,0.6560509554140127,0.0029345627220809275,0.4880172400578792
sensor_101,0.001293039964638355,-0.0004846018755760184,0.2515923566878981,0.002933989778942174,0.4909512298368214
sensor_036,0.0012848202343006536,-0.0005500040516305894,0.5414012738853503,0.0029153386889093752,0.49386656852573074
sensor_548,0.0012750014038940343,-0.0005558562154716441,0.6815286624203821,0.0028930591392883043,0.496759627665019
sensor_427,0.0012717352322233733,-0.0003050366475611841,0.3980891719745223,0.0028856479883880536,0.49964527565340705
sensor_057,0.0012662477481426304,-0.0002894606668815851,0.5254777070063694,0.0028731965385912096,0.5025184721919983
sensor_071,0.0012651035163483172,-0.0004518703512186889,0.40764331210191085,0.0028706002039990343,0.5053890723959973
sensor_198,0.0012612103974811903,-0.00029045226500486757,0.46178343949044587,0.0028617664701031512,0.5082508388661005
sensor_253,0.0012569923555234902,-0.00036510699041841424,0.5573248407643312,0.002852195465084368,0.5111030343311849
sensor_561,0.0012442246047908473,-0.0004614821624125276,0.5668789808917197,0.002823224628007315,0.5139262589591922
sensor_080,0.00124334004378243,-0.00029829869976140747,0.29936305732484075,0.0028212175029156536,0.5167474764621078
sensor_020,0.0012282487861809443,-0.00037740741747744407,0.5987261146496815,0.002786974481226431,0.5195344509433343
sensor_412,0.0012141903095689388,-0.0005028802596776698,0.45222929936305734,0.0027550749051768555,0.5222895258485112
sensor_189,0.0012132767927189624,-0.0003986247992946954,0.5414012738853503,0.0027530020774421985,0.5250425279259534
sensor_196,0.001207126683941088,-0.0002963021449121889,0.49363057324840764,0.0027390470901354352,0.5277815750160888
sensor_091,0.001203312271585775,-0.0001990245387947106,0.5382165605095541,0.002730391946312182,0.530511966962401
sensor_500,0.0011922696667703832,-0.00023512804570451263,0.5955414012738853,0.0027053355748563167,0.5332173025372573
sensor_461,0.0011836692140637674,-0.000388788408996407,0.6019108280254777,0.0026858206015951897,0.5359031231388525
sensor_409,0.0011818254583765297,-0.000195988382716922,0.46178343949044587,0.0026816370028749947,0.5385847601417275
sensor_324,0.0011744964710762179,-0.00043193769178885734,0.5605095541401274,0.0026650070653501125,0.5412497672070776
sensor_122,0.0011715823126647383,-0.0005214628680583598,0.5700636942675159,0.0026583946548853743,0.543908161861963
sensor_240,0.0011703994528271876,-0.00019554495280468985,0.5159235668789809,0.002655710670810477,0.5465638725327735
sensor_289,0.0011574582541660488,-0.00015604020255302243,0.37579617834394907,0.002626346269370912,0.5491902188021444
sensor_291,0.0011558716120815865,-0.0002472284596156816,0.3630573248407643,0.0026227460777403667,0.5518129648798847
sensor_059,0.0011531053340803744,-0.0003553241104035204,0.5859872611464968,0.002616469217315918,0.5544294340972007
sensor_068,0.001148961142512953,-0.00021030852339810457,0.27070063694267515,0.0026070657835216707,0.5570364998807223
sensor_468,0.0011470345572133377,-0.00021742438963107095,0.4171974522292994,0.002602694239151878,0.5596391941198742
sensor_145,0.0011412490881574364,-0.0003570201679363211,0.47770700636942676,0.0025895666425263955,0.5622287607624006
sensor_164,0.0011410965845532542,-0.00030665006048155124,0.3980891719745223,0.0025892206021655723,0.5648179813645662
sensor_366,0.0011409595866385901,-0.0002821525185001632,0.42038216560509556,0.0025889097451987707,0.5674068911097649
sensor_154,0.001133836972622507,-0.0003031363780033354,0.3471337579617834,0.002572748081759093,0.5699796391915241
sensor_417,0.0011327618941401063,-0.0004019149833634138,0.36942675159235666,0.0025703086604224085,0.5725499478519465
sensor_576,0.0011321290746891218,-0.00023939911833884873,0.3089171974522293,0.0025688727529084255,0.5751188206048549
sensor_009,0.0011245089908185307,-0.0004002597092257614,0.5796178343949044,0.002551582298782942,0.5776704029036378
sensor_134,0.0011079198512205961,-8.959104166351196e-05,0.535031847133758,0.002513940487738534,0.5801843433913764
sensor_485,0.0011074599189460038,-0.0003084038716470276,0.6369426751592356,0.002512896872204936,0.5826972402635813
sensor_096,0.0011053514613091852,-0.00025720593709872353,0.4554140127388535,0.002508112647954382,0.5852053529115356
sensor_345,0.0011040953592273012,-0.00014451032377653587,0.6942675159235668,0.002505262472576712,0.5877106153841124
sensor_188,0.001098926450383844,-0.00020363921032555591,0.5159235668789809,0.002493533890220614,0.5902041492743331
sensor_391,0.0010922925388344017,-0.00036264511843906735,0.4968152866242038,0.002478481123707002,0.59268263039804
sensor_160,0.0010775320667887108,-0.00029943658399324144,0.6751592356687898,0.0024449886754464942,0.5951276190734865
sensor_040,0.001072616487763438,-0.000672886006259884,0.2961783439490446,0.002433834914532564,0.5975614539880191
sensor_128,0.0010710818679396947,-0.00023720970795770973,0.4681528662420382,0.002430352764714647,0.5999918067527337
sensor_251,0.0010701541185833136,-0.0003897642356292556,0.5254777070063694,0.002428247642519291,0.6024200543952529
sensor_349,0.001061573376648188,-0.00038427355453707096,0.1942675159235669,0.002408777394250174,0.6048288317895031
sensor_311,0.0010497833655542064,-0.0002832836779755925,0.44904458598726116,0.0023820251104930113,0.6072108568999961
sensor_560,0.0010395861098079543,-0.0003682608345919856,0.589171974522293,0.002358886889748898,0.609569743789745
sensor_039,0.0010384935867514817,-0.0004451859364304946,0.1178343949044586,0.0023564078855660337,0.6119261516753111
sensor_183,0.0010360429331981006,-0.0004474808656394033,0.6019108280254777,0.0023508471970537033,0.6142769988723648
sensor_268,0.0010318016720890543,-0.0003121744989395617,0.21019108280254778,0.002341223506306258,0.616618222378671
sensor_049,0.0010309270049892185,-0.0003961983235852694,0.42038216560509556,0.002339238831121363,0.6189574612097924
sensor_340,0.001016012094899338,-0.00034933038399897765,0.28662420382165604,0.002305395953132832,0.6212628571629253
sensor_121,0.0010032203005492515,-0.0001975567725066123,0.3535031847133758,0.0022763705595611945,0.6235392277224865
sensor_133,0.0010027777604979626,-0.00028927009825257546,0.21656050955414013,0.0022753664080865594,0.625814594130573
sensor_454,0.0009774836241330867,-0.00032507749244165647,0.5222929936305732,0.002217972406670314,0.6280325665372434
sensor_204,0.0009739419413217717,-0.0002947985086886622,0.2356687898089172,0.0022099361034988497,0.6302425026407422
sensor_295,0.0009697648832778169,-0.00027110605666996854,0.5509554140127388,0.002200458093582552,0.6324429607343248
sensor_563,0.0009573974119523823,-0.0004976469745398406,0.1178343949044586,0.0021723955158954545,0.6346153562502203
