wafer_id,target,status,decision,calibrated_failure_probability,prediction_confidence,combined_uncertainty,ood_percentile,positive_shap_total,negative_shap_total,top_risk_features,top_protective_features,explanation_text
WF-000247,0,Pass,High Risk,0.0881819396074319,0.2720674056271344,0.7279325943728656,0.6193136472466081,0.20187455173703867,0.27025550411799104,"sensor_060, sensor_206, sensor_478, sensor_342, sensor_386","sensor_032, sensor_104","The record was assigned to High Risk with a calibrated failure probability of 8.82%. The strongest model contributions increasing risk were sensor_060, sensor_206, sensor_478. Contributions reducing predicted risk were sensor_032, sensor_104. The internal prediction-confidence score was 27.21%. Because SECOM sensors are anonymous, these features must be treated as statistical indicators rather than confirmed physical root causes."
WF-001316,0,Pass,Engineering Review,0.0484713095501457,0.4378494232213429,0.5621505767786571,0.2394253790901835,0.1446950266330651,0.28300455044258893,"sensor_406, sensor_082, sensor_268, sensor_056, sensor_022","sensor_104, sensor_060, sensor_389, sensor_478, sensor_206","The record was assigned to Engineering Review with a calibrated failure probability of 4.85%. The strongest model contributions increasing risk were sensor_406, sensor_082, sensor_268. Contributions reducing predicted risk were sensor_104, sensor_060, sensor_389. The internal prediction-confidence score was 43.78%. Because SECOM sensors are anonymous, these features must be treated as statistical indicators rather than confirmed physical root causes."
WF-000445,0,Pass,Engineering Review,0.0527244553091201,0.2088607534148435,0.7911392465851564,0.7517956903431764,0.14731274181601953,0.27633655133982904,"sensor_104, sensor_317, sensor_015","sensor_248, sensor_520, sensor_389, sensor_444, sensor_020","The record was assigned to Engineering Review with a calibrated failure probability of 5.27%. The strongest model contributions increasing risk were sensor_104, sensor_317, sensor_015. Contributions reducing predicted risk were sensor_248, sensor_520, sensor_389. The internal prediction-confidence score was 20.89%. Because SECOM sensors are anonymous, these features must be treated as statistical indicators rather than confirmed physical root causes."
WF-000297,0,Pass,Engineering Review,0.0629760541589986,0.3174293547995154,0.6825706452004846,0.4628890662410215,0.15310685393338866,0.261940187266722,"sensor_342, sensor_001, sensor_206","sensor_104, sensor_131, sensor_201, sensor_317, sensor_453","The record was assigned to Engineering Review with a calibrated failure probability of 6.30%. The strongest model contributions increasing risk were sensor_342, sensor_001, sensor_206. Contributions reducing predicted risk were sensor_104, sensor_131, sensor_201. The internal prediction-confidence score was 31.74%. Because SECOM sensors are anonymous, these features must be treated as statistical indicators rather than confirmed physical root causes."
WF-001296,0,Pass,Engineering Review,0.0423677814160584,0.4164477548165061,0.5835522451834938,0.4676775738228252,0.15768687132755804,0.3104963951370819,,"sensor_104, sensor_520, sensor_248, sensor_511, sensor_060","The record was assigned to Engineering Review with a calibrated failure probability of 4.24%. The strongest model contributions increasing risk were no dominant positive sensor contribution. Contributions reducing predicted risk were sensor_104, sensor_520, sensor_248. The internal prediction-confidence score was 41.64%. Because SECOM sensors are anonymous, these features must be treated as statistical indicators rather than confirmed physical root causes."
WF-001240,0,Pass,Engineering Review,0.0517514508083244,0.3962679002211794,0.6037320997788206,0.3280127693535515,0.15239745113423697,0.2834926892294751,sensor_133,"sensor_520, sensor_029, sensor_060, sensor_478, sensor_511","The record was assigned to Engineering Review with a calibrated failure probability of 5.18%. The strongest model contributions increasing risk were sensor_133. Contributions reducing predicted risk were sensor_520, sensor_029, sensor_060. The internal prediction-confidence score was 39.63%. Because SECOM sensors are anonymous, these features must be treated as statistical indicators rather than confirmed physical root causes."
WF-001433,0,Pass,Low Risk,0.023658352782628,0.4197749922399569,0.580225007760043,0.5674381484437351,0.12054292448279674,0.33116197210184434,,"sensor_034, sensor_214, sensor_032, sensor_104, sensor_352","The record was assigned to Low Risk with a calibrated failure probability of 2.37%. The strongest model contributions increasing risk were no dominant positive sensor contribution. Contributions reducing predicted risk were sensor_034, sensor_214, sensor_032. The internal prediction-confidence score was 41.98%. Because SECOM sensors are anonymous, these features must be treated as statistical indicators rather than confirmed physical root causes."
WF-000974,0,Pass,Low Risk,0.0263637970331434,0.4233584013217353,0.5766415986782647,0.1093375897845171,0.1292410485429489,0.32971723901913935,,"sensor_104, sensor_131, sensor_248, sensor_352, sensor_060","The record was assigned to Low Risk with a calibrated failure probability of 2.64%. The strongest model contributions increasing risk were no dominant positive sensor contribution. Contributions reducing predicted risk were sensor_104, sensor_131, sensor_248. The internal prediction-confidence score was 42.34%. Because SECOM sensors are anonymous, these features must be treated as statistical indicators rather than confirmed physical root causes."
WF-000284,0,Pass,Engineering Review,0.0511986153901467,0.3575143690842667,0.6424856309157333,0.106145251396648,0.15074672401373512,0.28303243829944946,"sensor_060, sensor_153, sensor_426","sensor_104, sensor_432, sensor_424, sensor_282, sensor_126","The record was assigned to Engineering Review with a calibrated failure probability of 5.12%. The strongest model contributions increasing risk were sensor_060, sensor_153, sensor_426. Contributions reducing predicted risk were sensor_104, sensor_432, sensor_424. The internal prediction-confidence score was 35.75%. Because SECOM sensors are anonymous, these features must be treated as statistical indicators rather than confirmed physical root causes."
WF-000554,0,Pass,Low Risk,0.02463606235205,0.4837253992009918,0.5162746007990082,0.0039904229848363,0.11338618566534095,0.32024332852248377,,"sensor_032, sensor_104, sensor_352, sensor_520, sensor_248","The record was assigned to Low Risk with a calibrated failure probability of 2.46%. The strongest model contributions increasing risk were no dominant positive sensor contribution. Contributions reducing predicted risk were sensor_032, sensor_104, sensor_352. The internal prediction-confidence score was 48.37%. Because SECOM sensors are anonymous, these features must be treated as statistical indicators rather than confirmed physical root causes."
WF-000727,0,Pass,Low Risk,0.0192826831941094,0.5023158666742495,0.4976841333257504,0.1093375897845171,0.11433617060873136,0.3433837896563504,"sensor_034, sensor_064, sensor_342","sensor_032, sensor_520, sensor_248, sensor_060, sensor_104","The record was assigned to Low Risk with a calibrated failure probability of 1.93%. The strongest model contributions increasing risk were sensor_034, sensor_064, sensor_342. Contributions reducing predicted risk were sensor_032, sensor_520, sensor_248. The internal prediction-confidence score was 50.23%. Because SECOM sensors are anonymous, these features must be treated as statistical indicators rather than confirmed physical root causes."
WF-001123,0,Pass,Low Risk,0.0306379573140376,0.3842612344307621,0.6157387655692379,0.4596967278531524,0.1288067705871834,0.31475915153956435,sensor_424,"sensor_104, sensor_060, sensor_317, sensor_206, sensor_511","The record was assigned to Low Risk with a calibrated failure probability of 3.06%. The strongest model contributions increasing risk were sensor_424. Contributions reducing predicted risk were sensor_104, sensor_060, sensor_317. The internal prediction-confidence score was 38.43%. Because SECOM sensors are anonymous, these features must be treated as statistical indicators rather than confirmed physical root causes."
WF-001275,0,Pass,Engineering Review,0.0451050242569556,0.3071337688357471,0.6928662311642528,0.7653631284916201,0.16300406450516847,0.30912311212421606,"sensor_478, sensor_206, sensor_342, sensor_034, sensor_130","sensor_104, sensor_548, sensor_060, sensor_317, sensor_432","The record was assigned to Engineering Review with a calibrated failure probability of 4.51%. The strongest model contributions increasing risk were sensor_478, sensor_206, sensor_342. Contributions reducing predicted risk were sensor_104, sensor_548, sensor_060. The internal prediction-confidence score was 30.71%. Because SECOM sensors are anonymous, these features must be treated as statistical indicators rather than confirmed physical root causes."
WF-000338,0,Pass,Low Risk,0.0253537726731054,0.3567795353907665,0.6432204646092334,0.8300079808459697,0.11905591992831432,0.32322258659498093,"sensor_206, sensor_342","sensor_131, sensor_032, sensor_104, sensor_248, sensor_520","The record was assigned to Low Risk with a calibrated failure probability of 2.54%. The strongest model contributions increasing risk were sensor_206, sensor_342. Contributions reducing predicted risk were sensor_131, sensor_032, sensor_104. The internal prediction-confidence score was 35.68%. Because SECOM sensors are anonymous, these features must be treated as statistical indicators rather than confirmed physical root causes."
WF-000513,0,Pass,Low Risk,0.0285030275934763,0.459680133209711,0.540319866790289,0.1484437350359138,0.12663217037778798,0.31963217037778796,sensor_576,"sensor_104, sensor_520, sensor_248, sensor_060, sensor_511","The record was assigned to Low Risk with a calibrated failure probability of 2.85%. The strongest model contributions increasing risk were sensor_576. Contributions reducing predicted risk were sensor_104, sensor_520, sensor_248. The internal prediction-confidence score was 45.97%. Because SECOM sensors are anonymous, these features must be treated as statistical indicators rather than confirmed physical root causes."
WF-000793,0,Pass,Engineering Review,0.0426441651253827,0.3763474133504664,0.6236525866495336,0.4764565043894653,0.1552069857177438,0.3073260333367914,"sensor_424, sensor_153, sensor_064, sensor_015, sensor_206","sensor_104, sensor_214, sensor_034, sensor_310, sensor_060","The record was assigned to Engineering Review with a calibrated failure probability of 4.26%. The strongest model contributions increasing risk were sensor_424, sensor_153, sensor_064. Contributions reducing predicted risk were sensor_104, sensor_214, sensor_034. The internal prediction-confidence score was 37.63%. Because SECOM sensors are anonymous, these features must be treated as statistical indicators rather than confirmed physical root causes."
WF-000644,0,Pass,Engineering Review,0.0674301676033938,0.3093740136802027,0.6906259863197972,0.7541899441340782,0.18666044057915387,0.28751758343629674,"sensor_065, sensor_066, sensor_064, sensor_068","sensor_248, sensor_104, sensor_520, sensor_352, sensor_060","The record was assigned to Engineering Review with a calibrated failure probability of 6.74%. The strongest model contributions increasing risk were sensor_065, sensor_066, sensor_064. Contributions reducing predicted risk were sensor_248, sensor_104, sensor_520. The internal prediction-confidence score was 30.94%. Because SECOM sensors are anonymous, these features must be treated as statistical indicators rather than confirmed physical root causes."
WF-001033,0,Pass,Engineering Review,0.0418474101202156,0.3995828351631742,0.6004171648368257,0.3144453312051077,0.14178676766800938,0.29590581528705695,,"sensor_104, sensor_248, sensor_126, sensor_520, sensor_060","The record was assigned to Engineering Review with a calibrated failure probability of 4.18%. The strongest model contributions increasing risk were no dominant positive sensor contribution. Contributions reducing predicted risk were sensor_104, sensor_248, sensor_126. The internal prediction-confidence score was 39.96%. Because SECOM sensors are anonymous, these features must be treated as statistical indicators rather than confirmed physical root causes."
WF-001397,0,Pass,Engineering Review,0.0377204669258587,0.2944655141160117,0.7055344858839883,0.902633679169992,0.15249110822742787,0.31746729870361834,"sensor_478, sensor_342, sensor_206","sensor_032, sensor_104, sensor_317, sensor_060, sensor_511","The record was assigned to Engineering Review with a calibrated failure probability of 3.77%. The strongest model contributions increasing risk were sensor_478, sensor_342, sensor_206. Contributions reducing predicted risk were sensor_032, sensor_104, sensor_317. The internal prediction-confidence score was 29.45%. Because SECOM sensors are anonymous, these features must be treated as statistical indicators rather than confirmed physical root causes."
WF-000960,0,Pass,Low Risk,0.0294046723208523,0.4341160917599598,0.5658839082400402,0.4764565043894653,0.11562805243297967,0.3056042429091702,sensor_153,"sensor_104, sensor_131, sensor_130, sensor_126, sensor_029","The record was assigned to Low Risk with a calibrated failure probability of 2.94%. The strongest model contributions increasing risk were sensor_153. Contributions reducing predicted risk were sensor_104, sensor_131, sensor_130. The internal prediction-confidence score was 43.41%. Because SECOM sensors are anonymous, these features must be treated as statistical indicators rather than confirmed physical root causes."
