comparison,feature,group_a,group_b,group_a_count,group_b_count,group_a_median,group_b_median,median_difference,rank_biserial_effect,absolute_effect,mann_whitney_p_value,adjusted_significance_flag
False Alarm vs Correct Pass,sensor_248,False Alarm,Correct Pass,292,340,0.0444,0.02095,0.023450000000000002,0.5589242546333602,0.5589242546333602,7.899366587412883e-34,True
False Alarm vs Correct Pass,sensor_520,False Alarm,Correct Pass,292,340,9.52825,4.522349999999999,5.0059000000000005,0.5564867042707493,0.5564867042707493,1.50611921726422e-33,True
False Alarm vs Correct Pass,sensor_104,False Alarm,Correct Pass,446,722,-0.0085,-0.011,0.0024999999999999988,0.4926897134268289,0.4926897134268289,1.5247226630230516e-45,True
False Alarm vs Correct Pass,sensor_029,False Alarm,Correct Pass,445,724,67.9556,70.21665,-2.2610499999999973,-0.45640635669501517,0.45640635669501517,2.5981209688214264e-39,True
False Alarm vs Correct Pass,sensor_386,False Alarm,Correct Pass,292,340,0.0088,0.005849999999999999,0.0029500000000000012,0.443503223207091,0.443503223207091,6.527450345818382e-22,True
False Alarm vs Correct Pass,sensor_511,False Alarm,Correct Pass,446,722,58.282650000000004,42.07955,16.203100000000006,0.38831161571618455,0.38831161571618455,6.212933234505407e-29,True
False Alarm vs Correct Pass,sensor_060,False Alarm,Correct Pass,444,721,3.62315,-0.0309,3.65405,0.37891567017780603,0.37891567017780603,1.5248173740624899e-27,True
False Alarm vs Correct Pass,sensor_041,False Alarm,Correct Pass,439,710,76.87,79.0,-2.1299999999999955,-0.37124065577978116,0.37124065577978116,3.460728099977174e-26,True
False Alarm vs Correct Pass,sensor_214,False Alarm,Correct Pass,446,704,0.06365000000000001,0.04765,0.016000000000000014,0.3577666377904607,0.3577666377904607,1.3867755400538405e-24,True
False Alarm vs Correct Pass,sensor_352,False Alarm,Correct Pass,446,704,0.029150000000000002,0.0215,0.007650000000000004,0.35366451793721976,0.35366451793721976,4.6276959950677756e-24,True
False Alarm vs Correct Pass,sensor_291,False Alarm,Correct Pass,438,723,0.0969,0.0743,0.022599999999999995,0.34075421411293627,0.34075421411293627,1.9694184590357606e-22,True
False Alarm vs Correct Pass,sensor_079,False Alarm,Correct Pass,446,704,-0.032799999999999996,-0.00035,-0.03244999999999999,-0.3309308754586221,0.3309308754586221,2.881192054546219e-21,True
False Alarm vs Correct Pass,sensor_429,False Alarm,Correct Pass,438,723,2.92525,2.246,0.6792500000000001,0.30531082438090906,0.30531082438090906,2.550561209740271e-18,True
False Alarm vs Correct Pass,sensor_156,False Alarm,Correct Pass,438,723,0.365,0.28,0.08499999999999996,0.3035866537827545,0.3035866537827545,3.799047784237288e-18,True
False Alarm vs Correct Pass,sensor_113,False Alarm,Correct Pass,292,340,0.46485,0.4617,0.003149999999999986,0.2976732473811443,0.2976732473811443,1.0684464185120399e-10,True
False Alarm vs Correct Pass,sensor_317,False Alarm,Correct Pass,445,724,5.6093,5.998799999999999,-0.38949999999999907,-0.2905084114470172,0.2905084114470172,6.843438458597306e-17,True
False Alarm vs Correct Pass,sensor_034,False Alarm,Correct Pass,446,724,8.83555,8.7283,0.10724999999999874,0.2899158883135544,0.2899158883135544,7.521666201131342e-17,True
False Alarm vs Correct Pass,sensor_469,False Alarm,Correct Pass,444,721,73.06774999999999,209.5748,-136.50705000000002,-0.2893972335719909,0.2893972335719909,8.542860062781805e-17,True
False Alarm vs Correct Pass,sensor_096,False Alarm,Correct Pass,446,718,0.0001,0.0,0.0001,0.2881946613038211,0.2881946613038211,9.80682607874573e-19,True
False Alarm vs Correct Pass,sensor_181,False Alarm,Correct Pass,445,724,17.81,19.335,-1.5250000000000021,-0.28477559128437524,0.28477559128437524,2.724310188789127e-16,True
False Alarm vs Correct Pass,sensor_453,False Alarm,Correct Pass,445,724,5.0486,5.430400000000001,-0.38180000000000014,-0.2798218387236948,0.2798218387236948,8.798753087614682e-16,True
False Alarm vs Correct Pass,sensor_543,False Alarm,Correct Pass,446,722,0.1096,0.1107,-0.0011000000000000038,-0.27787163211308896,0.27787163211308896,2.2576303652037338e-17,True
False Alarm vs Correct Pass,sensor_130,False Alarm,Correct Pass,442,719,0.0,-0.4731,0.4731,0.2776732389757015,0.2776732389757015,1.7211145853610453e-15,True
False Alarm vs Correct Pass,sensor_012,False Alarm,Correct Pass,446,722,0.9622,0.967,-0.0047999999999999154,-0.2741978559805225,0.2741978559805225,3.214315399267534e-15,True
False Alarm vs Correct Pass,sensor_080,False Alarm,Correct Pass,446,704,0.00695,-0.0020499999999999997,0.009,0.2650421677537709,0.2650421677537709,3.400775929430753e-14,True
False Alarm vs Correct Pass,sensor_283,False Alarm,Correct Pass,446,722,0.0063,0.0048,0.0015000000000000005,0.25958659925717065,0.25958659925717065,8.460063542060216e-14,True
