comparison,feature,group_a,group_b,group_a_count,group_b_count,group_a_median,group_b_median,median_difference,rank_biserial_effect,absolute_effect,mann_whitney_p_value,adjusted_significance_flag
Missed Failure vs Detected Failure,sensor_248,Missed Failure,Detected Failure,7,46,0.0225,0.056150000000000005,-0.033650000000000006,-0.8198757763975155,0.8198757763975155,0.0005509260904214957,False
Missed Failure vs Detected Failure,sensor_520,Missed Failure,Detected Failure,7,46,4.8934,12.01455,-7.12115,-0.8198757763975155,0.8198757763975155,0.00013156607484422913,False
Missed Failure vs Detected Failure,sensor_080,Missed Failure,Detected Failure,19,64,-0.0101,0.0121,-0.022199999999999998,-0.5115131578947368,0.5115131578947368,0.0007639854496945134,False
Missed Failure vs Detected Failure,sensor_041,Missed Failure,Detected Failure,19,64,79.21,74.57,4.640000000000001,0.49588815789473695,0.49588815789473695,0.0011025368169880507,False
Missed Failure vs Detected Failure,sensor_060,Missed Failure,Detected Failure,19,64,1.0045,8.28455,-7.280049999999999,-0.48519736842105265,0.48519736842105265,0.0014126757313103137,False
Missed Failure vs Detected Failure,sensor_386,Missed Failure,Detected Failure,7,46,0.0067,0.011,-0.004299999999999999,-0.484472049689441,0.484472049689441,0.0417057356732533,False
Missed Failure vs Detected Failure,sensor_029,Missed Failure,Detected Failure,19,64,70.5444,67.80555000000001,2.738849999999985,0.48026315789473695,0.48026315789473695,0.0015798681090419056,False
Missed Failure vs Detected Failure,sensor_347,Missed Failure,Detected Failure,10,44,2.99775,3.8201,-0.8223500000000001,-0.46818181818181814,0.46818181818181814,0.022461071292338635,False
Missed Failure vs Detected Failure,sensor_556,Missed Failure,Detected Failure,15,54,35.4007,59.0606,-23.6599,-0.4666666666666667,0.4666666666666667,0.006044036162320776,False
Missed Failure vs Detected Failure,sensor_038,Missed Failure,Detected Failure,19,64,66.1561,66.32310000000001,-0.1670000000000158,-0.45230263157894735,0.45230263157894735,0.002923871673656203,False
Missed Failure vs Detected Failure,sensor_113,Missed Failure,Detected Failure,7,46,0.4623,0.46475,-0.0024500000000000077,-0.4503105590062112,0.4503105590062112,0.058531791781260736,False
Missed Failure vs Detected Failure,sensor_346,Missed Failure,Detected Failure,10,44,5.0198,6.1799,-1.1601,-0.42727272727272725,0.42727272727272725,0.037336415920662856,False
Missed Failure vs Detected Failure,sensor_011,Missed Failure,Detected Failure,19,64,-0.0022,0.00375,-0.00595,-0.42598684210526316,0.42598684210526316,0.0050799058832832625,False
Missed Failure vs Detected Failure,sensor_072,Missed Failure,Detected Failure,19,64,111.3653,97.53909999999999,13.826200000000014,0.42434210526315796,0.42434210526315796,0.005254381408095294,False
Missed Failure vs Detected Failure,sensor_564,Missed Failure,Detected Failure,16,48,0.5671,0.67065,-0.10354999999999992,-0.42317708333333337,0.42317708333333337,0.010922595958093181,False
Missed Failure vs Detected Failure,sensor_136,Missed Failure,Detected Failure,19,64,110.0,95.0,15.0,0.40707236842105265,0.40707236842105265,0.007405319300415273,False
Missed Failure vs Detected Failure,sensor_409,Missed Failure,Detected Failure,19,64,4.9329,4.341200000000001,0.5916999999999994,0.40542763157894735,0.40542763157894735,0.00766225688170607,False
Missed Failure vs Detected Failure,sensor_045,Missed Failure,Detected Failure,19,64,10.1066,9.982500000000002,0.12409999999999854,0.4013157894736843,0.4013157894736843,0.00830857675118851,False
Missed Failure vs Detected Failure,sensor_214,Missed Failure,Detected Failure,19,64,0.0468,0.0601,-0.0133,-0.3955592105263158,0.3955592105263158,0.009285201628982786,False
Missed Failure vs Detected Failure,sensor_174,Missed Failure,Detected Failure,19,64,0.6178,0.55755,0.060250000000000026,0.39473684210526305,0.39473684210526305,0.00942546415193124,False
Missed Failure vs Detected Failure,sensor_271,Missed Failure,Detected Failure,19,64,29.0426,25.9831,3.0595,0.3873355263157894,0.3873355263157894,0.010854052822737974,False
Missed Failure vs Detected Failure,sensor_445,Missed Failure,Detected Failure,19,64,0.9617,0.87005,0.09165000000000001,0.38651315789473695,0.38651315789473695,0.011021294662527631,False
Missed Failure vs Detected Failure,sensor_550,Missed Failure,Detected Failure,15,54,0.3547,0.5378000000000001,-0.18310000000000004,-0.3827160493827161,0.3827160493827161,0.024436611110332473,False
Missed Failure vs Detected Failure,sensor_005,Missed Failure,Detected Failure,19,64,1.3963,1.29525,0.10105000000000008,0.381578947368421,0.381578947368421,0.01209104227145967,False
Missed Failure vs Detected Failure,sensor_206,Missed Failure,Detected Failure,19,64,8.01,10.215,-2.205,-0.3782894736842105,0.3782894736842105,0.012862715544528613,False
Missed Failure vs Detected Failure,sensor_478,Missed Failure,Detected Failure,19,64,5.5495,6.9616,-1.4120999999999997,-0.3782894736842105,0.3782894736842105,0.012863659657025042,False
Missed Failure vs Detected Failure,sensor_352,Missed Failure,Detected Failure,19,64,0.0216,0.0279,-0.0063,-0.375,0.375,0.0136656299291858,False
Missed Failure vs Detected Failure,sensor_034,Missed Failure,Detected Failure,19,64,8.7073,8.98255,-0.2752499999999998,-0.368421052631579,0.368421052631579,0.015402212752841359,False
Missed Failure vs Detected Failure,sensor_079,Missed Failure,Detected Failure,19,64,0.0012,-0.0398,0.041,0.3675986842105263,0.3675986842105263,0.015644958801342146,False
Missed Failure vs Detected Failure,sensor_342,Missed Failure,Detected Failure,19,64,2.418,3.12105,-0.7030499999999997,-0.36348684210526316,0.36348684210526316,0.016849664054532452,False
Missed Failure vs Detected Failure,sensor_553,Missed Failure,Detected Failure,15,54,0.1543,0.23435,-0.08005000000000001,-0.36049382716049383,0.36049382716049383,0.03407910491881989,False
Missed Failure vs Detected Failure,sensor_049,Missed Failure,Detected Failure,19,64,142.1173,138.23860000000002,3.8786999999999807,0.35526315789473695,0.35526315789473695,0.01950284189038786,False
Missed Failure vs Detected Failure,sensor_104,Missed Failure,Detected Failure,19,64,-0.0105,-0.00745,-0.0030500000000000006,-0.3495065789473685,0.3495065789473685,0.021552283241780257,False
Missed Failure vs Detected Failure,sensor_286,Missed Failure,Detected Failure,19,64,2.0833,1.7896,0.29369999999999985,0.34292763157894735,0.34292763157894735,0.024164871982683488,False
Missed Failure vs Detected Failure,sensor_317,Missed Failure,Detected Failure,19,64,6.0207,5.40795,0.6127500000000001,0.32894736842105265,0.32894736842105265,0.030590785872882567,False
Missed Failure vs Detected Failure,sensor_349,Missed Failure,Detected Failure,19,64,0.0217,0.025050000000000003,-0.0033500000000000023,-0.32401315789473684,0.32401315789473684,0.033172920383039275,False
Missed Failure vs Detected Failure,sensor_125,Missed Failure,Detected Failure,19,64,15.77,15.83,-0.0600000000000005,-0.3207236842105263,0.3207236842105263,0.03475141012203186,False
Missed Failure vs Detected Failure,sensor_151,Missed Failure,Detected Failure,19,64,6.988,5.526,1.4620000000000006,0.3207236842105263,0.3207236842105263,0.035017055663305055,False
Missed Failure vs Detected Failure,sensor_545,Missed Failure,Detected Failure,19,64,0.0025,0.0026,-9.999999999999983e-05,-0.3207236842105263,0.3207236842105263,0.013225155586603905,False
Missed Failure vs Detected Failure,sensor_453,Missed Failure,Detected Failure,19,64,5.6196,4.944850000000001,0.6747499999999995,0.3157894736842106,0.3157894736842106,0.037926843482268525,False
Missed Failure vs Detected Failure,sensor_566,Missed Failure,Detected Failure,16,48,0.0877,0.1492,-0.0615,-0.30989583333333337,0.30989583333333337,0.06264263277679553,False
Missed Failure vs Detected Failure,sensor_008,Missed Failure,Detected Failure,19,64,0.123,0.1221,0.000899999999999998,0.30838815789473695,0.30838815789473695,0.04257242290847978,False
Missed Failure vs Detected Failure,sensor_253,Missed Failure,Detected Failure,19,64,2.638,3.14895,-0.5109500000000002,-0.305921052631579,0.305921052631579,0.04436430512709081,False
