query_wafer_id,query_actual_target,query_actual_status,query_decision,query_failure_probability,query_prediction_confidence,neighbour_rank,historical_wafer_id,historical_target,historical_status,distance,similarity_score
WF-000247,0,Pass,High Risk,0.0881819396074319,0.2720674056271344,1,WF-000826,0,Pass,0.07516189033662388,0.5854706442092765
WF-000247,0,Pass,High Risk,0.0881819396074319,0.2720674056271344,2,WF-001303,1,Fail,0.07892037886019132,0.5700056515215806
WF-000247,0,Pass,High Risk,0.0881819396074319,0.2720674056271344,3,WF-000746,0,Pass,0.08720797058956885,0.5373330193960326
WF-000247,0,Pass,High Risk,0.0881819396074319,0.2720674056271344,4,WF-000569,0,Pass,0.08830609949003482,0.5331467136751507
WF-000247,0,Pass,High Risk,0.0881819396074319,0.2720674056271344,5,WF-000194,0,Pass,0.1300112624443719,0.39613392978443257
WF-000247,0,Pass,High Risk,0.0881819396074319,0.2720674056271344,6,WF-001082,0,Pass,0.13007291872363602,0.39596000744056503
WF-000247,0,Pass,High Risk,0.0881819396074319,0.2720674056271344,7,WF-000395,0,Pass,0.13564628338599005,0.3805497902597267
WF-000247,0,Pass,High Risk,0.0881819396074319,0.2720674056271344,8,WF-000253,0,Pass,0.13674521717128182,0.377582801781442
WF-000247,0,Pass,High Risk,0.0881819396074319,0.2720674056271344,9,WF-000723,0,Pass,0.200763782924901,0.23932412010700665
WF-000247,0,Pass,High Risk,0.0881819396074319,0.2720674056271344,10,WF-000560,0,Pass,0.20538023275863507,0.2315829678905584
WF-001316,0,Pass,Engineering Review,0.0484713095501457,0.4378494232213429,1,WF-001513,0,Pass,0.019829424305134694,0.8682854802811479
WF-001316,0,Pass,Engineering Review,0.0484713095501457,0.4378494232213429,2,WF-001103,0,Pass,0.04325078146717816,0.7348764226169311
WF-001316,0,Pass,Engineering Review,0.0484713095501457,0.4378494232213429,3,WF-001072,0,Pass,0.08841851781011037,0.5327199952947466
WF-001316,0,Pass,Engineering Review,0.0484713095501457,0.4378494232213429,4,WF-000180,0,Pass,0.10732652777958704,0.4655986431536009
WF-001316,0,Pass,Engineering Review,0.0484713095501457,0.4378494232213429,5,WF-001162,0,Pass,0.13682781057648152,0.37736074644146156
WF-001316,0,Pass,Engineering Review,0.0484713095501457,0.4378494232213429,6,WF-001049,0,Pass,0.13972718410609844,0.3696478812921264
WF-001316,0,Pass,Engineering Review,0.0484713095501457,0.4378494232213429,7,WF-000124,0,Pass,0.1692398548437086,0.2995697877891592
WF-001316,0,Pass,Engineering Review,0.0484713095501457,0.4378494232213429,8,WF-000905,0,Pass,0.19998063825139492,0.24066278429512594
WF-001316,0,Pass,Engineering Review,0.0484713095501457,0.4378494232213429,9,WF-001003,0,Pass,0.20362940268247795,0.2344889483491057
WF-001316,0,Pass,Engineering Review,0.0484713095501457,0.4378494232213429,10,WF-000923,0,Pass,0.20582829854694878,0.2308450857926672
WF-000445,0,Pass,Engineering Review,0.0527244553091201,0.2088607534148435,1,WF-000604,0,Pass,0.6663756850385182,0.008684208337539743
WF-000445,0,Pass,Engineering Review,0.0527244553091201,0.2088607534148435,2,WF-000789,0,Pass,0.6850043800508262,0.007605135112244017
WF-000445,0,Pass,Engineering Review,0.0527244553091201,0.2088607534148435,3,WF-000013,0,Pass,0.8665168773916743,0.002087577156623356
WF-000445,0,Pass,Engineering Review,0.0527244553091201,0.2088607534148435,4,WF-000110,0,Pass,1.0114501544086447,0.0007435787765265826
WF-000445,0,Pass,Engineering Review,0.0527244553091201,0.2088607534148435,5,WF-000581,0,Pass,1.0185740988049155,0.0007067906741553244
WF-000445,0,Pass,Engineering Review,0.0527244553091201,0.2088607534148435,6,WF-000574,0,Pass,1.0868742770442077,0.00043453119349018497
WF-000445,0,Pass,Engineering Review,0.0527244553091201,0.2088607534148435,7,WF-000599,0,Pass,1.45156496621979,3.235487636448231e-05
WF-000445,0,Pass,Engineering Review,0.0527244553091201,0.2088607534148435,8,WF-000156,0,Pass,1.487854722007826,2.4985398724526258e-05
WF-000445,0,Pass,Engineering Review,0.0527244553091201,0.2088607534148435,9,WF-000446,0,Pass,1.5495553536733777,1.610017183556956e-05
WF-000445,0,Pass,Engineering Review,0.0527244553091201,0.2088607534148435,10,WF-000717,0,Pass,1.6978094579871192,5.6007062611872444e-06
WF-000297,0,Pass,Engineering Review,0.0629760541589986,0.3174293547995154,1,WF-000920,0,Pass,0.11351819564043047,0.4455118907463632
