wafer_id,target,status,decision,calibrated_failure_probability,prediction_confidence,combined_uncertainty,data_familiarity_percentile,neighbour_count,failed_neighbour_count,passed_neighbour_count,historical_raw_failure_rate,historical_weighted_failure_rate,historical_failure_rate_lower_95,historical_failure_rate_upper_95,mean_similarity,maximum_similarity,minimum_similarity,mean_failed_neighbour_similarity,mean_passed_neighbour_similarity,similarity_strength,historical_evidence_level,top_risk_features,top_protective_features,historical_evidence_text
WF-000247,0,Pass,High Risk,0.0881819396074319,0.2720674056271344,0.7279325943728656,0.3806863527533919,10,1,9,0.1,0.13421088298656395,0.01787574951572113,0.4041563854975721,0.42470896460657714,0.5854706442092765,0.2315829678905584,0.5700056515215806,0.4085648882826879,Moderate,Limited Failure Evidence,"sensor_060, sensor_206, sensor_478, sensor_342, sensor_386","sensor_032, sensor_104","The 10 nearest development records contained 1 observed failures. The similarity-weighted historical failure rate was 13.42%, and the mean analytical similarity score was 42.47%. The resulting evidence category is Limited Failure Evidence. This is historical statistical evidence, not proof of a physical failure mechanism."
WF-001316,0,Pass,Engineering Review,0.0484713095501457,0.4378494232213429,0.5621505767786571,0.7605746209098165,10,0,10,0.0,0.0,0.0,0.2775401687666166,0.43540557753060727,0.8682854802811479,0.2308450857926672,,0.43540557753060727,Moderate,No Retrieved Failure Evidence,"sensor_406, sensor_082, sensor_268, sensor_056, sensor_022","sensor_104, sensor_060, sensor_389, sensor_478, sensor_206","The 10 nearest development records contained 0 observed failures. The similarity-weighted historical failure rate was 0.00%, and the mean analytical similarity score was 43.54%. The resulting evidence category is No Retrieved Failure Evidence. This is historical statistical evidence, not proof of a physical failure mechanism."
WF-000445,0,Pass,Engineering Review,0.0527244553091201,0.2088607534148435,0.7911392465851564,0.2482043096568236,10,0,10,0.0,0.0,0.0,0.2775401687666166,0.002034086240376497,0.008684208337539743,5.6007062611872444e-06,,0.002034086240376497,Very Weak,No Retrieved Failure Evidence,"sensor_104, sensor_317, sensor_015","sensor_248, sensor_520, sensor_389, sensor_444, sensor_020","The 10 nearest development records contained 0 observed failures. The similarity-weighted historical failure rate was 0.00%, and the mean analytical similarity score was 0.20%. The resulting evidence category is No Retrieved Failure Evidence. This is historical statistical evidence, not proof of a physical failure mechanism."
WF-000297,0,Pass,Engineering Review,0.0629760541589986,0.3174293547995154,0.6825706452004846,0.5371109337589786,10,0,10,0.0,0.0,0.0,0.2775401687666166,0.3261172875985894,0.4455118907463632,0.25447551741207447,,0.3261172875985894,Weak,No Retrieved Failure Evidence,"sensor_342, sensor_001, sensor_206","sensor_104, sensor_131, sensor_201, sensor_317, sensor_453","The 10 nearest development records contained 0 observed failures. The similarity-weighted historical failure rate was 0.00%, and the mean analytical similarity score was 32.61%. The resulting evidence category is No Retrieved Failure Evidence. This is historical statistical evidence, not proof of a physical failure mechanism."
WF-001296,0,Pass,Engineering Review,0.0423677814160584,0.4164477548165061,0.5835522451834938,0.5323224261771748,10,3,7,0.3,0.25548025599843294,0.10778928748621183,0.6032267800204347,0.36900854189332705,0.6435961626061641,0.1809189361270634,0.31424798916171887,0.39247735020687335,Moderate,Moderate Failure Evidence,nan,"sensor_104, sensor_520, sensor_248, sensor_511, sensor_060","The 10 nearest development records contained 3 observed failures. The similarity-weighted historical failure rate was 25.55%, and the mean analytical similarity score was 36.90%. The resulting evidence category is Moderate Failure Evidence. This is historical statistical evidence, not proof of a physical failure mechanism."
WF-001240,0,Pass,Engineering Review,0.0517514508083244,0.3962679002211794,0.6037320997788206,0.6719872306464485,10,0,10,0.0,0.0,0.0,0.2775401687666166,0.6042922903203374,0.7470654786585923,0.5080705806080831,,0.6042922903203374,Strong,No Retrieved Failure Evidence,sensor_133,"sensor_520, sensor_029, sensor_060, sensor_478, sensor_511","The 10 nearest development records contained 0 observed failures. The similarity-weighted historical failure rate was 0.00%, and the mean analytical similarity score was 60.43%. The resulting evidence category is No Retrieved Failure Evidence. This is historical statistical evidence, not proof of a physical failure mechanism."
WF-001433,0,Pass,Low Risk,0.023658352782628,0.4197749922399569,0.580225007760043,0.4325618515562649,10,0,10,0.0,0.0,0.0,0.2775401687666166,0.5958191852167817,0.804091396731768,0.4853124523534843,,0.5958191852167817,Strong,No Retrieved Failure Evidence,nan,"sensor_034, sensor_214, sensor_032, sensor_104, sensor_352","The 10 nearest development records contained 0 observed failures. The similarity-weighted historical failure rate was 0.00%, and the mean analytical similarity score was 59.58%. The resulting evidence category is No Retrieved Failure Evidence. This is historical statistical evidence, not proof of a physical failure mechanism."
WF-000974,0,Pass,Low Risk,0.0263637970331434,0.4233584013217353,0.5766415986782647,0.8906624102154829,10,1,9,0.1,0.13298913494701933,0.01787574951572113,0.4041563854975721,0.5244335853197579,0.6974396884883847,0.4284562646244021,0.6974396884883847,0.5052106849676883,Moderate,Limited Failure Evidence,nan,"sensor_104, sensor_131, sensor_248, sensor_352, sensor_060","The 10 nearest development records contained 1 observed failures. The similarity-weighted historical failure rate was 13.30%, and the mean analytical similarity score was 52.44%. The resulting evidence category is Limited Failure Evidence. This is historical statistical evidence, not proof of a physical failure mechanism."
WF-000284,0,Pass,Engineering Review,0.0511986153901467,0.3575143690842667,0.6424856309157333,0.893854748603352,10,0,10,0.0,0.0,0.0,0.2775401687666166,0.617170772475253,0.8326098020366688,0.44570726212358186,,0.617170772475253,Strong,No Retrieved Failure Evidence,"sensor_060, sensor_153, sensor_426","sensor_104, sensor_432, sensor_424, sensor_282, sensor_126","The 10 nearest development records contained 0 observed failures. The similarity-weighted historical failure rate was 0.00%, and the mean analytical similarity score was 61.72%. The resulting evidence category is No Retrieved Failure Evidence. This is historical statistical evidence, not proof of a physical failure mechanism."
WF-000554,0,Pass,Low Risk,0.02463606235205,0.4837253992009918,0.5162746007990082,0.9960095770151637,10,0,10,0.0,0.0,0.0,0.2775401687666166,0.5697622346657644,0.7292730199925217,0.42850759475091116,,0.5697622346657644,Strong,No Retrieved Failure Evidence,nan,"sensor_032, sensor_104, sensor_352, sensor_520, sensor_248","The 10 nearest development records contained 0 observed failures. The similarity-weighted historical failure rate was 0.00%, and the mean analytical similarity score was 56.98%. The resulting evidence category is No Retrieved Failure Evidence. This is historical statistical evidence, not proof of a physical failure mechanism."
