monitoring_rank,feature,reference_count,current_count,reference_missing_rate,current_missing_rate,missing_rate_difference,reference_mean,current_mean,absolute_mean_shift,standardised_mean_shift,reference_std,current_std,standard_deviation_ratio,reference_median,current_median,absolute_median_shift,psi,ks_statistic,ks_p_value,wasserstein_distance,reference_constant,current_constant,overall_severity,feature_health_score,drift_detected,notes,psi_severity,ks_statistic_severity,standardised_mean_shift_severity,missing_rate_difference_severity,constant_sensor_change_severity,measurement_availability_severity,severity_rank
1,sensor_075,1249,312,0.0031923383878691143,0.006369426751592357,0.0031770883637232427,0.0033590872698158526,0.0,0.0033590872698158526,0.02829559174871464,0.11871415518173226,0.0,0.0,0.0,0.0,0.0,0.0,0.0008006405124099114,0.9625672272684133,0.0020998498498498025,False,True,Critical,94.75,True,Current sensor is constant. Sensor became constant in current data. Current missingness exceeds reference missingness.,Normal,Normal,Normal,Normal,Critical,Normal,3
2,sensor_207,1249,312,0.0031923383878691143,0.006369426751592357,0.0031770883637232427,0.0016012810248198558,0.0,0.0016012810248198558,0.028295591748714634,0.05659118349742928,0.0,0.0,0.0,0.0,0.0,0.0,0.0008006405124099114,0.9625672272684133,0.0010010010010009784,False,True,Critical,94.75,True,Current sensor is constant. Sensor became constant in current data. Current missingness exceeds reference missingness.,Normal,Normal,Normal,Normal,Critical,Normal,3
3,sensor_210,1249,312,0.0031923383878691143,0.006369426751592357,0.0031770883637232427,0.03694955964771817,0.0,0.03694955964771817,0.028295591748714637,1.3058415592031805,0.0,0.0,0.0,0.0,0.0,0.0,0.0008006405124099114,0.9625672272684133,0.023098098098097576,False,True,Critical,94.75,True,Current sensor is constant. Sensor became constant in current data. Current missingness exceeds reference missingness.,Normal,Normal,Normal,Normal,Critical,Normal,3
4,sensor_343,1249,312,0.0031923383878691143,0.006369426751592357,0.0031770883637232427,0.0003580464371497198,0.0,0.0003580464371497198,0.02829559174871464,0.012653788630025186,0.0,0.0,0.0,0.0,0.0,0.0,0.0008006405124099114,0.9625672272684133,0.00022382382382381876,False,True,Critical,94.75,True,Current sensor is constant. Sensor became constant in current data. Current missingness exceeds reference missingness.,Normal,Normal,Normal,Normal,Critical,Normal,3
5,sensor_348,1249,312,0.0031923383878691143,0.006369426751592357,0.0031770883637232427,0.011140672538030425,0.0,0.011140672538030425,0.02829559174871464,0.3937246705058396,0.0,0.0,0.0,0.0,0.0,0.0,0.0008006405124099114,0.9625672272684133,0.006964314314314157,False,True,Critical,94.75,True,Current sensor is constant. Sensor became constant in current data. Current missingness exceeds reference missingness.,Normal,Normal,Normal,Normal,Critical,Normal,3
6,sensor_479,1249,312,0.0031923383878691143,0.006369426751592357,0.0031770883637232427,0.16012810248198558,0.0,0.16012810248198558,0.02829559174871464,5.659118349742927,0.0,0.0,0.0,0.0,0.0,0.0,0.0008006405124099114,0.9625672272684133,0.10010010010009784,False,True,Critical,94.75,True,Current sensor is constant. Sensor became constant in current data. Current missingness exceeds reference missingness.,Normal,Normal,Normal,Normal,Critical,Normal,3
7,sensor_346,638,135,0.49082202713487627,0.5700636942675159,0.07924166713263964,8.400305172413793,5.869850370370371,2.5304548020434217,0.13192635696775287,19.180813146094437,3.5695637490857584,0.18610075192837103,5.5706500000000005,5.5446,0.026050000000000573,0.2316685324003052,0.06484384070590965,0.722970758927712,2.501185645897057,False,False,Warning,84.7,True,Current missingness exceeds reference missingness.,Warning,Normal,Normal,Watch,Normal,Normal,2
8,sensor_556,1053,254,0.1596169193934557,0.1910828025477707,0.031465883154315005,57.82816191832858,57.40814803149607,0.42001388683251406,0.01178637566835368,35.635542142123285,33.4403100702166,0.9383976799580721,54.3182,54.83615,0.5179500000000061,0.10038292800693291,0.045000785158265444,0.7928018906967707,2.2312524046569107,False,False,Watch,91.9,True,Current missingness exceeds reference missingness.,Watch,Normal,Normal,Watch,Normal,Normal,1
9,sensor_248,685,167,0.4533120510774142,0.4681528662420382,0.014840815164624044,0.05356846715328467,0.052574251497005994,0.000994215656278677,0.015028176958334584,0.06615677064723993,0.06996908780799815,1.0576255026274817,0.0274,0.026,0.001400000000000002,0.11540179818773758,0.07082477381004415,0.49643861203595957,0.004289004309018161,False,False,Watch,94.6,True,Current missingness exceeds reference missingness.,Watch,Normal,Normal,Normal,Normal,Normal,1
10,sensor_349,1233,310,0.01596169193934557,0.012738853503184714,0.003222838436160856,0.024411435523114356,0.02587612903225807,0.0014646935091437129,0.12761213744712416,0.011477697485872814,0.013238634174464648,1.1534224691632848,0.0225,0.0235,0.0010000000000000009,0.10333591810809342,0.09090338278000157,0.031204357834041203,0.0015796483169856538,False,False,Watch,94.6,True,No additional data-quality note.,Watch,Normal,Normal,Normal,Normal,Normal,1
