alert_id,run_id,generated_utc,category,alert_type,severity,resource_type,resource_id,metric_name,observed_value,threshold_value,message,recommended_action,evidence_json,severity_rank
ddce460f88c043f85db6,d95c963f8447536f,2026-07-14T11:49:26.161145+00:00,Feature Drift,sensor_distribution_shift,Critical,sensor_feature,sensor_075,constant_sensor_change,,,"sensor_075 is classified as Critical for distribution drift (PSI=0.0000, KS=0.0008, standardised mean shift=0.0283, missing-rate difference=0.0032).","Escalate process and sensor review, compare with maintenance and recipe changes, and assess retraining immediately.","{""current_constant"": true, ""feature_health_score"": 94.75, ""ks_p_value"": 0.9625672272684133, ""ks_statistic"": 0.0008006405124099114, ""missing_rate_difference"": 0.0031770883637232427, ""notes"": ""Current sensor is constant. Sensor became constant in current data. Current missingness exceeds reference missingness."", ""psi"": 0.0, ""reference_constant"": false, ""standardised_mean_shift"": 0.02829559174871464}",3
9bc50b577543e0473df4,d95c963f8447536f,2026-07-14T11:49:26.161145+00:00,Feature Drift,sensor_distribution_shift,Critical,sensor_feature,sensor_207,constant_sensor_change,,,"sensor_207 is classified as Critical for distribution drift (PSI=0.0000, KS=0.0008, standardised mean shift=0.0283, missing-rate difference=0.0032).","Escalate process and sensor review, compare with maintenance and recipe changes, and assess retraining immediately.","{""current_constant"": true, ""feature_health_score"": 94.75, ""ks_p_value"": 0.9625672272684133, ""ks_statistic"": 0.0008006405124099114, ""missing_rate_difference"": 0.0031770883637232427, ""notes"": ""Current sensor is constant. Sensor became constant in current data. Current missingness exceeds reference missingness."", ""psi"": 0.0, ""reference_constant"": false, ""standardised_mean_shift"": 0.028295591748714634}",3
e40d3ede8e87262c7035,d95c963f8447536f,2026-07-14T11:49:26.161145+00:00,Feature Drift,sensor_distribution_shift,Critical,sensor_feature,sensor_210,constant_sensor_change,,,"sensor_210 is classified as Critical for distribution drift (PSI=0.0000, KS=0.0008, standardised mean shift=0.0283, missing-rate difference=0.0032).","Escalate process and sensor review, compare with maintenance and recipe changes, and assess retraining immediately.","{""current_constant"": true, ""feature_health_score"": 94.75, ""ks_p_value"": 0.9625672272684133, ""ks_statistic"": 0.0008006405124099114, ""missing_rate_difference"": 0.0031770883637232427, ""notes"": ""Current sensor is constant. Sensor became constant in current data. Current missingness exceeds reference missingness."", ""psi"": 0.0, ""reference_constant"": false, ""standardised_mean_shift"": 0.028295591748714637}",3
de328db459ac107dca4d,d95c963f8447536f,2026-07-14T11:49:26.161145+00:00,Feature Drift,sensor_distribution_shift,Critical,sensor_feature,sensor_343,constant_sensor_change,,,"sensor_343 is classified as Critical for distribution drift (PSI=0.0000, KS=0.0008, standardised mean shift=0.0283, missing-rate difference=0.0032).","Escalate process and sensor review, compare with maintenance and recipe changes, and assess retraining immediately.","{""current_constant"": true, ""feature_health_score"": 94.75, ""ks_p_value"": 0.9625672272684133, ""ks_statistic"": 0.0008006405124099114, ""missing_rate_difference"": 0.0031770883637232427, ""notes"": ""Current sensor is constant. Sensor became constant in current data. Current missingness exceeds reference missingness."", ""psi"": 0.0, ""reference_constant"": false, ""standardised_mean_shift"": 0.02829559174871464}",3
e6c2a40ffe427314d0e2,d95c963f8447536f,2026-07-14T11:49:26.161145+00:00,Feature Drift,sensor_distribution_shift,Critical,sensor_feature,sensor_348,constant_sensor_change,,,"sensor_348 is classified as Critical for distribution drift (PSI=0.0000, KS=0.0008, standardised mean shift=0.0283, missing-rate difference=0.0032).","Escalate process and sensor review, compare with maintenance and recipe changes, and assess retraining immediately.","{""current_constant"": true, ""feature_health_score"": 94.75, ""ks_p_value"": 0.9625672272684133, ""ks_statistic"": 0.0008006405124099114, ""missing_rate_difference"": 0.0031770883637232427, ""notes"": ""Current sensor is constant. Sensor became constant in current data. Current missingness exceeds reference missingness."", ""psi"": 0.0, ""reference_constant"": false, ""standardised_mean_shift"": 0.02829559174871464}",3
17468feeb0bd5343cb32,d95c963f8447536f,2026-07-14T11:49:26.161145+00:00,Feature Drift,sensor_distribution_shift,Critical,sensor_feature,sensor_479,constant_sensor_change,,,"sensor_479 is classified as Critical for distribution drift (PSI=0.0000, KS=0.0008, standardised mean shift=0.0283, missing-rate difference=0.0032).","Escalate process and sensor review, compare with maintenance and recipe changes, and assess retraining immediately.","{""current_constant"": true, ""feature_health_score"": 94.75, ""ks_p_value"": 0.9625672272684133, ""ks_statistic"": 0.0008006405124099114, ""missing_rate_difference"": 0.0031770883637232427, ""notes"": ""Current sensor is constant. Sensor became constant in current data. Current missingness exceeds reference missingness."", ""psi"": 0.0, ""reference_constant"": false, ""standardised_mean_shift"": 0.02829559174871464}",3
131c42b8f843bc8a2d1f,d95c963f8447536f,2026-07-14T11:49:26.161145+00:00,Feature Drift,sensor_distribution_shift,Warning,sensor_feature,sensor_346,psi,0.2316685324003052,0.2,"sensor_346 is classified as Warning for distribution drift (PSI=0.2317, KS=0.0648, standardised mean shift=0.1319, missing-rate difference=0.0792).","Increase monitoring frequency, investigate the affected evidence and prepare a controlled retraining assessment.","{""current_constant"": false, ""feature_health_score"": 84.7, ""ks_p_value"": 0.722970758927712, ""ks_statistic"": 0.06484384070590965, ""missing_rate_difference"": 0.07924166713263964, ""notes"": ""Current missingness exceeds reference missingness."", ""psi"": 0.2316685324003052, ""reference_constant"": false, ""standardised_mean_shift"": 0.13192635696775287}",2
81f7220b3ca7ddc15734,d95c963f8447536f,2026-07-14T11:49:26.161145+00:00,Prediction Drift,operational_output_shift,Warning,model_output,combined_uncertainty,combined_uncertainty,,0.1,"Combined Uncertainty is classified as Warning; reference mean=None, current mean=None.","Increase monitoring frequency, investigate the affected evidence and prepare a controlled retraining assessment.","{""current_count"": 0, ""current_mean"": null, ""health_score"": 70.0, ""ks_p_value"": null, ""ks_statistic"": null, ""notes"": ""The operational metric is unavailable in one or both datasets."", ""psi"": null, ""reference_count"": 0, ""reference_mean"": null, ""wasserstein_distance"": null}",2
b7b13cdfb281a0c5c3fe,d95c963f8447536f,2026-07-14T11:49:26.161145+00:00,Prediction Drift,operational_output_shift,Warning,model_output,data_confidence,data_confidence,,0.1,"Data Confidence is classified as Warning; reference mean=None, current mean=None.","Increase monitoring frequency, investigate the affected evidence and prepare a controlled retraining assessment.","{""current_count"": 0, ""current_mean"": null, ""health_score"": 70.0, ""ks_p_value"": null, ""ks_statistic"": null, ""notes"": ""The operational metric is unavailable in one or both datasets."", ""psi"": null, ""reference_count"": 0, ""reference_mean"": null, ""wasserstein_distance"": null}",2
749caf3adc943b016295,d95c963f8447536f,2026-07-14T11:49:26.161145+00:00,Prediction Drift,operational_output_shift,Warning,model_output,failure_probability,failure_probability,,0.05,"Failure Probability is classified as Warning; reference mean=None, current mean=None.","Increase monitoring frequency, investigate the affected evidence and prepare a controlled retraining assessment.","{""current_count"": 0, ""current_mean"": null, ""health_score"": 70.0, ""ks_p_value"": null, ""ks_statistic"": null, ""notes"": ""The operational metric is unavailable in one or both datasets."", ""psi"": null, ""reference_count"": 0, ""reference_mean"": null, ""wasserstein_distance"": null}",2
