alert_id,run_id,generated_utc,category,alert_type,severity,resource_type,resource_id,metric_name,observed_value,threshold_value,message,recommended_action,evidence_json,severity_rank
0c5bd7795612ef7ad094,7d44f4360ad11644,2026-07-14T13:04:49.092284+00:00,Feature Drift,sensor_distribution_shift,Critical,sensor_feature,sensor_075,constant_sensor_change,,,"sensor_075 is classified as Critical for distribution drift (PSI=0.0000, KS=0.0008, standardised mean shift=0.0283, missing-rate difference=0.0032).","Escalate process and sensor review, compare with maintenance and recipe changes, and assess retraining immediately.","{""current_constant"": true, ""feature_health_score"": 94.75, ""ks_p_value"": 0.9625672272684133, ""ks_statistic"": 0.0008006405124099114, ""missing_rate_difference"": 0.0031770883637232427, ""notes"": ""Current sensor is constant. Sensor became constant in current data. Current missingness exceeds reference missingness."", ""psi"": 0.0, ""reference_constant"": false, ""standardised_mean_shift"": 0.02829559174871464}",3
95916b53b08a2f98beed,7d44f4360ad11644,2026-07-14T13:04:49.092284+00:00,Feature Drift,sensor_distribution_shift,Critical,sensor_feature,sensor_207,constant_sensor_change,,,"sensor_207 is classified as Critical for distribution drift (PSI=0.0000, KS=0.0008, standardised mean shift=0.0283, missing-rate difference=0.0032).","Escalate process and sensor review, compare with maintenance and recipe changes, and assess retraining immediately.","{""current_constant"": true, ""feature_health_score"": 94.75, ""ks_p_value"": 0.9625672272684133, ""ks_statistic"": 0.0008006405124099114, ""missing_rate_difference"": 0.0031770883637232427, ""notes"": ""Current sensor is constant. Sensor became constant in current data. Current missingness exceeds reference missingness."", ""psi"": 0.0, ""reference_constant"": false, ""standardised_mean_shift"": 0.028295591748714634}",3
92c706a2eb45239a3756,7d44f4360ad11644,2026-07-14T13:04:49.092284+00:00,Feature Drift,sensor_distribution_shift,Critical,sensor_feature,sensor_210,constant_sensor_change,,,"sensor_210 is classified as Critical for distribution drift (PSI=0.0000, KS=0.0008, standardised mean shift=0.0283, missing-rate difference=0.0032).","Escalate process and sensor review, compare with maintenance and recipe changes, and assess retraining immediately.","{""current_constant"": true, ""feature_health_score"": 94.75, ""ks_p_value"": 0.9625672272684133, ""ks_statistic"": 0.0008006405124099114, ""missing_rate_difference"": 0.0031770883637232427, ""notes"": ""Current sensor is constant. Sensor became constant in current data. Current missingness exceeds reference missingness."", ""psi"": 0.0, ""reference_constant"": false, ""standardised_mean_shift"": 0.028295591748714637}",3
66d718f149ebcae9c6bf,7d44f4360ad11644,2026-07-14T13:04:49.092284+00:00,Feature Drift,sensor_distribution_shift,Critical,sensor_feature,sensor_343,constant_sensor_change,,,"sensor_343 is classified as Critical for distribution drift (PSI=0.0000, KS=0.0008, standardised mean shift=0.0283, missing-rate difference=0.0032).","Escalate process and sensor review, compare with maintenance and recipe changes, and assess retraining immediately.","{""current_constant"": true, ""feature_health_score"": 94.75, ""ks_p_value"": 0.9625672272684133, ""ks_statistic"": 0.0008006405124099114, ""missing_rate_difference"": 0.0031770883637232427, ""notes"": ""Current sensor is constant. Sensor became constant in current data. Current missingness exceeds reference missingness."", ""psi"": 0.0, ""reference_constant"": false, ""standardised_mean_shift"": 0.02829559174871464}",3
9a2280e7e6037b4bf33c,7d44f4360ad11644,2026-07-14T13:04:49.092284+00:00,Feature Drift,sensor_distribution_shift,Critical,sensor_feature,sensor_348,constant_sensor_change,,,"sensor_348 is classified as Critical for distribution drift (PSI=0.0000, KS=0.0008, standardised mean shift=0.0283, missing-rate difference=0.0032).","Escalate process and sensor review, compare with maintenance and recipe changes, and assess retraining immediately.","{""current_constant"": true, ""feature_health_score"": 94.75, ""ks_p_value"": 0.9625672272684133, ""ks_statistic"": 0.0008006405124099114, ""missing_rate_difference"": 0.0031770883637232427, ""notes"": ""Current sensor is constant. Sensor became constant in current data. Current missingness exceeds reference missingness."", ""psi"": 0.0, ""reference_constant"": false, ""standardised_mean_shift"": 0.02829559174871464}",3
36f627b84d794924bb72,7d44f4360ad11644,2026-07-14T13:04:49.092284+00:00,Feature Drift,sensor_distribution_shift,Critical,sensor_feature,sensor_479,constant_sensor_change,,,"sensor_479 is classified as Critical for distribution drift (PSI=0.0000, KS=0.0008, standardised mean shift=0.0283, missing-rate difference=0.0032).","Escalate process and sensor review, compare with maintenance and recipe changes, and assess retraining immediately.","{""current_constant"": true, ""feature_health_score"": 94.75, ""ks_p_value"": 0.9625672272684133, ""ks_statistic"": 0.0008006405124099114, ""missing_rate_difference"": 0.0031770883637232427, ""notes"": ""Current sensor is constant. Sensor became constant in current data. Current missingness exceeds reference missingness."", ""psi"": 0.0, ""reference_constant"": false, ""standardised_mean_shift"": 0.02829559174871464}",3
a15de9b9e106dc0964f9,7d44f4360ad11644,2026-07-14T13:04:49.092284+00:00,Feature Drift,sensor_distribution_shift,Warning,sensor_feature,sensor_346,psi,0.2316685324003052,0.2,"sensor_346 is classified as Warning for distribution drift (PSI=0.2317, KS=0.0648, standardised mean shift=0.1319, missing-rate difference=0.0792).","Increase monitoring frequency, investigate the affected evidence and prepare a controlled retraining assessment.","{""current_constant"": false, ""feature_health_score"": 84.7, ""ks_p_value"": 0.722970758927712, ""ks_statistic"": 0.06484384070590965, ""missing_rate_difference"": 0.07924166713263964, ""notes"": ""Current missingness exceeds reference missingness."", ""psi"": 0.2316685324003052, ""reference_constant"": false, ""standardised_mean_shift"": 0.13192635696775287}",2
c3c5911f8c6fd36679ca,7d44f4360ad11644,2026-07-14T13:04:49.092284+00:00,Prediction Drift,operational_output_shift,Warning,model_output,combined_uncertainty,combined_uncertainty,,0.1,"Combined Uncertainty is classified as Warning; reference mean=None, current mean=None.","Increase monitoring frequency, investigate the affected evidence and prepare a controlled retraining assessment.","{""current_count"": 0, ""current_mean"": null, ""health_score"": 70.0, ""ks_p_value"": null, ""ks_statistic"": null, ""notes"": ""The operational metric is unavailable in one or both datasets."", ""psi"": null, ""reference_count"": 0, ""reference_mean"": null, ""wasserstein_distance"": null}",2
84f455b09b25cb07d774,7d44f4360ad11644,2026-07-14T13:04:49.092284+00:00,Prediction Drift,operational_output_shift,Warning,model_output,data_confidence,data_confidence,,0.1,"Data Confidence is classified as Warning; reference mean=None, current mean=None.","Increase monitoring frequency, investigate the affected evidence and prepare a controlled retraining assessment.","{""current_count"": 0, ""current_mean"": null, ""health_score"": 70.0, ""ks_p_value"": null, ""ks_statistic"": null, ""notes"": ""The operational metric is unavailable in one or both datasets."", ""psi"": null, ""reference_count"": 0, ""reference_mean"": null, ""wasserstein_distance"": null}",2
5b7197665fdb6f29d464,7d44f4360ad11644,2026-07-14T13:04:49.092284+00:00,Prediction Drift,operational_output_shift,Warning,model_output,failure_probability,failure_probability,,0.05,"Failure Probability is classified as Warning; reference mean=None, current mean=None.","Increase monitoring frequency, investigate the affected evidence and prepare a controlled retraining assessment.","{""current_count"": 0, ""current_mean"": null, ""health_score"": 70.0, ""ks_p_value"": null, ""ks_statistic"": null, ""notes"": ""The operational metric is unavailable in one or both datasets."", ""psi"": null, ""reference_count"": 0, ""reference_mean"": null, ""wasserstein_distance"": null}",2
2069b2ae6b7fedc7ae56,7d44f4360ad11644,2026-07-14T13:04:49.092284+00:00,Prediction Drift,operational_output_shift,Warning,model_output,prediction_confidence,prediction_confidence,,0.1,"Prediction Confidence is classified as Warning; reference mean=None, current mean=None.","Increase monitoring frequency, investigate the affected evidence and prepare a controlled retraining assessment.","{""current_count"": 0, ""current_mean"": null, ""health_score"": 70.0, ""ks_p_value"": null, ""ks_statistic"": null, ""notes"": ""The operational metric is unavailable in one or both datasets."", ""psi"": null, ""reference_count"": 0, ""reference_mean"": null, ""wasserstein_distance"": null}",2
a277ec36c5bc5dbd903a,7d44f4360ad11644,2026-07-14T13:04:49.092284+00:00,Feature Drift,sensor_distribution_shift,Watch,sensor_feature,sensor_073,missing_rate_difference,0.07924166713263964,0.03,"sensor_073 is classified as Watch for distribution drift (PSI=0.0582, KS=0.0929, standardised mean shift=0.1399, missing-rate difference=0.0792).",Continue deployment with enhanced monitoring and document the observed change for trend analysis.,"{""current_constant"": false, ""feature_health_score"": 97.3, ""ks_p_value"": 0.2781982096906008, ""ks_statistic"": 0.09287124114710321, ""missing_rate_difference"": 0.07924166713263964, ""notes"": ""Current missingness exceeds reference missingness."", ""psi"": 0.05821006793674173, ""reference_constant"": false, ""standardised_mean_shift"": 0.1399341261501251}",1
afe12587497170cc4752,7d44f4360ad11644,2026-07-14T13:04:49.092284+00:00,Feature Drift,sensor_distribution_shift,Watch,sensor_feature,sensor_074,missing_rate_difference,0.07924166713263964,0.03,"sensor_074 is classified as Watch for distribution drift (PSI=0.0382, KS=0.0516, standardised mean shift=0.1109, missing-rate difference=0.0792).",Continue deployment with enhanced monitoring and document the observed change for trend analysis.,"{""current_constant"": false, ""feature_health_score"": 97.3, ""ks_p_value"": 0.9213122594975869, ""ks_statistic"": 0.051608034366655064, ""missing_rate_difference"": 0.07924166713263964, ""notes"": ""Current missingness exceeds reference missingness."", ""psi"": 0.038244855195451344, ""reference_constant"": false, ""standardised_mean_shift"": 0.11085132959701763}",1
f7aa3d2fbaec4ba1784d,7d44f4360ad11644,2026-07-14T13:04:49.092284+00:00,Feature Drift,sensor_distribution_shift,Watch,sensor_feature,sensor_248,psi,0.11540179818773758,0.1,"sensor_248 is classified as Watch for distribution drift (PSI=0.1154, KS=0.0708, standardised mean shift=0.0150, missing-rate difference=0.0148).",Continue deployment with enhanced monitoring and document the observed change for trend analysis.,"{""current_constant"": false, ""feature_health_score"": 94.6, ""ks_p_value"": 0.49643861203595957, ""ks_statistic"": 0.07082477381004415, ""missing_rate_difference"": 0.014840815164624044, ""notes"": ""Current missingness exceeds reference missingness."", ""psi"": 0.11540179818773758, ""reference_constant"": false, ""standardised_mean_shift"": 0.015028176958334584}",1
15813944949572ca3ef5,7d44f4360ad11644,2026-07-14T13:04:49.092284+00:00,Feature Drift,sensor_distribution_shift,Watch,sensor_feature,sensor_347,missing_rate_difference,0.07924166713263964,0.03,"sensor_347 is classified as Watch for distribution drift (PSI=0.0400, KS=0.0563, standardised mean shift=0.1336, missing-rate difference=0.0792).",Continue deployment with enhanced monitoring and document the observed change for trend analysis.,"{""current_constant"": false, ""feature_health_score"": 97.3, ""ks_p_value"": 0.8614756365696852, ""ks_statistic"": 0.056345059793335706, ""missing_rate_difference"": 0.07924166713263964, ""notes"": ""Current missingness exceeds reference missingness."", ""psi"": 0.040035811999359884, ""reference_constant"": false, ""standardised_mean_shift"": 0.1336011698104827}",1
ba56db4555b7e6864627,7d44f4360ad11644,2026-07-14T13:04:49.092284+00:00,Feature Drift,sensor_distribution_shift,Watch,sensor_feature,sensor_349,psi,0.10333591810809342,0.1,"sensor_349 is classified as Watch for distribution drift (PSI=0.1033, KS=0.0909, standardised mean shift=0.1276, missing-rate difference=0.0032).",Continue deployment with enhanced monitoring and document the observed change for trend analysis.,"{""current_constant"": false, ""feature_health_score"": 94.6, ""ks_p_value"": 0.031204357834041203, ""ks_statistic"": 0.09090338278000157, ""missing_rate_difference"": 0.003222838436160856, ""notes"": ""No additional data-quality note."", ""psi"": 0.10333591810809342, ""reference_constant"": false, ""standardised_mean_shift"": 0.12761213744712416}",1
e42eebe56655f5067e18,7d44f4360ad11644,2026-07-14T13:04:49.092284+00:00,Feature Drift,sensor_distribution_shift,Watch,sensor_feature,sensor_386,psi,0.10158112067004396,0.1,"sensor_386 is classified as Watch for distribution drift (PSI=0.1016, KS=0.0503, standardised mean shift=0.0046, missing-rate difference=0.0148).",Continue deployment with enhanced monitoring and document the observed change for trend analysis.,"{""current_constant"": false, ""feature_health_score"": 94.6, ""ks_p_value"": 0.878062914512659, ""ks_statistic"": 0.050299401197604815, ""missing_rate_difference"": 0.014840815164624044, ""notes"": ""Current missingness exceeds reference missingness."", ""psi"": 0.10158112067004396, ""reference_constant"": false, ""standardised_mean_shift"": 0.00455317702933112}",1
292290419fc43bc40ac7,7d44f4360ad11644,2026-07-14T13:04:49.092284+00:00,Feature Drift,sensor_distribution_shift,Watch,sensor_feature,sensor_520,psi,0.102664063858982,0.1,"sensor_520 is classified as Watch for distribution drift (PSI=0.1027, KS=0.0685, standardised mean shift=0.0242, missing-rate difference=0.0148).",Continue deployment with enhanced monitoring and document the observed change for trend analysis.,"{""current_constant"": false, ""feature_health_score"": 94.6, ""ks_p_value"": 0.5402550744050274, ""ks_statistic"": 0.06848201407404164, ""missing_rate_difference"": 0.014840815164624044, ""notes"": ""Current missingness exceeds reference missingness."", ""psi"": 0.102664063858982, ""reference_constant"": false, ""standardised_mean_shift"": 0.02420618001754791}",1
5c25bf8e3e5aa479707c,7d44f4360ad11644,2026-07-14T13:04:49.092284+00:00,Feature Drift,sensor_distribution_shift,Watch,sensor_feature,sensor_547,missing_rate_difference,0.031465883154315005,0.03,"sensor_547 is classified as Watch for distribution drift (PSI=0.0097, KS=0.0420, standardised mean shift=0.0876, missing-rate difference=0.0315).",Continue deployment with enhanced monitoring and document the observed change for trend analysis.,"{""current_constant"": false, ""feature_health_score"": 97.3, ""ks_p_value"": 0.8565368250901959, ""ks_statistic"": 0.04197231756286876, ""missing_rate_difference"": 0.031465883154315005, ""notes"": ""Current missingness exceeds reference missingness."", ""psi"": 0.009670829980809202, ""reference_constant"": false, ""standardised_mean_shift"": 0.0875824106100907}",1
