sensor,missing_rate,outlier_rate,relative_variability,stability_score,completeness_score,outlier_score,sensor_reliability_score
sensor_120,0.0,0.0023942537909018356,0.009641725109988864,0.9904503499903011,1.0,0.9976057462090981,0.9970140240498498
sensor_056,0.0023942537909018356,0.004,0.008976981078119914,0.9911028881268156,0.9976057462090981,0.996,0.995578595136253
sensor_583,0.0007980845969672786,0.010383386581469648,0.006898378713581439,0.993148882886876,0.9992019154030327,0.9896166134185304,0.9952923317778679
sensor_051,0.0007980845969672786,0.003993610223642172,0.01362040193261145,0.9865626205760636,0.9992019154030327,0.9960063897763578,0.9952432102896217
sensor_088,0.0,0.00558659217877095,0.013819841003723698,0.9863685435569681,1.0,0.994413407821229,0.9951954878445493
sensor_044,0.0007980845969672786,0.001597444089456869,0.017296940715269042,0.9829971564614091,0.9992019154030327,0.9984025559105432,0.9949508857945044
sensor_058,0.0023942537909018356,0.0112,0.004444366487412167,0.9955752985076175,0.9976057462090981,0.9888,0.9948966977314534
sensor_047,0.0007980845969672786,0.003993610223642172,0.016571087642591468,0.9836990370432238,0.9992019154030327,0.9960063897763578,0.9945273144064117
sensor_012,0.0015961691939345571,0.005595523581135092,0.013637045905737265,0.9865464211664128,0.9984038308060654,0.9944044764188649,0.994439639799352
sensor_057,0.0023942537909018356,0.0112,0.007178507279704517,0.9928726564081545,0.9976057462090981,0.9888,0.9942210372065876
sensor_132,0.007182761372705506,0.008038585209003215,0.0022138344432090546,0.9977910557935583,0.9928172386272945,0.9919614147909968,0.9938467369597861
sensor_061,0.0031923383878691143,0.0032025620496397116,0.016804189791585912,0.9834735242436106,0.9968076616121309,0.9967974379503602,0.9934715713545581
sensor_071,0.0031923383878691143,0.004803843074459567,0.015538997763920767,0.9846987680452098,0.9968076616121309,0.9951961569255404,0.993377562048753
sensor_019,0.0023942537909018356,0.008,0.01481683680613031,0.9853994964719324,0.9976057462090981,0.992,0.9931527472225321
sensor_067,0.0031923383878691143,0.004803843074459567,0.016504349987716115,0.9837636208955568,0.9968076616121309,0.9951961569255404,0.9931437752613398
sensor_013,0.0015961691939345571,0.007993605115907274,0.01703159082614555,0.983253626554205,0.9984038308060654,0.9920063948840927,0.9930169207626071
sensor_059,0.0023942537909018356,0.0064,0.01838779916295611,0.9819442071300641,0.9976057462090981,0.9936,0.9926889248870651
sensor_021,0.0,0.018355945730247406,0.012241875284447343,0.9879061758030834,1.0,0.9816440542697525,0.992387557518209
sensor_018,0.0023942537909018356,0.0128,0.013430541672439905,0.9867474472890113,0.9976057462090981,0.9872,0.992289734926802
sensor_087,0.0,0.01596169193934557,0.015709030766926174,0.984533926261279,1.0,0.9840383080606544,0.9921430585804834
sensor_122,0.007182761372705506,0.012861736334405145,0.006133905131640489,0.9939034902806124,0.9928172386272945,0.9871382636655949,0.9916690578001991
sensor_125,0.007182761372705506,0.012057877813504822,0.007035791364603046,0.9930133651406082,0.9928172386272945,0.9879421221864951,0.9916474911454232
sensor_543,0.0015961691939345571,0.007194244604316547,0.024285639264542334,0.9762901691348715,0.9984038308060654,0.9928057553956835,0.9914758965356715
sensor_133,0.006384676775738229,0.0,0.02285581141603421,0.9776549038868022,0.9936153232242618,1.0,0.9912213875838314
sensor_114,0.0,0.0223463687150838,0.013018323923843403,0.9871489748838717,1.0,0.9776536312849162,0.9912006515421969
sensor_134,0.006384676775738229,0.016867469879518072,0.006360239786149638,0.9936799572015074,0.9936153232242618,0.983132530120482,0.9910107834426283
sensor_049,0.0007980845969672786,0.003993610223642172,0.03276194148260641,0.9682773539896579,0.9992019154030327,0.9960063897763578,0.9906718936430203
sensor_055,0.0023942537909018356,0.0224,0.011557303870453756,0.9885747413159564,0.9976057462090981,0.9776,0.9903465584335381
sensor_033,0.0,0.01675977653631285,0.02293673249207006,0.977577564903558,1.0,0.9832402234636871,0.9902044470918112
sensor_045,0.0007980845969672786,0.02156549520766773,0.017517466997160062,0.9827841117569641,0.9992019154030327,0.9784345047923323,0.9899056118388405
sensor_054,0.0023942537909018356,0.0256,0.011163251559466852,0.988959990840005,0.9976057462090981,0.9744,0.9896428708145504
sensor_124,0.007182761372705506,0.02090032154340836,0.006645031227349322,0.9933988337286606,0.9928172386272945,0.9790996784565916,0.9895332473599603
sensor_016,0.0023942537909018356,0.0032,0.0351197176807162,0.9660718300686947,0.9976057462090981,0.9968,0.9895208306217227
sensor_069,0.0031923383878691143,0.014411529223378704,0.029394111054588806,0.9714452309966343,0.9968076616121309,0.9855884707766213,0.9876622562493793
sensor_121,0.0,0.03192338387869114,0.018821973477498793,0.9815257483962044,1.0,0.9680766161213089,0.9874005911293784
sensor_089,0.0,0.02314445331205108,0.02964386700383064,0.9712095920212767,1.0,0.9768555466879489,0.9870162846773063
sensor_035,0.0,0.028731045490822026,0.023777568149244862,0.9767746736312759,1.0,0.9712689545091779,0.9870109070351134
sensor_037,0.0,0.028731045490822026,0.024339066110338516,0.9762392483938354,1.0,0.9712689545091779,0.9868770507257533
sensor_003,0.010375099760574621,0.01935483870967742,0.01338340366057191,0.9867933463166773,0.9896249002394254,0.9806451612903225,0.9866720770214626
sensor_029,0.0007980845969672786,0.005591054313099041,0.04963588836463161,0.952711326932651,0.9992019154030327,0.994408945686901,0.9863810258564044
sensor_009,0.0015961691939345571,0.003996802557953637,0.05035360007023266,0.9520603346655204,0.9984038308060654,0.9960031974420464,0.9862177984299244
sensor_001,0.0039904229848363925,0.027243589743589744,0.0242283144054601,0.9763448109521128,0.9960095770151636,0.9727564102564102,0.9852800938097125
