feature,wafers_ranked,average_investigation_rank,average_priority_score,priority_1_count,actual_failure_wafers,positive_shap_rate,mean_absolute_robust_z,missing_measurement_rate
sensor_104,310,2.1225806451612903,0.7284274193548387,128,21,0.2806451612903226,0.6406810035842296,0.0
sensor_060,255,2.996078431372549,0.682843137254902,57,18,0.21568627450980393,0.9210261548407407,0.00784313725490196
sensor_034,135,3.140740740740741,0.6608333333333334,34,9,0.4444444444444444,1.8060217937454695,0.0
sensor_478,169,3.5502958579881656,0.635576923076923,25,14,0.24260355029585798,1.0409204558669614,0.005917159763313609
sensor_424,54,3.9074074074074074,0.6171296296296297,16,3,0.7407407407407407,1.6140532094702922,0.0
sensor_511,168,4.5773809523809526,0.6076636904761905,11,10,0.30357142857142855,1.005213204571352,0.0
sensor_153,37,2.3783783783783785,0.6976351351351351,9,7,1.0,2.7330541725446196,0.0
sensor_065,52,4.75,0.5980769230769231,7,4,0.7115384615384616,1.431789948217052,0.0
sensor_206,153,4.758169934640523,0.5987745098039216,5,11,0.3202614379084967,1.1258470142212618,0.0
sensor_342,90,5.2555555555555555,0.5798611111111112,5,7,0.5222222222222223,1.56284751536774,0.011111111111111112
sensor_214,66,4.5606060606060606,0.5662878787878788,3,7,0.06060606060606061,1.4148084619782733,0.0
sensor_015,58,4.913793103448276,0.5599137931034484,3,4,0.5517241379310345,1.073080172344848,0.0
sensor_317,92,5.782608695652174,0.5177989130434782,3,3,0.15217391304347827,1.176889638336526,0.0
sensor_082,20,5.25,0.5549999999999999,1,0,0.95,2.022448979591837,0.0
sensor_032,54,5.351851851851852,0.5416666666666666,1,3,0.0,7.474710136481444,0.0
sensor_432,71,5.535211267605634,0.5390845070422535,1,6,0.1267605633802817,1.9987198867272074,0.0
sensor_282,52,5.788461538461538,0.525,1,6,0.09615384615384616,1.5486906710310964,0.0
sensor_181,51,6.352941176470588,0.5080882352941177,1,2,0.1568627450980392,1.356475842468534,0.0
sensor_520,85,6.788235294117647,0.4786764705882353,1,6,0.24705882352941178,1.3695758603346018,0.0
sensor_386,37,6.837837837837838,0.47229729729729736,1,4,0.6216216216216216,2.1613175675675675,0.0
sensor_125,33,8.242424242424242,0.38636363636363635,1,1,0.18181818181818182,1.099567099567106,0.0
sensor_512,10,5.7,0.5662499999999999,0,1,1.0,1.5432187270699178,0.0
sensor_421,1,6.0,0.5625,0,0,1.0,3.175952955112746,0.0
sensor_472,1,4.0,0.5625,0,0,1.0,5.245183125831017,0.0
sensor_434,8,5.25,0.553125,0,1,1.0,2.4039105314935085,0.0
sensor_001,5,5.2,0.535,0,0,1.0,1.6574314255753546,0.0
sensor_066,20,5.75,0.53125,0,3,1.0,2.9165178153089832,0.0
sensor_589,2,4.5,0.53125,0,0,1.0,2.2666666666666666,0.0
sensor_017,3,6.666666666666667,0.5291666666666667,0,0,1.0,3.1319989940679656,0.0
sensor_349,3,5.666666666666667,0.525,0,0,1.0,5.519298245614036,0.0
sensor_103,17,5.882352941176471,0.524264705882353,0,1,0.8823529411764706,1.2651978609625671,0.0
sensor_288,8,5.625,0.5234375,0,1,1.0,2.3780378037803773,0.0
sensor_563,4,5.75,0.515625,0,1,1.0,3.519274583067506,0.0
sensor_426,9,6.222222222222222,0.5138888888888888,0,1,1.0,2.109704171800273,0.0
sensor_130,51,6.549019607843137,0.5125,0,1,0.13725490196078433,2.7087705518259884,0.0
sensor_133,12,6.5,0.5114583333333333,0,2,1.0,1.283333333333331,0.0
sensor_542,2,7.5,0.5062500000000001,0,0,1.0,1.2725653371927965,0.0
sensor_489,30,6.866666666666666,0.5033333333333333,0,1,1.0,0.9662456180842903,0.0
sensor_352,69,6.913043478260869,0.496195652173913,0,6,0.0,0.8755681330932167,0.0
sensor_011,1,8.0,0.48750000000000004,0,0,1.0,1.4424778761061947,0.0
sensor_576,1,7.0,0.4875,0,0,1.0,0.9739583333333333,0.0
sensor_126,74,6.783783783783784,0.4839527027027027,0,4,0.04054054054054054,1.154885083102905,0.0
sensor_064,24,6.583333333333333,0.48333333333333334,0,2,1.0,1.9232621956693174,0.0
sensor_124,1,6.0,0.47500000000000003,0,0,1.0,2.076923076923075,0.0
sensor_476,14,6.928571428571429,0.46785714285714286,0,2,1.0,1.7856566959606541,0.0
sensor_131,53,7.584905660377358,0.4634433962264151,0,1,0.03773584905660377,1.1021639989269427,0.0
sensor_406,7,7.571428571428571,0.46071428571428574,0,0,1.0,0.8730158730158732,0.0
sensor_068,4,8.0,0.45937500000000003,0,0,1.0,2.693201376936318,0.0
sensor_056,8,8.0,0.45625,0,0,1.0,0.8453947368421053,0.0
sensor_147,19,7.7894736842105265,0.45592105263157895,0,1,0.0,3.0118039161227617,0.0
sensor_039,1,6.0,0.45,0,0,1.0,1.6555977229601775,0.0
