decision,feature,records,mean_priority_score,mean_rank,priority_1_count,mean_positive_shap,mean_absolute_robust_z,rank_within_decision
Engineering Review,sensor_104,132,0.7133522727272726,2.303030303030303,51,0.002553626607037092,0.5191498316498319,1.0
Engineering Review,sensor_153,17,0.700735294117647,2.235294117647059,3,0.006149103769543641,2.3158826935522336,2.0
Engineering Review,sensor_034,55,0.675,3.0,16,0.002715524625668718,1.7253244050996834,3.0
Engineering Review,sensor_424,27,0.6680555555555556,3.037037037037037,10,0.006073293695157871,1.7733026806738765,4.0
Engineering Review,sensor_060,105,0.655952380952381,3.323809523809524,16,0.0011866893001745544,0.6394382340548038,5.0
Engineering Review,sensor_478,70,0.6414285714285715,3.2857142857142856,13,0.0018240286863757615,0.8078757773606013,6.0
Engineering Review,sensor_015,25,0.6135,4.12,2,0.003984072161762048,1.037175228599611,7.0
Engineering Review,sensor_065,20,0.6056250000000001,4.8,4,0.00463397695233638,0.9657398671772383,8.0
Engineering Review,sensor_342,33,0.6007575757575757,4.696969696969697,3,0.003975216487589154,1.1943684987901069,9.0
Engineering Review,sensor_206,74,0.5988175675675675,4.635135135135135,3,0.0020915890314244998,0.8279775838830958,10.0
Engineering Review,sensor_511,67,0.5886194029850746,4.955223880597015,4,0.0018485894838678135,0.743180607671532,11.0
Engineering Review,sensor_066,2,0.5874999999999999,4.5,0,0.00843877546906105,4.0029914437500445,12.0
Engineering Review,sensor_032,20,0.57875,4.7,1,0.0,7.467825565712563,13.0
Engineering Review,sensor_512,3,0.5666666666666667,5.333333333333333,0,0.004546268093075367,1.539973709614661,14.0
Engineering Review,sensor_421,1,0.5625,6.0,0,0.0063291844290285,3.175952955112746,15.0
Engineering Review,sensor_472,1,0.5625,4.0,0,0.004315301441426,5.245183125831017,16.0
Engineering Review,sensor_103,7,0.5589285714285714,4.857142857142857,0,0.004573432158791258,1.1661298701298703,17.0
Engineering Review,sensor_017,2,0.55,6.0,0,0.006717302488442449,3.4120623086140394,18.0
Engineering Review,sensor_282,23,0.55,5.434782608695652,1,0.00043557850689330874,1.7594819611470858,19.0
Engineering Review,sensor_432,31,0.5467741935483871,5.225806451612903,1,0.0003099549073124968,1.0432904016716986,20.0
Engineering Review,sensor_214,23,0.5467391304347826,5.130434782608695,0,0.0005779271895108391,2.323567326848705,21.0
Engineering Review,sensor_434,2,0.54375,5.5,0,0.004967464571478,2.2687073225066197,22.0
Engineering Review,sensor_563,2,0.54375,5.5,0,0.00536833332120615,3.2098787934019644,23.0
Engineering Review,sensor_064,7,0.5410714285714285,5.285714285714286,0,0.005848825327251615,1.6862485136495657,24.0
Engineering Review,sensor_082,9,0.5402777777777777,6.0,1,0.0050832379642682555,1.9879062736205593,25.0
Engineering Review,sensor_349,2,0.5375000000000001,6.0,0,0.00491277797549785,7.03684210526316,26.0
Engineering Review,sensor_036,1,0.5375,7.0,0,0.0,44.52654867256615,27.0
Engineering Review,sensor_317,49,0.536734693877551,5.612244897959184,3,0.000985863534137498,1.1014267003599798,28.0
Engineering Review,sensor_001,5,0.535,5.2,0,0.005584727911804139,1.6574314255753546,29.0
Engineering Review,sensor_130,22,0.5164772727272727,6.5,0,0.0007600268145297181,2.539332928702843,30.0
High Risk,sensor_104,72,0.8005208333333333,1.8611111111111112,38,0.010455013720985106,1.0821759259259263,1.0
High Risk,sensor_060,65,0.7651923076923076,2.6153846153846154,24,0.006883527323699072,1.8684388435385124,2.0
High Risk,sensor_511,40,0.6490625,4.225,0,0.005929381760954582,1.9404580619804928,3.0
High Risk,sensor_153,11,0.6477272727272727,3.272727272727273,1,0.0056061134968885635,3.1414584257664755,4.0
High Risk,sensor_065,21,0.6321428571428571,4.190476190476191,2,0.009954514151491971,2.139542299706569,5.0
High Risk,sensor_478,48,0.6286458333333333,4.020833333333333,4,0.0037211892486044874,1.2124616172588105,6.0
High Risk,sensor_034,31,0.6270161290322581,4.0,2,0.004047333925553081,2.0387351831715703,7.0
High Risk,sensor_206,37,0.5976351351351351,4.891891891891892,0,0.0040853889803309324,1.393062353692275,8.0
High Risk,sensor_512,1,0.5750000000000001,7.0,0,0.0043497446140113,1.440338868525598,9.0
High Risk,sensor_288,2,0.575,4.0,0,0.0050300646752987,2.4848484848484844,10.0
High Risk,sensor_342,33,0.5507575757575758,6.0,0,0.005043928816029067,1.4500212124069007,11.0
High Risk,sensor_520,20,0.545,5.25,0,0.0038688530158123855,3.000761854628747,12.0
High Risk,sensor_066,14,0.5401785714285714,5.928571428571429,0,0.007687526115470135,2.433172382332255,13.0
High Risk,sensor_147,4,0.53125,6.5,0,0.0,3.4643799472295522,14.0
High Risk,sensor_082,3,0.5291666666666667,6.0,0,0.005994577041815133,1.6485260770975056,15.0
High Risk,sensor_426,3,0.5291666666666667,5.666666666666667,0,0.005495860479940033,1.856963819668005,16.0
High Risk,sensor_424,13,0.5192307692307693,5.153846153846154,1,0.005192331548459215,1.3441066096521708,17.0
High Risk,sensor_432,15,0.5166666666666667,5.6,0,0.0010313243591067065,2.12420163438596,18.0
High Risk,sensor_103,5,0.515,6.0,0,0.00467725348508288,1.3131636363636363,19.0
High Risk,sensor_130,4,0.5125,6.75,0,0.00130223922661415,2.293083663676194,20.0
High Risk,sensor_214,7,0.5017857142857143,6.142857142857143,0,0.0006164179060034999,0.9792067770504429,21.0
High Risk,sensor_349,1,0.5,5.0,0,0.0051717106034398,2.48421052631579,22.0
High Risk,sensor_133,5,0.49749999999999994,6.8,0,0.00613006439912096,1.4041975308641943,23.0
High Risk,sensor_015,18,0.49236111111111114,5.722222222222222,0,0.0036151716431256334,1.1475818944961333,24.0
High Risk,sensor_434,2,0.48750000000000004,7.0,0,0.0050819655139939,2.4417355005633317,25.0
High Risk,sensor_563,2,0.48750000000000004,6.0,0,0.0075181045494455995,3.8286703727330478,26.0
High Risk,sensor_017,1,0.4875,8.0,0,0.0058016026396531,2.5718723649758184,27.0
High Risk,sensor_282,14,0.47946428571428573,6.142857142857143,0,0.0011290640454506857,1.121580547112462,28.0
High Risk,sensor_124,1,0.47500000000000003,6.0,0,0.0061323515065946,2.076923076923075,29.0
High Risk,sensor_386,14,0.4714285714285714,6.428571428571429,0,0.0052562467021861,2.7154017857142856,30.0
Insufficient Evidence,sensor_060,6,0.8062499999999999,2.0,2,0.01037373975107435,1.824370360212842,1.0
Insufficient Evidence,sensor_104,7,0.7374999999999999,2.4285714285714284,3,0.007275126515781429,0.7500000000000002,2.0
Insufficient Evidence,sensor_432,3,0.6541666666666667,3.3333333333333335,0,0.0050331272051140664,18.314018527590317,3.0
Insufficient Evidence,sensor_511,5,0.6525000000000001,4.0,0,0.00604284867026222,1.473856008605145,4.0
Insufficient Evidence,sensor_206,4,0.6312500000000001,5.0,0,0.004139808055666175,7.8011811023622055,5.0
Insufficient Evidence,sensor_034,1,0.625,4.0,0,0.0044994250306177,0.8961714523512259,6.0
Insufficient Evidence,sensor_153,1,0.625,3.0,0,0.0054975292507387,5.184878815452065,7.0
Insufficient Evidence,sensor_478,6,0.61875,4.5,2,0.00433719428149345,4.862645527257691,8.0
Insufficient Evidence,sensor_520,1,0.6125,5.0,0,0.005105666193748,7.0113958087325186,9.0
Insufficient Evidence,sensor_434,1,0.6,5.0,0,0.0045719937055669,2.6454082294660193,10.0
Insufficient Evidence,sensor_342,4,0.5875,5.25,0,0.003837154566238125,8.353304421608371,11.0
Insufficient Evidence,sensor_065,3,0.49583333333333335,5.666666666666667,0,0.007954931265657566,1.6586196052315134,12.0
Insufficient Evidence,sensor_015,4,0.49374999999999997,6.25,0,0.0035758922985144,1.2080722987923544,13.0
Insufficient Evidence,sensor_386,1,0.48750000000000004,7.0,0,0.0079690203293615,4.3125,14.0
Insufficient Evidence,sensor_214,2,0.48125,7.0,0,0.0,0.8571428571428571,15.0
Insufficient Evidence,sensor_352,2,0.4375,8.5,0,0.0,0.8668639053254439,16.0
Insufficient Evidence,sensor_066,3,0.42083333333333334,6.666666666666667,0,0.006842912908873067,4.737387280237009,17.0
Insufficient Evidence,sensor_181,1,0.4,8.0,0,0.0052418260234718,1.0219244823386113,18.0
Insufficient Evidence,sensor_317,2,0.4,8.5,0,0.00297780826653525,1.244603572093793,19.0
Insufficient Evidence,sensor_476,1,0.4,7.0,0,0.0064206172380016,11.852132548576954,20.0
Insufficient Evidence,sensor_064,1,0.39999999999999997,9.0,0,0.0055957069887423,1.9554695624432916,21.0
Insufficient Evidence,sensor_122,1,0.36250000000000004,9.0,0,0.0,0.9230769230769241,22.0
Insufficient Evidence,sensor_282,1,0.36250000000000004,7.0,0,0.0,2.2127659574468077,23.0
Insufficient Evidence,sensor_208,1,0.3375,9.0,0,0.0,1.8559602649006626,24.0
Insufficient Evidence,sensor_480,1,0.33749999999999997,10.0,0,0.0,1.8268380875853756,25.0
Insufficient Evidence,sensor_470,2,0.33125,8.0,0,0.0,1.5376999567661043,26.0
Insufficient Evidence,sensor_447,1,0.3125,9.0,0,0.0,1.126905829596412,27.0
Insufficient Evidence,sensor_548,1,0.28750000000000003,10.0,0,0.0,0.5643972885352171,28.0
Insufficient Evidence,sensor_201,1,0.26249999999999996,10.0,0,0.0,0.6362484157160958,29.0
Insufficient Evidence,sensor_461,1,0.13749999999999998,10.0,0,0.0,0.9047883262121986,30.0
Low Risk,sensor_153,8,0.7687499999999999,1.375,5,0.00606132455725175,2.7515096368599563,1.0
Low Risk,sensor_104,99,0.6954545454545454,2.0505050505050506,36,0.0004826990487368414,0.4739057239057241,2.0
Low Risk,sensor_034,48,0.6671874999999999,2.7291666666666665,16,0.0011170573159395938,1.7671487030101227,3.0
Low Risk,sensor_060,79,0.6414556962025316,2.949367088607595,15,0.0,0.4532345442462968,4.0
Low Risk,sensor_478,45,0.6361111111111111,3.3333333333333335,6,0.001037530970733509,0.7147058443488262,5.0
Low Risk,sensor_066,1,0.625,3.0,0,0.0085829620469919,2.047798225316985,6.0
Low Risk,sensor_424,14,0.6098214285714285,4.428571428571429,5,0.0046502416070057645,1.5575939291230647,7.0
Low Risk,sensor_214,34,0.5977941176470588,3.7058823529411766,3,0.0,0.9225463770413826,8.0
Low Risk,sensor_511,56,0.5968749999999999,4.428571428571429,7,0.0008719623084227981,0.6088413416383759,9.0
Low Risk,sensor_206,38,0.5963815789473684,4.842105263157895,2,0.0014141912455738264,0.7430584334852881,10.0
Low Risk,sensor_342,20,0.591875,4.95,2,0.00257785202057352,0.9932685962100498,11.0
Low Risk,sensor_133,1,0.5875,5.0,0,0.0062886284165764,1.0827160493827153,12.0
Low Risk,sensor_434,3,0.5875,4.0,0,0.0055227482070392,2.3883301254473825,13.0
Low Risk,sensor_082,8,0.58125,4.125,0,0.005105829890920862,2.2015306122448983,14.0
Low Risk,sensor_015,11,0.5727272727272728,4.909090909090909,1,0.0022190830277247636,0.983682362264645,15.0
Low Risk,sensor_512,6,0.5645833333333333,5.666666666666667,0,0.0057858923843642,1.5619878788882662,16.0
Low Risk,sensor_476,2,0.5625,6.0,0,0.0050149923600986,0.9315085060066113,17.0
Low Risk,sensor_317,26,0.5576923076923077,4.8076923076923075,0,0.0,1.4386887145843246,18.0
Low Risk,sensor_032,22,0.5539772727272727,5.045454545454546,0,0.0,7.5247060746835865,19.0
Low Risk,sensor_589,1,0.55,4.0,0,0.004853412825752,2.2666666666666666,20.0
Low Risk,sensor_282,14,0.5410714285714285,5.928571428571429,0,0.0,1.5820668693009117,21.0
Low Risk,sensor_181,25,0.5355,5.72,1,0.000185775732663952,1.4120828258221676,22.0
Low Risk,sensor_065,8,0.528125,5.75,1,0.001709026949785575,0.6540041067761807,23.0
Low Risk,sensor_432,22,0.5278409090909091,6.2272727272727275,0,0.0001982969406757909,1.034637700329487,24.0
Low Risk,sensor_056,1,0.525,7.0,0,0.0060054778017837,1.105263157894737,25.0
Low Risk,sensor_064,5,0.525,6.4,0,0.0053972288461533,1.2412623310117958,26.0
Low Risk,sensor_352,37,0.522635135135135,6.5675675675675675,0,0.0,0.9005277466815929,27.0
Low Risk,sensor_288,1,0.5125000000000001,7.0,0,0.004865293170634,2.046804680468046,28.0
Low Risk,sensor_130,25,0.509,6.56,0,0.000616794045438372,2.9243855622783226,29.0
Low Risk,sensor_378,2,0.50625,5.5,0,0.0,1.7999999999999998,30.0
