feature,failure_wafers,mean_priority_score,mean_investigation_rank,priority_1_failure_count,mean_positive_shap,mean_absolute_robust_z
sensor_060,18,0.8090277777777778,1.7777777777777777,10,0.00959759233341379,2.018492377820619
sensor_104,21,0.7113095238095238,2.9047619047619047,6,0.005343645830517748,0.6230158730158732
sensor_478,14,0.6535714285714286,3.4285714285714284,2,0.004559259743735221,1.2598502594432355
sensor_153,7,0.6678571428571428,2.7142857142857144,1,0.006310886778070786,4.029684601113174
sensor_065,4,0.54375,5.5,1,0.009671318521234125,1.8380829494792517
sensor_424,3,0.6208333333333332,3.3333333333333335,1,0.0065862660838498,2.0756024153234423
sensor_206,11,0.6113636363636363,4.545454545454546,0,0.004546873204105936,1.4373657838224767
sensor_511,10,0.5962500000000001,5.3,0,0.004527628463790749,1.3275288820550295
sensor_034,9,0.6680555555555556,3.3333333333333335,0,0.0035019664513620003,7.455402968511572
sensor_342,7,0.5642857142857143,6.428571428571429,0,0.007905478615037514,2.07112553704427
sensor_214,7,0.5035714285714287,5.714285714285714,0,0.0012812289424013715,1.078937235271467
sensor_520,6,0.5499999999999999,5.0,0,0.003483155365476233,2.696282490859167
sensor_432,6,0.5479166666666667,5.333333333333333,0,0.0018067010113250164,6.058008596814905
sensor_282,6,0.46249999999999997,5.833333333333333,0,0.0,1.4503546099290778
sensor_352,6,0.4479166666666667,7.333333333333333,0,0.0,0.8698224852071005
sensor_201,5,0.3325,8.8,0,0.0,0.7947613012251791
sensor_386,4,0.51875,6.0,0,0.0067254922368518745,2.8203125
sensor_015,4,0.4375,7.25,0,0.002732798655768825,0.8833208925381889
sensor_126,4,0.340625,9.0,0,0.0,0.8828382838283829
sensor_317,3,0.43333333333333335,7.333333333333333,0,0.0,1.1322806073525253
sensor_032,3,0.4208333333333334,7.666666666666667,0,0.0,7.456416404415794
sensor_066,3,0.4208333333333334,7.333333333333333,0,0.007680461722800066,1.8952081636379798
sensor_389,3,0.3458333333333334,9.333333333333334,0,0.0,1.0746205259779467
sensor_548,3,0.28750000000000003,9.666666666666666,0,0.0,0.6520286865114479
sensor_133,2,0.54375,4.5,0,0.0063853103452458995,1.3160493827160449
sensor_476,2,0.44999999999999996,7.0,0,0.00562746651725905,0.8773280657905345
sensor_578,2,0.44375,7.0,0,0.0,1.857179203733923
sensor_181,2,0.43750000000000006,7.0,0,0.00229115338712195,1.0267965895249695
sensor_064,2,0.42500000000000004,7.5,0,0.00661408546477835,2.857322787668368
sensor_029,2,0.3875,9.5,0,0.0,1.1577207074546436
sensor_271,2,0.38749999999999996,8.0,0,0.0,0.9586027612722824
sensor_248,2,0.33125000000000004,9.5,0,0.0,0.29420731707317077
sensor_125,1,0.5875,4.0,0,0.0071667141736111,2.071428571428596
sensor_489,1,0.5750000000000001,6.0,0,0.0052817125831524,0.994290981736742
sensor_512,1,0.5750000000000001,7.0,0,0.0043497446140113,1.440338868525598
sensor_434,1,0.5375000000000001,5.0,0,0.0051583342729248,2.414314731863761
sensor_563,1,0.5125000000000001,6.0,0,0.0060156045291341,3.253440262462386
sensor_147,1,0.5,8.0,0,0.0,2.9868073878627976
sensor_453,1,0.45,9.0,0,0.0,1.2584835976537037
sensor_130,1,0.43750000000000006,7.0,0,0.0,2.7123930732317962
sensor_184,1,0.4375,8.0,0,0.0,1.0481051963021335
sensor_131,1,0.4125,8.0,0,0.0052113538572935,0.6698262243285936
sensor_036,1,0.4,9.0,0,0.0,33.319532237673656
sensor_182,1,0.4,10.0,0,0.0,1.4971796937953266
sensor_378,1,0.4,6.0,0,0.0,1.7999999999999994
sensor_426,1,0.3875,9.0,0,0.0053233139494183,1.7487858193235566
sensor_574,1,0.3625,7.0,0,0.0051160354404245,1.2983808789514264
sensor_079,1,0.35,9.0,0,0.0,1.6308943089430894
sensor_296,1,0.35,10.0,0,0.0,0.7008053821727148
sensor_103,1,0.3375,10.0,0,0.0046178493867569,0.8683636363636366
sensor_564,1,0.3375,10.0,0,0.0,1.0165745856353587
sensor_253,1,0.32500000000000007,9.0,0,0.0,0.9366883116883117
sensor_308,1,0.32499999999999996,10.0,0,0.0,1.4752747252747245
sensor_123,1,0.2875,10.0,0,0.0,1.1443983402489626
sensor_288,1,0.2875,10.0,0,0.0051034314225953,1.5799579957995797
sensor_022,1,0.2625,10.0,0,0.0,1.4632025220132623
sensor_310,1,0.2375,10.0,0,0.0,1.1181318681318677
sensor_470,1,0.2125,10.0,0,0.0,0.6969303934284478
sensor_444,1,0.11249999999999999,10.0,0,0.0,0.8010554089709759
