wafer_id,target,status,decision,calibrated_failure_probability,prediction_confidence,combined_uncertainty,data_familiarity,historical_weighted_failure_rate,priority_1_sensor,priority_1_score,priority_1_level,top_5_sensors,very_high_or_high_sensor_count,missing_priority_sensor_count,inspection_summary
WF-000002,0,Pass,Engineering Review,0.0622417162205708,0.2844558465860414,0.7155441534139586,0.26097366320830007,0.0,sensor_104,0.875,Very High,"sensor_104, sensor_511, sensor_034, sensor_060, sensor_432",3,0,"The record is assigned to Engineering Review with a calibrated failure probability of 6.22%. The first statistical sensor measurements to investigate are sensor_104, sensor_511, sensor_034. This ranking is based on model attribution, robust deviation, global importance and recurrence in observed failure explanations. It does not establish a physical root cause."
WF-000010,0,Pass,High Risk,0.1258533507077437,0.2519468736781179,0.7480531263218821,0.0638467677573824,0.38317759238704,sensor_060,0.9,Very High,"sensor_060, sensor_478, sensor_104, sensor_206, sensor_342",4,0,"The record is assigned to High Risk with a calibrated failure probability of 12.59%. The first statistical sensor measurements to investigate are sensor_060, sensor_478, sensor_104. This ranking is based on model attribution, robust deviation, global importance and recurrence in observed failure explanations. It does not establish a physical root cause."
WF-000012,1,Fail,High Risk,0.1668514943075025,0.2937924923504679,0.706207507649532,0.07661612130885875,0.0,sensor_060,0.9249999999999999,Very High,"sensor_060, sensor_104, sensor_478, sensor_034, sensor_342",5,0,"The record is assigned to High Risk with a calibrated failure probability of 16.69%. The first statistical sensor measurements to investigate are sensor_060, sensor_104, sensor_478. This ranking is based on model attribution, robust deviation, global importance and recurrence in observed failure explanations. It does not establish a physical root cause."
WF-000018,0,Pass,Engineering Review,0.0713107101820972,0.2402717066243325,0.7597282933756675,0.28731045490822027,0.1805627085665412,sensor_104,0.85,Very High,"sensor_104, sensor_511, sensor_214, sensor_060, sensor_478",3,0,"The record is assigned to Engineering Review with a calibrated failure probability of 7.13%. The first statistical sensor measurements to investigate are sensor_104, sensor_511, sensor_214. This ranking is based on model attribution, robust deviation, global importance and recurrence in observed failure explanations. It does not establish a physical root cause."
WF-000019,0,Pass,High Risk,0.0933540879499721,0.2587157052241994,0.7412842947758006,0.5482841181165203,0.0,sensor_104,0.975,Very High,"sensor_104, sensor_511, sensor_478, sensor_060, sensor_317",2,0,"The record is assigned to High Risk with a calibrated failure probability of 9.34%. The first statistical sensor measurements to investigate are sensor_104, sensor_511, sensor_478. This ranking is based on model attribution, robust deviation, global importance and recurrence in observed failure explanations. It does not establish a physical root cause."
WF-000024,1,Fail,Insufficient Evidence,0.1822904497207002,0.1423588167949389,0.857641183205061,0.013567438148443633,0.3157719733266013,sensor_060,0.85,Very High,"sensor_060, sensor_432, sensor_153, sensor_034, sensor_520",2,0,"The record is assigned to Insufficient Evidence with a calibrated failure probability of 18.23%. The first statistical sensor measurements to investigate are sensor_060, sensor_432, sensor_153. This ranking is based on model attribution, robust deviation, global importance and recurrence in observed failure explanations. It does not establish a physical root cause."
WF-000026,0,Pass,High Risk,0.1022168043439557,0.1531403631459024,0.8468596368540975,0.027932960893854775,0.0811249708445722,sensor_104,0.8,Very High,"sensor_104, sensor_282, sensor_214, sensor_352, sensor_147",1,0,"The record is assigned to High Risk with a calibrated failure probability of 10.22%. The first statistical sensor measurements to investigate are sensor_104, sensor_282, sensor_214. This ranking is based on model attribution, robust deviation, global importance and recurrence in observed failure explanations. It does not establish a physical root cause."
WF-000027,0,Pass,High Risk,0.1359081637688931,0.2564682474872333,0.7435317525127667,0.349561053471668,0.0,sensor_104,0.825,Very High,"sensor_104, sensor_034, sensor_060, sensor_065, sensor_478",2,0,"The record is assigned to High Risk with a calibrated failure probability of 13.59%. The first statistical sensor measurements to investigate are sensor_104, sensor_034, sensor_060. This ranking is based on model attribution, robust deviation, global importance and recurrence in observed failure explanations. It does not establish a physical root cause."
WF-000032,0,Pass,High Risk,0.0918302668887925,0.2243347643134326,0.7756652356865673,0.12529928172386273,0.0877594546021584,sensor_060,0.9,Very High,"sensor_060, sensor_520, sensor_104, sensor_065, sensor_386",2,0,"The record is assigned to High Risk with a calibrated failure probability of 9.18%. The first statistical sensor measurements to investigate are sensor_060, sensor_520, sensor_104. This ranking is based on model attribution, robust deviation, global importance and recurrence in observed failure explanations. It does not establish a physical root cause."
WF-000042,0,Pass,Engineering Review,0.0756628180524629,0.3290151653638155,0.6709848346361845,0.8515562649640862,0.0,sensor_104,0.85,Very High,"sensor_104, sensor_060, sensor_432, sensor_511, sensor_478",1,0,"The record is assigned to Engineering Review with a calibrated failure probability of 7.57%. The first statistical sensor measurements to investigate are sensor_104, sensor_060, sensor_432. This ranking is based on model attribution, robust deviation, global importance and recurrence in observed failure explanations. It does not establish a physical root cause."
WF-000045,0,Pass,Insufficient Evidence,0.2695770769573562,0.1618960901092023,0.8381039098907976,0.023942537909018347,0.0,sensor_104,0.825,Very High,"sensor_104, sensor_060, sensor_065, sensor_432, sensor_511",3,0,"The record is assigned to Insufficient Evidence with a calibrated failure probability of 26.96%. The first statistical sensor measurements to investigate are sensor_104, sensor_060, sensor_065. This ranking is based on model attribution, robust deviation, global importance and recurrence in observed failure explanations. It does not establish a physical root cause."
WF-000049,1,Fail,Engineering Review,0.0599791033825022,0.1845980495371205,0.8154019504628794,0.09177972865123718,0.0508899346338853,sensor_060,0.9249999999999999,Very High,"sensor_060, sensor_478, sensor_034, sensor_206, sensor_511",3,0,"The record is assigned to Engineering Review with a calibrated failure probability of 6.00%. The first statistical sensor measurements to investigate are sensor_060, sensor_478, sensor_034. This ranking is based on model attribution, robust deviation, global importance and recurrence in observed failure explanations. It does not establish a physical root cause."
WF-000051,1,Fail,High Risk,0.1019898466008417,0.2495287098979795,0.7504712901020205,0.43575418994413406,0.1356738456967138,sensor_060,0.9,Very High,"sensor_060, sensor_034, sensor_104, sensor_424, sensor_478",2,0,"The record is assigned to High Risk with a calibrated failure probability of 10.20%. The first statistical sensor measurements to investigate are sensor_060, sensor_034, sensor_104. This ranking is based on model attribution, robust deviation, global importance and recurrence in observed failure explanations. It does not establish a physical root cause."
WF-000052,0,Pass,Insufficient Evidence,0.1263664825255144,0.1483198884860631,0.8516801115139369,0.011173184357541999,0.0,sensor_060,0.95,Very High,"sensor_060, sensor_104, sensor_511, sensor_478, sensor_342",3,0,"The record is assigned to Insufficient Evidence with a calibrated failure probability of 12.64%. The first statistical sensor measurements to investigate are sensor_060, sensor_104, sensor_511. This ranking is based on model attribution, robust deviation, global importance and recurrence in observed failure explanations. It does not establish a physical root cause."
